ENSHBUP00000015627	ENSHBUG00000017504	Haplochromis_burtoni
ENSAOCP00000000744	ENSAOCG00000002041	Amphiprion_ocellaris
ENSAMXP00000039205	ENSAMXG00000032905	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005017125	ENSAMXG00005008946	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMALP00000028735	ENSMALG00000019872	Monopterus_albus
ENSSDUP00000032064	ENSSDUG00000023033	Seriola_dumerili
ENSTRUP00000016590	ENSTRUG00000006754	Takifugu_rubripes
ENSGWIP00000048915	ENSGWIG00000023908	Gouania_willdenowi
ENSPNAP00000012235	ENSPNAG00000017969	Pygocentrus_nattereri
ENSORLP00020013195	ENSORLG00020014143	Oryzias_latipes_ASM223471v1
ENSHHUP00000085117	ENSHHUG00000049328	Hucho_hucho
ENSPNYP00000015116	ENSPNYG00000011454	Pundamilia_nyererei
ENSCHAP00000027647	ENSCHAG00000013380	Clupea_harengus	ENSCHAT00000030043
ENSIPUP00000005367	ENSIPUG00000003743	Ictalurus_punctatus
ENSDCDP00000025211	ENSDCDG00000018925	Denticeps_clupeoides
ENSMAMP00000029845	ENSMAMG00000020122	Mastacembelus_armatus
ENSLCRP00005040488	ENSLCRG00005015632	Larimichthys_crocea
ENSTNIP00000014193	ENSTNIG00000011254	Tetraodon_nigroviridis
ENSSMAP00000022452	ENSSMAG00000013731	Scophthalmus_maximus
ENSACLP00000030576	ENSACLG00000020714	Astatotilapia_calliptera
ENSEEEP00000040304	ENSEEEG00000019106	Electrophorus_electricus
ENSPMEP00000034526	ENSPMEG00000023811	Poecilia_mexicana
ENSPREP00000004734	ENSPREG00000003323	Poecilia_reticulata
ENSPFOP00000003577	ENSPFOG00000003701	Poecilia_formosa
ENSDCDP00000033738	ENSDCDG00000022931	Denticeps_clupeoides	ENSDCDT00000043314
ENSSPAP00000006936	ENSSPAG00000005345	Stegastes_partitus
ENSCVAP00000002565	ENSCVAG00000003670	Cyprinodon_variegatus
ENSATEP00000029719	ENSATEG00000020504	Anabas_testudineus
ENSBSLP00000017989	ENSBSLG00000009437	Betta_splendens
ENSPKIP00000036166	ENSPKIG00000014789	Paramormyrops_kingsleyae	ENSPKIT00000017106
ENSGAFP00000008069	ENSGAFG00000005493	Gambusia_affinis
ENSXMAP00000016090	ENSXMAG00000016064	Xiphophorus_maculatus
ENSAPOP00000021585	ENSAPOG00000002261	Acanthochromis_polyacanthus
ENSHHUP00000076589	ENSHHUG00000044811	Hucho_hucho
ENSACIP00000003432	ENSACIG00000002730	Amphilophus_citrinellus
ENSAPEP00000028093	ENSAPEG00000019946	Amphiprion_percula
ENSOMEP00000015277	ENSOMEG00000016839	Oryzias_melastigma
ENSPMGP00000006375	ENSPMGG00000005368	Periophthalmus_magnuspinnatus
ENSPKIP00000016441	ENSPKIG00000002765	Paramormyrops_kingsleyae
ENSPLAP00000027002	ENSPLAG00000015225	Poecilia_latipinna
ENSHHUP00000045340	ENSHHUG00000027679	Hucho_hucho
ENSHCOP00000005588	ENSHCOG00000007272	Hippocampus_comes
ENSCGOP00000039567	ENSCGOG00000018082	Cottoperca_gobio
ENSIPUP00000007770	ENSIPUG00000005342	Ictalurus_punctatus
ENSSLDP00000022880	ENSSLDG00000017863	Seriola_lalandi_dorsalis
ENSORLP00000001626	ENSORLG00000001318	Oryzias_latipes_ASM223467v1
ENSELUP00000018989	ENSELUG00000018388	Esox_lucius
ENSMZEP00005031286	ENSMZEG00005023323	Maylandia_zebra
ENSSFOP00015036197	ENSSFOG00015023040	Scleropages_formosus
ENSSFOP00015006158	ENSSFOG00015004022	Scleropages_formosus	ENSSFOT00015006257
ENSKMAP00000026272	ENSKMAG00000019479	Kryptolebias_marmoratus
ENSCSEP00000031938	ENSCSEG00000020491	Cynoglossus_semilaevis
ENSGMOP00000013933	ENSGMOG00000013036	Gadus_morhua
ENSDARP00000068525	ENSDARG00000052223	Danio_rerio
ENSDARP00000144981	ENSDARG00000111827	Danio_rerio
ENSLBEP00000006697	ENSLBEG00000005173	Labrus_bergylta
ENSPNAP00000019863	ENSPNAG00000026581	Pygocentrus_nattereri
ENSONIP00000012155	ENSONIG00000009677	Oreochromis_niloticus
ENSORLP00015006491	ENSORLG00015007318	Oryzias_latipes_ASM223469v1
ENSAMXP00000041335	ENSAMXG00000040968	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000048948
ENSLCAP00010033773	ENSLCAG00010015875	Lates_calcarifer
ENSMMOP00000000765	ENSMMOG00000000656	Mola_mola
ENSPRNP00000017966	ENSPRNG00000009472	Parambassis_ranga
ENSDCDP00000024975	ENSDCDG00000018829	Denticeps_clupeoides
ENSFHEP00000014176	ENSFHEG00000015707	Fundulus_heteroclitus
ENSGACP00000019115	ENSGACG00000014486	Gasterosteus_aculeatus
ENSAMXP00005023900	ENSAMXG00005012222	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
