ENSMOCP00000013157	ENSMOCG00000013044	Microtus_ochrogaster
ENSELUP00000016659	ENSELUG00000016450	Esox_lucius	ENSELUT00000026075
ENSODEP00000016804	ENSODEG00000012379	Octodon_degus
ENSMUSP00000157011	ENSMUSG00000073639	Mus_musculus_strain_reference_(CL57BL6)
ENSAPLP00000002170	ENSAPLG00000002731	Anas_platyrhynchos_platyrhynchos
ENSMAUP00000010110	ENSMAUG00000011110	Mesocricetus_auratus
ENSUPAP00010015404	ENSUPAG00010012321	Urocitellus_parryii
ENSPMGP00000025021	ENSPMGG00000020218	Periophthalmus_magnuspinnatus
ENSCHIP00000004636	ENSCHIG00000008749	Capra_hircus
ENSHGLP00000010176	ENSHGLG00000007301	Heterocephalus_glaber_HetGla_female_1.0
ENSPNAP00000027301	ENSPNAG00000002404	Pygocentrus_nattereri
ENSPRNP00000048793	ENSPRNG00000023327	Parambassis_ranga
ENSPPYP00000002529	ENSPPYG00000002172	Pongo_abelii
ENSJHYP00000010283	ENSJHYG00000008057	Junco_hyemalis
ENSMUGP00000031836	ENSMUGG00000026464	Meriones_unguiculatus
ENSSTOP00000013059	ENSSTOG00000014560	Ictidomys_tridecemlineatus
ENSLCAP00010005109	ENSLCAG00010002591	Lates_calcarifer
ENSSDUP00000008138	ENSSDUG00000005960	Seriola_dumerili
ENSANAP00000027415	ENSANAG00000031541	Aotus_nancymaae
ENSMFAP00000010278	ENSMFAG00000006430	Macaca_fascicularis
ENSOARP00000017403	ENSOARG00000016208	Ovis_aries
ENSMZEP00005010977	ENSMZEG00005008244	Maylandia_zebra
ENSAOWP00000010013	ENSAOWG00000006878	Apteryx_owenii
ENSHBUP00000023132	ENSHBUG00000003696	Haplochromis_burtoni
ENSOANP00000027233	ENSOANG00000021391	Ornithorhynchus_anatinus
ENSSLDP00000007578	ENSSLDG00000006014	Seriola_lalandi_dorsalis
ENSRNOP00000025828	ENSRNOG00000018972	Rattus_norvegicus
ENSVPAP00000002935	ENSVPAG00000003175	Vicugna_pacos
ENSNVIP00000006240	ENSNVIG00000004960	Neovison_vison
MGP_CAROLIEiJ_P0045989	MGP_CAROLIEiJ_G0021978	Mus_caroli_strain_CAROLI_EIJ
ENSFDAP00000003608	ENSFDAG00000013014	Fukomys_damarensis
ENSSSCP00000021580	ENSSSCG00000028655	Sus_scrofa_strain_reference
ENSDNOP00000028792	ENSDNOG00000047713	Dasypus_novemcinctus
ENSCSEP00000026320	ENSCSEG00000016803	Cynoglossus_semilaevis
ENSCLAP00000012777	ENSCLAG00000008819	Chinchilla_lanigera
ENSHHUP00000003217	ENSHHUG00000002013	Hucho_hucho	ENSHHUT00000003331
ENSANAP00000036769	ENSANAG00000035856	Aotus_nancymaae
ENSLCOP00000017527	ENSLCOG00000012405	Lepidothrix_coronata
MGP_PahariEiJ_P0038601	MGP_PahariEiJ_G0018716	Mus_pahari_strain_PAHARI_EIJ
ENSCPGP00000019847	ENSCPGG00000013908	Calidris_pygmaea
ENSACIP00000010358	ENSACIG00000008102	Amphilophus_citrinellus
ENSCVAP00000017852	ENSCVAG00000021007	Cyprinodon_variegatus
ENSAPEP00000032275	ENSAPEG00000022923	Amphiprion_percula
ENSBTAP00000057459	ENSBTAG00000050873	Bos_taurus
ENSZALP00000020085	ENSZALG00000015841	Zonotrichia_albicollis
ENSZALP00000005224	ENSZALG00000004857	Zonotrichia_albicollis
ENSORLP00000028804	ENSORLG00000009609	Oryzias_latipes_ASM223467v1
ENSMAMP00000027438	ENSMAMG00000018445	Mastacembelus_armatus
ENSSHAP00000008791	ENSSHAG00000007613	Sarcophilus_harrisii
ENSBIXP00000013562	ENSBIXG00000018489	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAMEP00000016894	ENSAMEG00000015990	Ailuropoda_melanoleuca
ENSEEEP00000013886	ENSEEEG00000006895	Electrophorus_electricus
ENSPPAP00000037786	ENSPPAG00000041625	Pan_paniscus
ENSRBIP00000024094	ENSRBIG00000035948	Rhinopithecus_bieti
ENSNMEP00000005041	ENSNMEG00000005288	Numida_meleagris
ENSPVAP00000016084	ENSPVAG00000017052	Pteropus_vampyrus
ENSMODP00000010252	ENSMODG00000008253	Monodelphis_domestica
ENSCJAP00000058868	ENSCJAG00000045749	Callithrix_jacchus
ENSHGLP00000005973	ENSHGLG00000004365	Heterocephalus_glaber_HetGla_female_1.0
ENSBMUP00000030857	ENSBMUG00000023049	Bos_mutus
ENSPANP00000028011	ENSPANG00000023005	Papio_anubis
ENSPFOP00000013519	ENSPFOG00000013491	Poecilia_formosa	ENSPFOT00000013538
ENSONIP00000023505	ENSONIG00000018673	Oreochromis_niloticus
ENSCPGP00000010449	ENSCPGG00000007445	Calidris_pygmaea
ENSSTOP00000025277	ENSSTOG00000033656	Ictidomys_tridecemlineatus
ENSMLEP00000018861	ENSMLEG00000033595	Mandrillus_leucophaeus
ENSDORP00000019564	ENSDORG00000028660	Dipodomys_ordii
ENSPEMP00000031146	ENSPEMG00000026190	Peromyscus_maniculatus_bairdii
ENSCPUP00000028654	ENSCPUG00000019271	Calidris_pugnax
ENSRROP00000034011	ENSRROG00000040563	Rhinopithecus_roxellana
ENSCGRP00001017481	ENSCGRG00001017519	Cricetulus_griseus_CHOK1GS_HDv1
ENSAPOP00000032141	ENSAPOG00000019881	Acanthochromis_polyacanthus
ENSCAPP00000008004	ENSCAPG00000009788	Cavia_aperea
ENSOCUP00000049916	ENSOCUG00000036130	Oryctolagus_cuniculus
ENSXCOP00000012243	ENSXCOG00000009264	Xiphophorus_couchianus	ENSXCOT00000012389
ENSVVUP00000002096	ENSVVUG00000001705	Vulpes_vulpes
ENSPTIP00000011163	ENSPTIG00000011667	Panthera_tigris_altaica
ENSPREP00000004065	ENSPREG00000002887	Poecilia_reticulata
ENSVURP00010031912	ENSVURG00010024374	Vombatus_ursinus
ENSCATP00000002274	ENSCATG00000009672	Cercocebus_atys
ENSLCOP00000014845	ENSLCOG00000010627	Lepidothrix_coronata
MGP_SPRETEiJ_P0047917	MGP_SPRETEiJ_G0022894	Mus_spretus_strain_SPRET/EiJ
ENSODEP00000005495	ENSODEG00000004150	Octodon_degus
ENSSMAP00000019271	ENSSMAG00000011814	Scophthalmus_maximus
ENSIPUP00000016038	ENSIPUG00000010859	Ictalurus_punctatus
ENSOPRP00000013396	ENSOPRG00000014683	Ochotona_princeps
ENSHGLP00100017742	ENSHGLG00100013089	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000001899	ENSMUGG00000001782	Meriones_unguiculatus
ENSSPUP00000005595	ENSSPUG00000004305	Sphenodon_punctatus
ENSFHEP00000033114	ENSFHEG00000020035	Fundulus_heteroclitus	ENSFHET00000027091
ENSP00000478479	ENSG00000099246	Homo_sapiens
ENSDCDP00000024759	ENSDCDG00000018597	Denticeps_clupeoides
ENSCCAP00000001277	ENSCCAG00000006762	Cebus_capucinus_imitator
ENSPREP00000004098	ENSPREG00000002901	Poecilia_reticulata	ENSPRET00000004157
ENSAMXP00005018937	ENSAMXG00005009810	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPCIP00000039077	ENSPCIG00000028705	Phascolarctos_cinereus
ENSBMUP00000013377	ENSBMUG00000010175	Bos_mutus
ENSMLUP00000020769	ENSMLUG00000027295	Myotis_lucifugus
ENSEBUP00000017887	ENSEBUG00000011179	Eptatretus_burgeri
ENSPKIP00000009944	ENSPKIG00000024846	Paramormyrops_kingsleyae
