ENSPTRP00000080298	ENSPTRG00000021089	Pan_troglodytes
ENSAPEP00000027138	ENSAPEG00000019288	Amphiprion_percula
ENSDNVP00000014904	ENSDNVG00000010485	Dromaius_novaehollandiae
ENSSSCP00000032786	ENSSSCG00000035269	Sus_scrofa_strain_reference
ENSDCDP00000002026	ENSDCDG00000001053	Denticeps_clupeoides
ENSPEMP00000001287	ENSPEMG00000000974	Peromyscus_maniculatus_bairdii
ENSSBOP00000011964	ENSSBOG00000022815	Saimiri_boliviensis_boliviensis
ENSCAFP00020009069	ENSCAFG00020007336	Canis_lupus_dingo
ENSARWP00000001166	ENSARWG00000000946	Apteryx_rowi
ENSZALP00000000358	ENSZALG00000000415	Zonotrichia_albicollis
ENSBBBP00000006208	ENSBBBG00000014798	Bison_bison_bison
ENSPNAP00000019904	ENSPNAG00000026621	Pygocentrus_nattereri
ENSNVIP00000020343	ENSNVIG00000015946	Neovison_vison
ENSSFOP00015022219	ENSSFOG00015014298	Scleropages_formosus
ENSACLP00000003683	ENSACLG00000002487	Astatotilapia_calliptera
ENSGAFP00000018316	ENSGAFG00000012394	Gambusia_affinis
ENSOCUP00000020598	ENSOCUG00000022990	Oryctolagus_cuniculus
ENSORLP00015029514	ENSORLG00015012662	Oryzias_latipes_ASM223469v1
ENSHHUP00000043334	ENSHHUG00000026613	Hucho_hucho
ENSECRP00000030059	ENSECRG00000020412	Erpetoichthys_calabaricus
ENSNSUP00000019083	ENSNSUG00000013935	Notechis_scutatus
ENSCATP00000031723	ENSCATG00000038968	Cercocebus_atys
ENSPPAP00000032249	ENSPPAG00000039010	Pan_paniscus
ENSLSDP00000012483	ENSLSDG00000009111	Lonchura_striata_domestica
ENSCJAP00000061690	ENSCJAG00000040941	Callithrix_jacchus
ENSTNIP00000010353	ENSTNIG00000007544	Tetraodon_nigroviridis
ENSPREP00000004580	ENSPREG00000003218	Poecilia_reticulata
ENSUAMP00000000446	ENSUAMG00000000473	Ursus_americanus
ENSMUSP00000021828	ENSMUSG00000021396	Mus_musculus_strain_reference_(CL57BL6)
ENSAMXP00005030216	ENSAMXG00005014854	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00100013970	ENSHGLG00100010338	Heterocephalus_glaber_HetGla_1.0
ENSOGAP00000001939	ENSOGAG00000002167	Otolemur_garnettii
ENSPTEP00000005778	ENSPTEG00000006686	Piliocolobus_tephrosceles
ENSDORP00000016488	ENSDORG00000027507	Dipodomys_ordii
ENSFHEP00000035118	ENSFHEG00000023176	Fundulus_heteroclitus
ENSMALP00000003826	ENSMALG00000002812	Monopterus_albus
ENSNGAP00000024871	ENSNGAG00000022994	Nannospalax_galili
ENSHBUP00000024569	ENSHBUG00000006067	Haplochromis_burtoni
ENSCABP00000018926	ENSCABG00000013988	Chelonoidis_abingdonii
ENSBIXP00005033909	ENSBIXG00005014754	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPSMP00000005242	ENSPSMG00000004062	Prolemur_simus
ENSGWIP00000019952	ENSGWIG00000010860	Gouania_willdenowi
ENSCANP00000033971	ENSCANG00000040659	Colobus_angolensis_palliatus
ENSCLAP00000001347	ENSCLAG00000001027	Chinchilla_lanigera
ENSCGOP00000018091	ENSCGOG00000008681	Cottoperca_gobio
ENSEEEP00000026963	ENSEEEG00000013015	Electrophorus_electricus
ENSPNYP00000008233	ENSPNYG00000006300	Pundamilia_nyererei
ENSSMRP00000024914	ENSSMRG00000019262	Salvator_merianae
ENSACIP00000019538	ENSACIG00000015217	Amphilophus_citrinellus
ENSPMJP00000002459	ENSPMJG00000002073	Parus_major
ENSSMAP00000012177	ENSSMAG00000007514	Scophthalmus_maximus
ENSAOCP00000024858	ENSAOCG00000011995	Amphiprion_ocellaris
ENSMLEP00000018683	ENSMLEG00000033545	Mandrillus_leucophaeus
ENSBIXP00000039718	ENSBIXG00000023658	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMICP00000043486	ENSMICG00000045442	Microcebus_murinus
ENSIPUP00000008857	ENSIPUG00000006048	Ictalurus_punctatus
ENSCPOP00000021468	ENSCPOG00000031224	Cavia_porcellus
ENSORLP00020005193	ENSORLG00020005977	Oryzias_latipes_ASM223471v1
ENSMEUP00000001143	ENSMEUG00000001249	Notamacropus_eugenii
ENSDARP00000023608	ENSDARG00000003934	Danio_rerio
ENSABRP00000016502	ENSABRG00000014485	Anser_brachyrhynchus
ENSP00000365014	ENSG00000130045	Homo_sapiens
ENSPSIP00000018846	ENSPSIG00000016743	Pelodiscus_sinensis
ENSMMUP00000007550	ENSMMUG00000008414	Macaca_mulatta
ENSANAP00000013120	ENSANAG00000024469	Aotus_nancymaae
ENSEEUP00000007580	ENSEEUG00000008353	Erinaceus_europaeus
ENSSDUP00000033113	ENSSDUG00000023786	Seriola_dumerili
ENSCPUP00000009082	ENSCPUG00000006479	Calidris_pugnax
ENSCGRP00001000113	ENSCGRG00001000124	Cricetulus_griseus_CHOK1GS_HDv1
ENSSPUP00000012426	ENSSPUG00000009545	Sphenodon_punctatus
ENSCMIP00000026911	ENSCMIG00000011740	Callorhinchus_milii
ENSLCRP00005015307	ENSLCRG00005006503	Larimichthys_crocea
ENSTTRP00000005284	ENSTTRG00000005601	Tursiops_truncatus
ENSXCOP00000012553	ENSXCOG00000009488	Xiphophorus_couchianus
ENSXETP00000051529	ENSXETG00000019220	Xenopus_tropicalis
ENSJJAP00000016195	ENSJJAG00000018123	Jaculus_jaculus
ENSPRNP00000017390	ENSPRNG00000009237	Parambassis_ranga
ENSPPRP00000001577	ENSPPRG00000024021	Panthera_pardus
ENSVURP00010015158	ENSVURG00010011602	Vombatus_ursinus
ENSCPBP00000007060	ENSCPBG00000005564	Chrysemys_picta_bellii
ENSPCIP00000029484	ENSPCIG00000021927	Phascolarctos_cinereus
ENSTGUP00000000473	ENSTGUG00000000467	Taeniopygia_guttata
ENSHGLP00000016583	ENSHGLG00000011854	Heterocephalus_glaber_HetGla_female_1.0
ENSORLP00020005188	ENSORLG00020005971	Oryzias_latipes_ASM223471v1
ENSCCNP00000014374	ENSCCNG00000014866	Castor_canadensis
ENSPVAP00000011897	ENSPVAG00000012618	Pteropus_vampyrus
ENSCCAP00000033610	ENSCCAG00000034827	Cebus_capucinus_imitator
ENSONIP00000009589	ENSONIG00000007607	Oreochromis_niloticus
ENSLBEP00000025218	ENSLBEG00000019261	Labrus_bergylta
ENSGGOP00000019819	ENSGGOG00000027419	Gorilla_gorilla
ENSTGEP00000001329	ENSTGEG00000001248	Theropithecus_gelada
ENSAPOP00000006119	ENSAPOG00000007926	Acanthochromis_polyacanthus
ENSCGRP00015000108	ENSCGRG00015000155	Cricetulus_griseus_CriGri-PICR
ENSMVIP00005028717	ENSMVIG00005019980	Manacus_vitellinus
ENSNBRP00000024462	ENSNBRG00000018711	Neolamprologus_brichardi
ENSPMGP00000002942	ENSPMGG00000002565	Periophthalmus_magnuspinnatus
ENSATEP00000022007	ENSATEG00000015278	Anabas_testudineus
ENSMAMP00000024835	ENSMAMG00000016689	Mastacembelus_armatus
ENSPMEP00000026768	ENSPMEG00000010694	Poecilia_mexicana
ENSSLDP00000008260	ENSSLDG00000006558	Seriola_lalandi_dorsalis
ENSNMEP00000001316	ENSNMEG00000001726	Numida_meleagris
ENSSPAP00000005617	ENSSPAG00000004354	Stegastes_partitus
ENSAPLP00000000280	ENSAPLG00000000870	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000010604	ENSAHAG00000007695	Apteryx_haastii
ENSBMUP00000030569	ENSBMUG00000022855	Bos_mutus
ENSCSAP00000003599	ENSCSAG00000007331	Chlorocebus_sabaeus
ENSEASP00005020237	ENSEASG00005013934	Equus_asinus_asinus
ENSAOWP00000023028	ENSAOWG00000015547	Apteryx_owenii
ENSGMOP00000015835	ENSGMOG00000014796	Gadus_morhua
ENSNPEP00000009563	ENSNPEG00000007180	Nothoprocta_perdicaria
ENSSHAP00000006921	ENSSHAG00000006013	Sarcophilus_harrisii
ENSOMEP00000007535	ENSOMEG00000008641	Oryzias_melastigma
ENSORLP00015011827	ENSORLG00015012652	Oryzias_latipes_ASM223469v1
ENSHHUP00000043403	ENSHHUG00000026649	Hucho_hucho
ENSCCEP00000009864	ENSCCEG00000009970	Cyanistes_caeruleus
ENSGACP00000021496	ENSGACG00000016289	Gasterosteus_aculeatus
ENSDNOP00000019990	ENSDNOG00000043791	Dasypus_novemcinctus
ENSPCOP00000016317	ENSPCOG00000019921	Propithecus_coquereli
