FBpp0071046	FBgn0010292	Drosophila_melanogaster	FBtr0071090
F57B9.5.1	WBGene00000276	Caenorhabditis_elegans_strain_N2	F57B9.5.1
ENSPMAP00000001056	ENSPMAG00000000953	Petromyzon_marinus
ENSEBUP00000000924	ENSEBUG00000000925	Eptatretus_burgeri
ENSCPGP00000003927	ENSCPGG00000002909	Calidris_pygmaea
ENSCPUP00000018742	ENSCPUG00000012871	Calidris_pugnax
ENSLSDP00000023850	ENSLSDG00000016771	Lonchura_striata_domestica
ENSPMJP00000002320	ENSPMJG00000001899	Parus_major
ENSLCOP00000003847	ENSLCOG00000002890	Lepidothrix_coronata
ENSAPLP00000008423	ENSAPLG00000008733	Anas_platyrhynchos_platyrhynchos
ENSGALP00000005482	ENSGALG00000003467	Gallus_gallus
ENSMGAP00000006300	ENSMGAG00000006299	Meleagris_gallopavo
ENSCJPP00005023977	ENSCJPG00005018951	Coturnix_japonica
ENSNMEP00000003676	ENSNMEG00000004228	Numida_meleagris
ENSMUNP00000018150	ENSMUNG00000013883	Melopsittacus_undulatus
ENSFALP00000003020	ENSFALG00000002897	Ficedula_albicollis
ENSMVIP00005026529	ENSMVIG00005018496	Manacus_vitellinus
ENSCCEP00000018926	ENSCCEG00000017226	Cyanistes_caeruleus
ENSSCAP00000000383	ENSSCAG00000000268	Serinus_canaria
ENSZALP00000001544	ENSZALG00000001758	Zonotrichia_albicollis
ENSABRP00000000563	ENSABRG00000000628	Anser_brachyrhynchus
ENSARWP00000020209	ENSARWG00000013837	Apteryx_rowi
ENSAHAP00000026020	ENSAHAG00000018147	Apteryx_haastii
ENSAOWP00000027714	ENSAOWG00000018676	Apteryx_owenii
ENSDNVP00000019705	ENSDNVG00000013783	Dromaius_novaehollandiae
ENSNPEP00000005228	ENSNPEG00000003957	Nothoprocta_perdicaria
ENSSDAP00000000027	ENSSDAG00000000032	Spermophilus_dauricus
ENSMMMP00000028093	ENSMMMG00000024493	Marmota_marmota_marmota
ENSUPAP00010021981	ENSUPAG00010017483	Urocitellus_parryii
ENSSTOP00000016018	ENSSTOG00000021848	Ictidomys_tridecemlineatus
ENSNGAP00000004252	ENSNGAG00000005496	Nannospalax_galili
ENSCCNP00000016988	ENSCCNG00000017278	Castor_canadensis
ENSMSIP00000038094	ENSMSIG00000031729	Mus_spicilegus
