ENSSHAP00000009400	ENSSHAG00000008133	Sarcophilus_harrisii	ENSSHAT00000009481
ENSMODP00000055158	ENSMODG00000041004	Monodelphis_domestica	ENSMODT00000074061
ENSCCEP00000013419	ENSCCEG00000012922	Cyanistes_caeruleus	ENSCCET00000020913
ENSCJPP00005000530	ENSCJPG00005000620	Coturnix_japonica	ENSCJPT00005000963
ENSNPEP00000020683	ENSNPEG00000015386	Nothoprocta_perdicaria	ENSNPET00000021225
ENSCPRP00005019528	ENSCPRG00005013619	Crocodylus_porosus	ENSCPRT00005022839
ENSCPRP00005019557	ENSCPRG00005013634	Crocodylus_porosus	ENSCPRT00005022869
ENSCABP00000029466	ENSCABG00000021616	Chelonoidis_abingdonii	ENSCABT00000032281
ENSSPUP00000007618	ENSSPUG00000005889	Sphenodon_punctatus	ENSSPUT00000008113
ENSSSCP00000043449	ENSSSCG00000038304	Sus_scrofa_strain_reference
ENSNVIP00000017749	ENSNVIG00000013905	Neovison_vison
ENSBBBP00000001705	ENSBBBG00000001900	Bison_bison_bison
ENSOARP00000011704	ENSOARG00000010916	Ovis_aries
ENSNGAP00000010052	ENSNGAG00000012575	Nannospalax_galili
ENSPEMP00000032220	ENSPEMG00000026948	Peromyscus_maniculatus_bairdii
ENSJJAP00000007602	ENSJJAG00000011978	Jaculus_jaculus
ENSTSYP00000021324	ENSTSYG00000036089	Carlito_syrichta
ENSUMAP00000015980	ENSUMAG00000011745	Ursus_maritimus
ENSMFAP00000028882	ENSMFAG00000041731	Macaca_fascicularis
ENSMNEP00000027070	ENSMNEG00000036946	Macaca_nemestrina
ENSMLEP00000028738	ENSMLEG00000038589	Mandrillus_leucophaeus
ENSTGEP00000002044	ENSTGEG00000001808	Theropithecus_gelada
ENSPANP00000037965	ENSPANG00000018676	Papio_anubis
ENSRBIP00000023889	ENSRBIG00000035855	Rhinopithecus_bieti
ENSRROP00000030430	ENSRROG00000038956	Rhinopithecus_roxellana
ENSCANP00000039434	ENSCANG00000043380	Colobus_angolensis_palliatus
ENSPPAP00000036081	ENSPPAG00000040796	Pan_paniscus
ENSGGOP00000029700	ENSGGOG00000025398	Gorilla_gorilla
ENSPTRP00000093040	ENSPTRG00000046155	Pan_troglodytes
ENSNLEP00000034257	ENSNLEG00000027654	Nomascus_leucogenys
ENSCCAP00000023871	ENSCCAG00000029710	Cebus_capucinus_imitator
ENSCJAP00000025139	ENSCJAG00000013666	Callithrix_jacchus
ENSPSMP00000037678	ENSPSMG00000025872	Prolemur_simus
ENSHGLP00100015944	ENSHGLG00100011767	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010505	ENSHGLG00000007536	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000005316	ENSHGLG00000003890	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000010749	ENSHGLG00000007708	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016249	ENSHGLG00100011999	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100017293	ENSHGLG00100012753	Heterocephalus_glaber_HetGla_1.0
ENSJJAP00000011423	ENSJJAG00000014755	Jaculus_jaculus
ENSPSMP00000030933	ENSPSMG00000021475	Prolemur_simus
ENSPSMP00000036140	ENSPSMG00000024870	Prolemur_simus
ENSCCAP00000007929	ENSCCAG00000021719	Cebus_capucinus_imitator
ENSCJAP00000072692	ENSCJAG00000060759	Callithrix_jacchus
ENSSBOP00000018484	ENSSBOG00000025871	Saimiri_boliviensis_boliviensis
ENSCCAP00000013082	ENSCCAG00000024345	Cebus_capucinus_imitator
ENSANAP00000032531	ENSANAG00000033951	Aotus_nancymaae
ENSPTRP00000076468	ENSPTRG00000044792	Pan_troglodytes
ENSTSYP00000033381	ENSTSYG00000035012	Carlito_syrichta
ENSPCAP00000003167	ENSPCAG00000003414	Procavia_capensis
ENSACAP00000007625	ENSACAG00000007777	Anolis_carolinensis	ENSACAT00000007787
ENSAHAP00000000246	ENSAHAG00000000257	Apteryx_haastii
ENSAPLP00000020047	ENSAPLG00000018906	Anas_platyrhynchos_platyrhynchos
ENSLACP00000010846	ENSLACG00000009547	Latimeria_chalumnae
ENSCMIP00000006981	ENSCMIG00000003906	Callorhinchus_milii
ENSCMIP00000010432	ENSCMIG00000005511	Callorhinchus_milii
