ENSTGUP00000003207	ENSTGUG00000003110	Taeniopygia_guttata	ENSTGUT00000003239
ENSVVUP00000034131	ENSVVUG00000024659	Vulpes_vulpes
ENSHGLP00000025739	ENSHGLG00000018321	Heterocephalus_glaber_HetGla_female_1.0
ENSNMEP00000013835	ENSNMEG00000012528	Numida_meleagris
ENSPCOP00000028551	ENSPCOG00000026928	Propithecus_coquereli
ENSXETP00000008068	ENSXETG00000007404	Xenopus_tropicalis
ENSOCUP00000011465	ENSOCUG00000013325	Oryctolagus_cuniculus
ENSPPYP00000020450	ENSPPYG00000018249	Pongo_abelii
ENSPTRP00000076586	ENSPTRG00000046760	Pan_troglodytes
ENSUAMP00000021085	ENSUAMG00000016585	Ursus_americanus
ENSLBEP00000010003	ENSLBEG00000007743	Labrus_bergylta
ENSATEP00000015170	ENSATEG00000010576	Anabas_testudineus
ENSSDUP00000021893	ENSSDUG00000015935	Seriola_dumerili
ENSOGAP00000017322	ENSOGAG00000002362	Otolemur_garnettii
ENSCPBP00000012898	ENSCPBG00000009699	Chrysemys_picta_bellii
ENSMLEP00000017861	ENSMLEG00000033115	Mandrillus_leucophaeus
ENSEASP00005023704	ENSEASG00005016116	Equus_asinus_asinus
ENSMAUP00000021209	ENSMAUG00000019013	Mesocricetus_auratus
ENSOPRP00000005674	ENSOPRG00000006191	Ochotona_princeps
ENSBIXP00000026878	ENSBIXG00000029247	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMZEP00005027749	ENSMZEG00005020689	Maylandia_zebra
ENSSPAP00000002924	ENSSPAG00000002242	Stegastes_partitus
ENSSBOP00000023400	ENSSBOG00000028211	Saimiri_boliviensis_boliviensis
ENSAMXP00005004116	ENSAMXG00005002538	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCANP00000039087	ENSCANG00000043217	Colobus_angolensis_palliatus
ENSPANP00000003828	ENSPANG00000018605	Papio_anubis
ENSLCAP00010002752	ENSLCAG00010001515	Lates_calcarifer
ENSHBUP00000005816	ENSHBUG00000007202	Haplochromis_burtoni
ENSLCRP00005029105	ENSLCRG00005011539	Larimichthys_crocea
ENSNVIP00000005360	ENSNVIG00000004273	Neovison_vison
ENSLACP00000021537	ENSLACG00000018926	Latimeria_chalumnae
ENSLOCP00000001250	ENSLOCG00000001105	Lepisosteus_oculatus
ENSCJPP00005004249	ENSCJPG00005004262	Coturnix_japonica
ENSMAMP00000025391	ENSMAMG00000017048	Mastacembelus_armatus
FBpp0289234	FBgn0259704	Drosophila_melanogaster	FBtr0299957
ENSRNOP00000001970	ENSRNOG00000001450	Rattus_norvegicus
ENSSMAP00000023930	ENSSMAG00000014614	Scophthalmus_maximus
ENSVURP00010004473	ENSVURG00010003561	Vombatus_ursinus
ENSMEUP00000011367	ENSMEUG00000012463	Notamacropus_eugenii
ENSTGEP00000005812	ENSTGEG00000004795	Theropithecus_gelada
ENSCPRP00005009375	ENSCPRG00005006652	Crocodylus_porosus
ENSCHAP00000026759	ENSCHAG00000012931	Clupea_harengus
ENSSPUP00000000750	ENSSPUG00000000580	Sphenodon_punctatus
ENSDORP00000009895	ENSDORG00000010530	Dipodomys_ordii
ENSABRP00000007614	ENSABRG00000006983	Anser_brachyrhynchus
ENSCSAVP00000011615	ENSCSAVG00000006814	Ciona_savignyi
ENSPREP00000001184	ENSPREG00000000892	Poecilia_reticulata
ENSCLAP00000008032	ENSCLAG00000005624	Chinchilla_lanigera
ENSXCOP00000004045	ENSXCOG00000003176	Xiphophorus_couchianus
ENSUMAP00000018520	ENSUMAG00000013592	Ursus_maritimus
ENSPKIP00000029858	ENSPKIG00000010935	Paramormyrops_kingsleyae
ENSIPUP00000013563	ENSIPUG00000009246	Ictalurus_punctatus
ENSORLP00015027463	ENSORLG00015009554	Oryzias_latipes_ASM223469v1
ENSGMOP00000006239	ENSGMOG00000005869	Gadus_morhua
ENSLSDP00000013697	ENSLSDG00000009927	Lonchura_striata_domestica
ENSGGOP00000011442	ENSGGOG00000043878	Gorilla_gorilla
ENSAPEP00000018179	ENSAPEG00000013003	Amphiprion_percula
ENSBBBP00000002550	ENSBBBG00000008491	Bison_bison_bison
ENSMMUP00000029988	ENSMMUG00000022776	Macaca_mulatta
ENSGACP00000008002	ENSGACG00000006042	Gasterosteus_aculeatus
ENSNBRP00000002137	ENSNBRG00000001723	Neolamprologus_brichardi
ENSMGAP00000001133	ENSMGAG00000001654	Meleagris_gallopavo
ENSNLEP00000018837	ENSNLEG00000015518	Nomascus_leucogenys
ENSPTRP00000032925	ENSPTRG00000019268	Pan_troglodytes
ENSPPAP00000028548	ENSPPAG00000037296	Pan_paniscus
ENSACLP00000031117	ENSACLG00000021086	Astatotilapia_calliptera
ENSCGRP00000009496	ENSCGRG00000006943	Cricetulus_griseus_CriGri_1.0
ENSAMXP00000017178	ENSAMXG00000016626	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMMMP00000011391	ENSMMMG00000010167	Marmota_marmota_marmota
ENSGAFP00000028203	ENSGAFG00000019082	Gambusia_affinis
ENSFDAP00000018628	ENSFDAG00000009683	Fukomys_damarensis
ENSCAFP00000019518	ENSCAFG00000013197	Canis_lupus_familiaris
ENSHHUP00000032049	ENSHHUG00000020319	Hucho_hucho
ENSRROP00000036952	ENSRROG00000041917	Rhinopithecus_roxellana
ENSFHEP00000020968	ENSFHEG00000022931	Fundulus_heteroclitus
ENSAPLP00000007680	ENSAPLG00000008049	Anas_platyrhynchos_platyrhynchos
ENSLAFP00000014466	ENSLAFG00000017255	Loxodonta_africana
ENSARWP00000012961	ENSARWG00000008978	Apteryx_rowi
ENSKMAP00000015801	ENSKMAG00000011806	Kryptolebias_marmoratus
ENSPRNP00000051801	ENSPRNG00000024492	Parambassis_ranga
ENSCVAP00000000866	ENSCVAG00000001813	Cyprinodon_variegatus
ENSMSIP00000014768	ENSMSIG00000012692	Mus_spicilegus
ENSP00000309126	ENSG00000130305	Homo_sapiens
ENSMVIP00005012577	ENSMVIG00005009136	Manacus_vitellinus
ENSCPGP00000008385	ENSCPGG00000005956	Calidris_pygmaea
ENSPMEP00000024155	ENSPMEG00000006237	Poecilia_mexicana
ENSUPAP00010019888	ENSUPAG00010015725	Urocitellus_parryii
ENSMFAP00000037032	ENSMFAG00000037773	Macaca_fascicularis
ENSMICP00000038664	ENSMICG00000035469	Microcebus_murinus
