ENSPPAP00000032217	ENSPPAG00000038984	Pan_paniscus
ENSPTRP00000008418	ENSPTRG00000004928	Pan_troglodytes
ENSGGOP00000007803	ENSGGOG00000007975	Gorilla_gorilla
ENSP00000378400	ENSG00000050405	Homo_sapiens
ENSPPYP00000005148	ENSPPYG00000004510	Pongo_abelii
ENSNLEP00000021619	ENSNLEG00000017802	Nomascus_leucogenys
ENSPTEP00000004053	ENSPTEG00000004775	Piliocolobus_tephrosceles
ENSCANP00000023895	ENSCANG00000035341	Colobus_angolensis_palliatus
ENSRROP00000014861	ENSRROG00000031617	Rhinopithecus_roxellana
ENSRBIP00000006609	ENSRBIG00000026725	Rhinopithecus_bieti
ENSMFAP00000005418	ENSMFAG00000002376	Macaca_fascicularis
ENSMNEP00000046059	ENSMNEG00000045489	Macaca_nemestrina
ENSPANP00000011432	ENSPANG00000013989	Papio_anubis
ENSTGEP00000003696	ENSTGEG00000003113	Theropithecus_gelada
ENSMMUP00000072161	ENSMMUG00000016471	Macaca_mulatta
ENSMLEP00000033351	ENSMLEG00000040850	Mandrillus_leucophaeus
ENSCATP00000031559	ENSCATG00000038898	Cercocebus_atys
ENSCSAP00000002276	ENSCSAG00000005975	Chlorocebus_sabaeus
ENSCCAP00000005331	ENSCCAG00000020365	Cebus_capucinus_imitator
ENSSBOP00000001059	ENSSBOG00000004806	Saimiri_boliviensis_boliviensis
ENSCJAP00000053315	ENSCJAG00000021115	Callithrix_jacchus
ENSANAP00000033323	ENSANAG00000034316	Aotus_nancymaae
ENSTSYP00000001800	ENSTSYG00000001948	Carlito_syrichta
ENSPCOP00000025991	ENSPCOG00000025292	Propithecus_coquereli
ENSPSMP00000005720	ENSPSMG00000004328	Prolemur_simus
ENSMICP00000023304	ENSMICG00000015696	Microcebus_murinus
ENSOGAP00000004173	ENSOGAG00000004671	Otolemur_garnettii
ENSTBEP00000005345	ENSTBEG00000006211	Tupaia_belangeri
ENSHGLP00000012117	ENSHGLG00000008668	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023029	ENSHGLG00100016928	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020015	ENSFDAG00000008746	Fukomys_damarensis
ENSCLAP00000000952	ENSCLAG00000000738	Chinchilla_lanigera
ENSODEP00000014578	ENSODEG00000010787	Octodon_degus
ENSCPOP00000000457	ENSCPOG00000000521	Cavia_porcellus
ENSCAPP00000000679	ENSCAPG00000000718	Cavia_aperea
