FBpp0087092	FBgn0033686	Drosophila_melanogaster	FBtr0087984
C02F5.6b.1	WBGene00015349	Caenorhabditis_elegans_strain_N2
ENSVURP00010020616	ENSVURG00010015767	Vombatus_ursinus
ENSPCIP00000033468	ENSPCIG00000024835	Phascolarctos_cinereus
ENSMEUP00000011301	ENSMEUG00000012392	Notamacropus_eugenii
ENSSHAP00000019954	ENSSHAG00000016931	Sarcophilus_harrisii
ENSMODP00000055865	ENSMODG00000002361	Monodelphis_domestica
ENSDNOP00000033106	ENSDNOG00000041232	Dasypus_novemcinctus
ENSCHOP00000005807	ENSCHOG00000006560	Choloepus_hoffmanni
ENSEEUP00000010797	ENSEEUG00000011827	Erinaceus_europaeus
ENSSARP00000005011	ENSSARG00000005535	Sorex_araneus
ENSPVAP00000014263	ENSPVAG00000015132	Pteropus_vampyrus
ENSMLUP00000000488	ENSMLUG00000000540	Myotis_lucifugus
ENSEASP00005000148	ENSEASG00005000165	Equus_asinus_asinus
ENSECAP00000004842	ENSECAG00000006636	Equus_caballus
ENSUMAP00000017142	ENSUMAG00000012589	Ursus_maritimus
ENSUAMP00000031021	ENSUAMG00000023820	Ursus_americanus
ENSAMEP00000004591	ENSAMEG00000004357	Ailuropoda_melanoleuca
ENSNVIP00000018563	ENSNVIG00000014542	Neovison_vison
ENSMPUP00000000106	ENSMPUG00000000110	Mustela_putorius_furo
ENSMPUP00000006330	ENSMPUG00000006384	Mustela_putorius_furo
ENSCAFP00000036758	ENSCAFG00000019933	Canis_lupus_familiaris
ENSCAFP00020013662	ENSCAFG00020011008	Canis_lupus_dingo
ENSVVUP00000000710	ENSVVUG00000000668	Vulpes_vulpes
ENSPPRP00000007311	ENSPPRG00000002504	Panthera_pardus
ENSPTIP00000011934	ENSPTIG00000012184	Panthera_tigris_altaica
ENSFCAP00000003636	ENSFCAG00000003941	Felis_catus
ENSBIXP00005007362	ENSBIXG00005012606	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062452	ENSBTAG00000008467	Bos_taurus
ENSBIXP00000019846	ENSBIXG00000002699	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000005534	ENSBMUG00000004343	Bos_mutus
ENSBBBP00000000164	ENSBBBG00000009322	Bison_bison_bison
ENSCHIP00000010881	ENSCHIG00000013249	Capra_hircus
ENSOARP00000020294	ENSOARG00000018893	Ovis_aries
ENSTTRP00000000270	ENSTTRG00000000288	Tursiops_truncatus
ENSSSCP00000007302	ENSSSCG00000006846	Sus_scrofa_strain_reference
ENSVPAP00000005146	ENSVPAG00000005538	Vicugna_pacos
ENSPCOP00000028077	ENSPCOG00000026621	Propithecus_coquereli
ENSMICP00000043278	ENSMICG00000041527	Microcebus_murinus
ENSPSMP00000006436	ENSPSMG00000004842	Prolemur_simus
ENSOGAP00000012040	ENSOGAG00000013441	Otolemur_garnettii
ENSDORP00000023554	ENSDORG00000028532	Dipodomys_ordii
ENSCCNP00000020271	ENSCCNG00000020269	Castor_canadensis
ENSMSIP00000023613	ENSMSIG00000019976	Mus_spicilegus
ENSMUSP00000054829	ENSMUSG00000045662	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0062414	MGP_SPRETEiJ_G0026493	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0060034	MGP_CAROLIEiJ_G0025543	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070976	MGP_PahariEiJ_G0026989	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060946	ENSRNOG00000042814	Rattus_norvegicus
ENSMUGP00000029282	ENSMUGG00000024285	Meriones_unguiculatus
ENSPEMP00000008624	ENSPEMG00000010177	Peromyscus_maniculatus_bairdii
ENSMOCP00000025972	ENSMOCG00000021920	Microtus_ochrogaster
ENSCGRP00015035630	ENSCGRG00015026744	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002957	ENSCGRG00000002163	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000000985	ENSCGRG00000000774	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018538	ENSCGRG00001018243	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000001070	ENSMAUG00000000805	Mesocricetus_auratus
ENSNGAP00000015423	ENSNGAG00000016442	Nannospalax_galili
ENSJJAP00000015806	ENSJJAG00000017857	Jaculus_jaculus
ENSHGLP00000018286	ENSHGLG00000013096	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025632	ENSHGLG00100018798	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019261	ENSFDAG00000009267	Fukomys_damarensis
ENSCPOP00000004114	ENSCPOG00000004564	Cavia_porcellus
ENSCAPP00000014470	ENSCAPG00000014841	Cavia_aperea
ENSODEP00000006778	ENSODEG00000005071	Octodon_degus
ENSCLAP00000007779	ENSCLAG00000005459	Chinchilla_lanigera
ENSSDAP00000015371	ENSSDAG00000013848	Spermophilus_dauricus
