ENSVURP00010027186	ENSVURG00010020813	Vombatus_ursinus	ENSVURT00010030960
ENSPCIP00000047565	ENSPCIG00000034123	Phascolarctos_cinereus	ENSPCIT00000060637
ENSMEUP00000007611	ENSMEUG00000008323	Notamacropus_eugenii	ENSMEUT00000008347
ENSSHAP00000014516	ENSSHAG00000012392	Sarcophilus_harrisii	ENSSHAT00000014638
ENSMODP00000024524	ENSMODG00000019659	Monodelphis_domestica	ENSMODT00000024960
ENSCHIP00000013939	ENSCHIG00000015161	Capra_hircus
ENSOARP00000006544	ENSOARG00000006113	Ovis_aries
ENSBIXP00000032324	ENSBIXG00000014868	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009812	ENSBIXG00005014614	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000006071	ENSBMUG00000004751	Bos_mutus
ENSBTAP00000022481	ENSBTAG00000016902	Bos_taurus
ENSBBBP00000004929	ENSBBBG00000013762	Bison_bison_bison
ENSTTRP00000006192	ENSTTRG00000006543	Tursiops_truncatus	ENSTTRT00000006544
ENSSSCP00000033156	ENSSSCG00000040603	Sus_scrofa_strain_reference
ENSVPAP00000008056	ENSVPAG00000008651	Vicugna_pacos
ENSSARP00000008257	ENSSARG00000009140	Sorex_araneus
ENSUMAP00000011589	ENSUMAG00000008707	Ursus_maritimus
ENSUAMP00000020614	ENSUAMG00000016224	Ursus_americanus
ENSAMEP00000011817	ENSAMEG00000011207	Ailuropoda_melanoleuca
ENSCAFP00000011130	ENSCAFG00000007494	Canis_lupus_familiaris
ENSCAFP00020028954	ENSCAFG00020022636	Canis_lupus_dingo
ENSVVUP00000007539	ENSVVUG00000005714	Vulpes_vulpes
ENSMPUP00000014646	ENSMPUG00000014755	Mustela_putorius_furo
ENSPPRP00000011450	ENSPPRG00000005294	Panthera_pardus
ENSPTIP00000010321	ENSPTIG00000011125	Panthera_tigris_altaica
ENSFCAP00000002243	ENSFCAG00000002440	Felis_catus
ENSEEUP00000012710	ENSEEUG00000013937	Erinaceus_europaeus
ENSNVIP00000009070	ENSNVIG00000007192	Neovison_vison
ENSEASP00005009643	ENSEASG00005006851	Equus_asinus_asinus
ENSECAP00000002381	ENSECAG00000002414	Equus_caballus
ENSMLUP00000022101	ENSMLUG00000025227	Myotis_lucifugus
ENSPVAP00000007821	ENSPVAG00000008277	Pteropus_vampyrus
ENSCLAP00000009081	ENSCLAG00000006334	Chinchilla_lanigera
ENSCLAP00000000043	ENSCLAG00000000066	Chinchilla_lanigera
ENSODEP00000023639	ENSODEG00000017310	Octodon_degus
ENSODEP00000026792	ENSODEG00000020273	Octodon_degus
ENSCPOP00000007126	ENSCPOG00000007915	Cavia_porcellus
ENSCAPP00000010347	ENSCAPG00000011626	Cavia_aperea
ENSHGLP00100015684	ENSHGLG00100011582	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006188	ENSHGLG00000004522	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019109	ENSFDAG00000009359	Fukomys_damarensis
ENSSDAP00000016472	ENSSDAG00000014913	Spermophilus_dauricus
ENSSDAP00000007950	ENSSDAG00000007274	Spermophilus_dauricus
ENSUPAP00010025140	ENSUPAG00010019906	Urocitellus_parryii
ENSSTOP00000017764	ENSSTOG00000027794	Ictidomys_tridecemlineatus
ENSMMMP00000002084	ENSMMMG00000001906	Marmota_marmota_marmota
ENSCCNP00000032170	ENSCCNG00000030546	Castor_canadensis
ENSCCNP00000019922	ENSCCNG00000019957	Castor_canadensis
ENSNGAP00000007563	ENSNGAG00000010789	Nannospalax_galili
ENSOCUP00000008117	ENSOCUG00000009413	Oryctolagus_cuniculus
