MGP_CAROLIEiJ_P0031518	MGP_CAROLIEiJ_G0017515	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00001002316	ENSCGRG00001002455	Cricetulus_griseus_CHOK1GS_HDv1
ENSPREP00000020947	ENSPREG00000014154	Poecilia_reticulata
ENSMUGP00000001686	ENSMUGG00000001535	Meriones_unguiculatus
ENSNGAP00000011248	ENSNGAG00000013406	Nannospalax_galili
ENSCINP00000027298	ENSCING00000015372	Ciona_intestinalis
ENSCLAP00000010419	ENSCLAG00000007199	Chinchilla_lanigera
ENSSMAP00000018977	ENSSMAG00000011592	Scophthalmus_maximus
F59E12.4b.1	WBGene00019120	Caenorhabditis_elegans_strain_N2
ENSBIXP00005033827	ENSBIXG00005014667	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHGLP00000021207	ENSHGLG00000015156	Heterocephalus_glaber_HetGla_female_1.0
ENSCVAP00000017847	ENSCVAG00000021061	Cyprinodon_variegatus
ENSAMXP00005021748	ENSAMXG00005010840	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTGUP00000003043	ENSTGUG00000002958	Taeniopygia_guttata
ENSCANP00000011425	ENSCANG00000029117	Colobus_angolensis_palliatus
ENSCCAP00000014905	ENSCCAG00000025242	Cebus_capucinus_imitator
ENSP00000331487	ENSG00000182446	Homo_sapiens
ENSORLP00000017276	ENSORLG00000013774	Oryzias_latipes_ASM223467v1
ENSXMAP00000014597	ENSXMAG00000014563	Xiphophorus_maculatus
ENSMZEP00005013057	ENSMZEG00005009795	Maylandia_zebra
ENSOANP00000016726	ENSOANG00000010555	Ornithorhynchus_anatinus
ENSOMEP00000019479	ENSOMEG00000021311	Oryzias_melastigma
ENSHGLP00000012919	ENSHGLG00000009236	Heterocephalus_glaber_HetGla_female_1.0
ENSPKIP00000029784	ENSPKIG00000010886	Paramormyrops_kingsleyae
FBpp0084267	FBgn0039348	Drosophila_melanogaster
ENSPNAP00000026495	ENSPNAG00000001954	Pygocentrus_nattereri
ENSCPGP00000023377	ENSCPGG00000016190	Calidris_pygmaea
ENSNBRP00000031538	ENSNBRG00000023963	Neolamprologus_brichardi
ENSCCEP00000019631	ENSCCEG00000017827	Cyanistes_caeruleus
ENSAPLP00000028051	ENSAPLG00000030076	Anas_platyrhynchos_platyrhynchos
ENSSPUP00000018660	ENSSPUG00000014398	Sphenodon_punctatus
ENSCATP00000026383	ENSCATG00000036603	Cercocebus_atys
ENSMUNP00000001773	ENSMUNG00000001526	Melopsittacus_undulatus
ENSANAP00000036198	ENSANAG00000035556	Aotus_nancymaae
ENSEBUP00000005130	ENSEBUG00000003510	Eptatretus_burgeri
ENSFDAP00000021778	ENSFDAG00000007478	Fukomys_damarensis
ENSEEEP00000001782	ENSEEEG00000000454	Electrophorus_electricus
ENSECAP00000010788	ENSECAG00000012622	Equus_caballus
ENSCSAP00000015777	ENSCSAG00000002261	Chlorocebus_sabaeus
ENSEASP00005007919	ENSEASG00005005741	Equus_asinus_asinus
ENSPPYP00000024006	ENSPPYG00000008737	Pongo_abelii
ENSHGLP00100008859	ENSHGLG00100006592	Heterocephalus_glaber_HetGla_1.0
ENSPVIP00000010392	ENSPVIG00000008235	Pogona_vitticeps
ENSTTRP00000006096	ENSTTRG00000006439	Tursiops_truncatus
ENSPKIP00000022275	ENSPKIG00000006254	Paramormyrops_kingsleyae
ENSNSUP00000013220	ENSNSUG00000009751	Notechis_scutatus
ENSPANP00000021573	ENSPANG00000019382	Papio_anubis
ENSAPOP00000018157	ENSAPOG00000021520	Acanthochromis_polyacanthus
ENSCABP00000017382	ENSCABG00000011932	Chelonoidis_abingdonii
ENSFCAP00000011981	ENSFCAG00000012919	Felis_catus
ENSONIP00000022749	ENSONIG00000018054	Oreochromis_niloticus
ENSSTOP00000017224	ENSSTOG00000000080	Ictidomys_tridecemlineatus
ENSSFOP00015029404	ENSSFOG00015018873	Scleropages_formosus
ENSSSCP00000052318	ENSSSCG00000024235	Sus_scrofa_strain_reference
ENSPPRP00000001509	ENSPPRG00000024069	Panthera_pardus
ENSORLP00015032002	ENSORLG00015016566	Oryzias_latipes_ASM223469v1
ENSJHYP00000002584	ENSJHYG00000002169	Junco_hyemalis
ENSMOCP00000020140	ENSMOCG00000017904	Microtus_ochrogaster
ENSMODP00000003263	ENSMODG00000002690	Monodelphis_domestica
