ENSDCDP00000012645	ENSDCDG00000007763	Denticeps_clupeoides
ENSCHAP00000049692	ENSCHAG00000022807	Clupea_harengus
ENSEEEP00000050519	ENSEEEG00000023757	Electrophorus_electricus
ENSIPUP00000018560	ENSIPUG00000012609	Ictalurus_punctatus
ENSAMXP00000054308	ENSAMXG00000042020	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005056759	ENSAMXG00005025170	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000003308	ENSPNAG00000009703	Pygocentrus_nattereri
ENSDARP00000034175	ENSDARG00000023950	Danio_rerio
ENSHHUP00000045566	ENSHHUG00000027804	Hucho_hucho
ENSELUP00000039364	ENSELUG00000000856	Esox_lucius
ENSPFOP00000018608	ENSPFOG00000018500	Poecilia_formosa
ENSPMEP00000027093	ENSPMEG00000011223	Poecilia_mexicana
ENSPLAP00000031168	ENSPLAG00000022933	Poecilia_latipinna
ENSPREP00000010531	ENSPREG00000007180	Poecilia_reticulata
ENSXMAP00000031625	ENSXMAG00000005575	Xiphophorus_maculatus
ENSGAFP00000020707	ENSGAFG00000013972	Gambusia_affinis
ENSCSEP00000025419	ENSCSEG00000016225	Cynoglossus_semilaevis
ENSPMGP00000009011	ENSPMGG00000007456	Periophthalmus_magnuspinnatus
ENSTNIP00000002431	ENSTNIG00000008561	Tetraodon_nigroviridis
ENSTRUP00000050664	ENSTRUG00000022720	Takifugu_rubripes
ENSAOCP00000015019	ENSAOCG00000019748	Amphiprion_ocellaris
ENSAPOP00000022767	ENSAPOG00000004156	Acanthochromis_polyacanthus
ENSSPAP00000024045	ENSSPAG00000018160	Stegastes_partitus
ENSGWIP00000035087	ENSGWIG00000018172	Gouania_willdenowi
ENSPRNP00000029465	ENSPRNG00000014715	Parambassis_ranga
ENSKMAP00000017092	ENSKMAG00000012759	Kryptolebias_marmoratus
ENSFHEP00000008070	ENSFHEG00000009241	Fundulus_heteroclitus
ENSORLP00015001024	ENSORLG00015001610	Oryzias_latipes_ASM223469v1
ENSORLP00020032790	ENSORLG00020018520	Oryzias_latipes_ASM223471v1
ENSORLP00000035020	ENSORLG00000027106	Oryzias_latipes_ASM223467v1
ENSOMEP00000008287	ENSOMEG00000009434	Oryzias_melastigma
ENSPNYP00000022637	ENSPNYG00000017092	Pundamilia_nyererei
ENSHBUP00000019963	ENSHBUG00000022191	Haplochromis_burtoni
ENSMZEP00005031910	ENSMZEG00005023807	Maylandia_zebra
