ENSSPUP00000004264	ENSSPUG00000003267	Sphenodon_punctatus	ENSSPUT00000004538
ENSPVIP00000020099	ENSPVIG00000015344	Pogona_vitticeps	ENSPVIT00000025006
ENSLSDP00000006589	ENSLSDG00000004964	Lonchura_striata_domestica
ENSSCAP00000001695	ENSSCAG00000001347	Serinus_canaria
ENSCCEP00000020302	ENSCCEG00000018321	Cyanistes_caeruleus
ENSTGUP00000008528	ENSTGUG00000008270	Taeniopygia_guttata	ENSTGUT00000008619
ENSJHYP00000020062	ENSJHYG00000015224	Junco_hyemalis
ENSZALP00000014912	ENSZALG00000012313	Zonotrichia_albicollis
ENSMGAP00000005901	ENSMGAG00000005926	Meleagris_gallopavo
ENSPCAP00000007163	ENSPCAG00000007648	Procavia_capensis
ENSGACP00000009842	ENSGACG00000007395	Gasterosteus_aculeatus
ENSSMAP00000033073	ENSSMAG00000020243	Scophthalmus_maximus
ENSEEEP00000026670	ENSEEEG00000012787	Electrophorus_electricus
ENSSFOP00015023345	ENSSFOG00015015018	Scleropages_formosus
ENSCSAVP00000007264	ENSCSAVG00000004339	Ciona_savignyi
