ENSPKIP00000016613	ENSPKIG00000002853	Paramormyrops_kingsleyae
ENSSFOP00015020879	ENSSFOG00015013437	Scleropages_formosus
ENSAMXP00000028272	ENSAMXG00000033870	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030190	ENSAMXG00005014836	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005143	ENSPNAG00000011445	Pygocentrus_nattereri
ENSIPUP00000001431	ENSIPUG00000001013	Ictalurus_punctatus
ENSEEEP00000023245	ENSEEEG00000011272	Electrophorus_electricus
ENSDARP00000127157	ENSDARG00000056050	Danio_rerio
ENSCHAP00000005600	ENSCHAG00000003583	Clupea_harengus
ENSAOCP00000007555	ENSAOCG00000011366	Amphiprion_ocellaris
ENSAPEP00000005671	ENSAPEG00000004068	Amphiprion_percula
ENSAPOP00000033655	ENSAPOG00000022323	Acanthochromis_polyacanthus
ENSSPAP00000005599	ENSSPAG00000004339	Stegastes_partitus
ENSPRNP00000033684	ENSPRNG00000016942	Parambassis_ranga
ENSMZEP00005025800	ENSMZEG00005019247	Maylandia_zebra
ENSHBUP00000003023	ENSHBUG00000004255	Haplochromis_burtoni
ENSONIP00000024779	ENSONIG00000019686	Oreochromis_niloticus
ENSACIP00000028167	ENSACIG00000021715	Amphilophus_citrinellus
ENSGWIP00000032861	ENSGWIG00000016894	Gouania_willdenowi
ENSSDUP00000011125	ENSSDUG00000008135	Seriola_dumerili
ENSLCRP00005016575	ENSLCRG00005006897	Larimichthys_crocea
ENSCGOP00000025834	ENSCGOG00000012201	Cottoperca_gobio
ENSACLP00000028704	ENSACLG00000019454	Astatotilapia_calliptera
ENSPNYP00000005861	ENSPNYG00000004528	Pundamilia_nyererei
ENSNBRP00000006287	ENSNBRG00000004953	Neolamprologus_brichardi
ENSPMEP00000017472	ENSPMEG00000020298	Poecilia_mexicana
ENSPREP00000007412	ENSPREG00000005098	Poecilia_reticulata
ENSLCAP00010000321	ENSLCAG00010000218	Lates_calcarifer
ENSSMAP00000011881	ENSSMAG00000007319	Scophthalmus_maximus
ENSSLDP00000011503	ENSSLDG00000009137	Seriola_lalandi_dorsalis
ENSMMOP00000004584	ENSMMOG00000003653	Mola_mola
ENSTRUP00000052341	ENSTRUG00000022094	Takifugu_rubripes
ENSLBEP00000002120	ENSLBEG00000001676	Labrus_bergylta
ENSMAMP00000005776	ENSMAMG00000003929	Mastacembelus_armatus
ENSMALP00000012499	ENSMALG00000008868	Monopterus_albus
ENSATEP00000010550	ENSATEG00000007442	Anabas_testudineus
ENSGACP00000006126	ENSGACG00000004643	Gasterosteus_aculeatus
ENSTNIP00000015915	ENSTNIG00000012935	Tetraodon_nigroviridis
ENSXMAP00000005003	ENSXMAG00000004997	Xiphophorus_maculatus
ENSXCOP00000004865	ENSXCOG00000003815	Xiphophorus_couchianus
ENSGAFP00000030578	ENSGAFG00000020608	Gambusia_affinis
ENSPLAP00000000533	ENSPLAG00000001371	Poecilia_latipinna
ENSPFOP00000027691	ENSPFOG00000024061	Poecilia_formosa
ENSCVAP00000019701	ENSCVAG00000023080	Cyprinodon_variegatus
ENSFHEP00000020546	ENSFHEG00000022496	Fundulus_heteroclitus
ENSORLP00020006331	ENSORLG00020007168	Oryzias_latipes_ASM223471v1
ENSORLP00015005178	ENSORLG00015005962	Oryzias_latipes_ASM223469v1
ENSORLP00000033375	ENSORLG00000025913	Oryzias_latipes_ASM223467v1
ENSOMEP00000007340	ENSOMEG00000008407	Oryzias_melastigma
ENSKMAP00000029705	ENSKMAG00000021978	Kryptolebias_marmoratus
ENSPMGP00000005215	ENSPMGG00000004375	Periophthalmus_magnuspinnatus
ENSCSEP00000030925	ENSCSEG00000019796	Cynoglossus_semilaevis
ENSBSLP00000044862	ENSBSLG00000021437	Betta_splendens
ENSHCOP00000008136	ENSHCOG00000010314	Hippocampus_comes
ENSGMOP00000014168	ENSGMOG00000013246	Gadus_morhua
ENSELUP00000020417	ENSELUG00000019633	Esox_lucius
ENSHHUP00000020137	ENSHHUG00000012581	Hucho_hucho
ENSHHUP00000081082	ENSHHUG00000047173	Hucho_hucho
ENSDCDP00000044492	ENSDCDG00000028244	Denticeps_clupeoides
ENSECRP00000023436	ENSECRG00000015860	Erpetoichthys_calabaricus
