ENSVURP00010027278	ENSVURG00010020878	Vombatus_ursinus
ENSPCIP00000009144	ENSPCIG00000007505	Phascolarctos_cinereus
ENSSHAP00000014458	ENSSHAG00000012344	Sarcophilus_harrisii
ENSPPAP00000041820	ENSPPAG00000043509	Pan_paniscus
ENSP00000456500	ENSG00000225614	Homo_sapiens
ENSPPYP00000008614	ENSPPYG00000007636	Pongo_abelii
ENSNLEP00000029274	ENSNLEG00000000486	Nomascus_leucogenys
ENSTGEP00000024905	ENSTGEG00000020116	Theropithecus_gelada
ENSPANP00000040640	ENSPANG00000009189	Papio_anubis
ENSCATP00000010546	ENSCATG00000029561	Cercocebus_atys
ENSMLEP00000028001	ENSMLEG00000038208	Mandrillus_leucophaeus
ENSMFAP00000039352	ENSMFAG00000045885	Macaca_fascicularis
ENSMMUP00000055007	ENSMMUG00000046821	Macaca_mulatta
ENSMNEP00000027779	ENSMNEG00000037291	Macaca_nemestrina
ENSCSAP00000014930	ENSCSAG00000003112	Chlorocebus_sabaeus
ENSPTEP00000040186	ENSPTEG00000037061	Piliocolobus_tephrosceles
ENSCANP00000010436	ENSCANG00000028636	Colobus_angolensis_palliatus
ENSRBIP00000032525	ENSRBIG00000040060	Rhinopithecus_bieti
ENSRROP00000006076	ENSRROG00000024447	Rhinopithecus_roxellana
ENSSBOP00000012030	ENSSBOG00000022836	Saimiri_boliviensis_boliviensis
ENSCCAP00000037479	ENSCCAG00000036599	Cebus_capucinus_imitator
ENSCJAP00000068367	ENSCJAG00000064452	Callithrix_jacchus
ENSANAP00000036155	ENSANAG00000035596	Aotus_nancymaae
ENSTSYP00000033883	ENSTSYG00000033692	Carlito_syrichta
ENSPCOP00000018901	ENSPCOG00000021371	Propithecus_coquereli
ENSPSMP00000013033	ENSPSMG00000009368	Prolemur_simus
ENSMICP00000040656	ENSMICG00000047893	Microcebus_murinus
ENSOGAP00000018491	ENSOGAG00000032140	Otolemur_garnettii
ENSMUSP00000158621	ENSMUSG00000043903	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018617	ENSMSIG00000015864	Mus_spicilegus
ENSMUGP00000010350	ENSMUGG00000009154	Meriones_unguiculatus
ENSCGRP00015028711	ENSCGRG00015021735	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002359	ENSCGRG00001002538	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000033710	ENSPEMG00000029136	Peromyscus_maniculatus_bairdii
ENSCCNP00000013839	ENSCCNG00000014341	Castor_canadensis
ENSUPAP00010019202	ENSUPAG00010015213	Urocitellus_parryii
ENSBIXP00005004653	ENSBIXG00005010535	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000017980	ENSBMUG00000013613	Bos_mutus
ENSOARP00000013340	ENSOARG00000012448	Ovis_aries
ENSSSCP00000039845	ENSSSCG00000031875	Sus_scrofa_strain_reference
