ENSMVIP00005000708	ENSMVIG00005000591	Manacus_vitellinus
ENSAPLP00000009244	ENSAPLG00000009545	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000008417	ENSAOWG00000005790	Apteryx_owenii	ENSAOWT00000009530
ENSPCAP00000009346	ENSPCAG00000010069	Procavia_capensis
ENSXETP00000012445	ENSXETG00000014352	Xenopus_tropicalis
ENSCHAP00000042132	ENSCHAG00000019663	Clupea_harengus
ENSLCAP00010047900	ENSLCAG00010022250	Lates_calcarifer
ENSLCRP00005062507	ENSLCRG00005022960	Larimichthys_crocea
ENSLBEP00000027844	ENSLBEG00000021118	Labrus_bergylta
ENSCGOP00000021835	ENSCGOG00000010502	Cottoperca_gobio
ENSMAMP00000020329	ENSMAMG00000013682	Mastacembelus_armatus
ENSMALP00000000115	ENSMALG00000000159	Monopterus_albus
ENSSLDP00000031257	ENSSLDG00000024019	Seriola_lalandi_dorsalis
ENSSDUP00000024939	ENSSDUG00000018114	Seriola_dumerili
ENSAOCP00000014883	ENSAOCG00000001423	Amphiprion_ocellaris
ENSAPEP00000001504	ENSAPEG00000001132	Amphiprion_percula
ENSAPOP00000026131	ENSAPOG00000009706	Acanthochromis_polyacanthus
ENSSPAP00000000188	ENSSPAG00000000176	Stegastes_partitus
ENSACLP00000037406	ENSACLG00000025331	Astatotilapia_calliptera
ENSMZEP00005011559	ENSMZEG00005008676	Maylandia_zebra
ENSPNYP00000030449	ENSPNYG00000022954	Pundamilia_nyererei
ENSHBUP00000031300	ENSHBUG00000016891	Haplochromis_burtoni
ENSNBRP00000013757	ENSNBRG00000010648	Neolamprologus_brichardi
ENSONIP00000024582	ENSONIG00000019528	Oreochromis_niloticus
ENSACIP00000018981	ENSACIG00000014792	Amphilophus_citrinellus
ENSTRUP00000050002	ENSTRUG00000011122	Takifugu_rubripes
ENSHCOP00000022415	ENSHCOG00000010084	Hippocampus_comes
ENSORLP00015024147	ENSORLG00015004532	Oryzias_latipes_ASM223469v1
ENSORLP00020025537	ENSORLG00020007514	Oryzias_latipes_ASM223471v1
ENSORLP00000037168	ENSORLG00000030483	Oryzias_latipes_ASM223467v1
ENSOMEP00000009148	ENSOMEG00000010338	Oryzias_melastigma
ENSMMOP00000006040	ENSMMOG00000004740	Mola_mola
ENSSMAP00000019462	ENSSMAG00000011947	Scophthalmus_maximus
ENSCSEP00000025282	ENSCSEG00000016148	Cynoglossus_semilaevis
ENSATEP00000014903	ENSATEG00000010382	Anabas_testudineus
ENSGACP00000016868	ENSGACG00000012772	Gasterosteus_aculeatus
ENSKMAP00000011722	ENSKMAG00000008831	Kryptolebias_marmoratus
ENSPFOP00000012899	ENSPFOG00000012907	Poecilia_formosa
ENSPLAP00000030952	ENSPLAG00000022496	Poecilia_latipinna
ENSPMEP00000009919	ENSPMEG00000011801	Poecilia_mexicana
ENSPREP00000007708	ENSPREG00000005286	Poecilia_reticulata
ENSXMAP00000009261	ENSXMAG00000009242	Xiphophorus_maculatus
ENSGAFP00000028943	ENSGAFG00000019534	Gambusia_affinis
ENSFHEP00000034018	ENSFHEG00000021495	Fundulus_heteroclitus
ENSCVAP00000032727	ENSCVAG00000022975	Cyprinodon_variegatus
ENSPMGP00000029927	ENSPMGG00000024078	Periophthalmus_magnuspinnatus
ENSACAP00000005621	ENSACAG00000005763	Anolis_carolinensis
ENSPVIP00000000004	ENSPVIG00000000005	Pogona_vitticeps
ENSPMJP00000020586	ENSPMJG00000015328	Parus_major
ENSCCEP00000011353	ENSCCEG00000011134	Cyanistes_caeruleus
ENSFALP00000012206	ENSFALG00000011695	Ficedula_albicollis
ENSLCOP00000022960	ENSLCOG00000016128	Lepidothrix_coronata
ENSTGUP00000012538	ENSTGUG00000012175	Taeniopygia_guttata
ENSZALP00000000366	ENSZALG00000000423	Zonotrichia_albicollis
ENSJHYP00000023597	ENSJHYG00000017745	Junco_hyemalis
ENSSCAP00000000718	ENSSCAG00000000615	Serinus_canaria
ENSMUNP00000014649	ENSMUNG00000011388	Melopsittacus_undulatus
ENSGALP00000024672	ENSGALG00000015314	Gallus_gallus
ENSMGAP00000014283	ENSMGAG00000013515	Meleagris_gallopavo
ENSCJPP00005010919	ENSCJPG00005009435	Coturnix_japonica
ENSNMEP00000008679	ENSNMEG00000008449	Numida_meleagris
ENSABRP00000002840	ENSABRG00000002730	Anser_brachyrhynchus
ENSARWP00000014709	ENSARWG00000010171	Apteryx_rowi	ENSARWT00000016792
ENSAHAP00000019924	ENSAHAG00000014058	Apteryx_haastii	ENSAHAT00000022001
ENSAOWP00000023905	ENSAOWG00000016143	Apteryx_owenii	ENSAOWT00000027071
ENSNPEP00000007675	ENSNPEG00000005748	Nothoprocta_perdicaria	ENSNPET00000007870
ENSDNVP00000020345	ENSDNVG00000014256	Dromaius_novaehollandiae	ENSDNVT00000024527
ENSPCIP00000000392	ENSPCIG00000000335	Phascolarctos_cinereus
ENSVURP00010013314	ENSVURG00010010224	Vombatus_ursinus
ENSMEUP00000012347	ENSMEUG00000013540	Notamacropus_eugenii
ENSSHAP00000018000	ENSSHAG00000015283	Sarcophilus_harrisii
ENSMODP00000022470	ENSMODG00000018019	Monodelphis_domestica
ENSPSIP00000005440	ENSPSIG00000005074	Pelodiscus_sinensis
ENSHGLP00000003482	ENSHGLG00000002571	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013527	ENSHGLG00100009999	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008638	ENSFDAG00000016859	Fukomys_damarensis
ENSODEP00000017107	ENSODEG00000012604	Octodon_degus
ENSCLAP00000014042	ENSCLAG00000009701	Chinchilla_lanigera
ENSCPOP00000022266	ENSCPOG00000036541	Cavia_porcellus
ENSCAPP00000003695	ENSCAPG00000006400	Cavia_aperea
ENSMSIP00000036401	ENSMSIG00000030306	Mus_spicilegus
MGP_SPRETEiJ_P0023945	MGP_SPRETEiJ_G0016096	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000127351	ENSMUSG00000038214	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0022804	MGP_CAROLIEiJ_G0015287	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085985	MGP_PahariEiJ_G0030705	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067331	ENSRNOG00000046505	Rattus_norvegicus
ENSMUGP00000000090	ENSMUGG00000000148	Meriones_unguiculatus
ENSCGRP00001005272	ENSCGRG00001006904	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000012168	ENSCGRG00000008860	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015002019	ENSCGRG00015001657	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024267	ENSMAUG00000021184	Mesocricetus_auratus
ENSMOCP00000007500	ENSMOCG00000007344	Microtus_ochrogaster
ENSPEMP00000029844	ENSPEMG00000031300	Peromyscus_maniculatus_bairdii
ENSJJAP00000012125	ENSJJAG00000015264	Jaculus_jaculus
ENSDORP00000016923	ENSDORG00000013215	Dipodomys_ordii
ENSPPYP00000018905	ENSPPYG00000016886	Pongo_abelii
ENSOPRP00000013999	ENSOPRG00000015338	Ochotona_princeps
ENSTBEP00000003207	ENSTBEG00000003684	Tupaia_belangeri
ENSPCOP00000011727	ENSPCOG00000017387	Propithecus_coquereli
ENSMICP00000048104	ENSMICG00000043137	Microcebus_murinus
ENSPSMP00000003953	ENSPSMG00000003180	Prolemur_simus
ENSOGAP00000019610	ENSOGAG00000027957	Otolemur_garnettii
ENSSBOP00000033705	ENSSBOG00000033013	Saimiri_boliviensis_boliviensis
ENSCJAP00000065575	ENSCJAG00000039628	Callithrix_jacchus
ENSSBOP00000026690	ENSSBOG00000029782	Saimiri_boliviensis_boliviensis
ENSCCAP00000029825	ENSCCAG00000032949	Cebus_capucinus_imitator
ENSANAP00000006084	ENSANAG00000021126	Aotus_nancymaae
ENSGGOP00000005341	ENSGGOG00000005456	Gorilla_gorilla
ENSP00000411268	ENSG00000178409	Homo_sapiens
ENSPTRP00000031538	ENSPTRG00000018465	Pan_troglodytes
ENSPPAP00000032715	ENSPPAG00000039227	Pan_paniscus
ENSNLEP00000016313	ENSNLEG00000013464	Nomascus_leucogenys
ENSMLEP00000009282	ENSMLEG00000028839	Mandrillus_leucophaeus
ENSCATP00000044848	ENSCATG00000044885	Cercocebus_atys
ENSPANP00000015538	ENSPANG00000024031	Papio_anubis
ENSTGEP00000029376	ENSTGEG00000023628	Theropithecus_gelada
ENSMFAP00000024540	ENSMFAG00000043850	Macaca_fascicularis
ENSMMUP00000063347	ENSMMUG00000052231	Macaca_mulatta
ENSMNEP00000025643	ENSMNEG00000036299	Macaca_nemestrina
ENSCSAP00000010979	ENSCSAG00000014875	Chlorocebus_sabaeus
ENSPTEP00000013771	ENSPTEG00000015392	Piliocolobus_tephrosceles
ENSCANP00000025517	ENSCANG00000036192	Colobus_angolensis_palliatus
ENSRBIP00000031419	ENSRBIG00000039549	Rhinopithecus_bieti
ENSOARP00000011860	ENSOARG00000011068	Ovis_aries
ENSCHIP00000007088	ENSCHIG00000010728	Capra_hircus
ENSBIXP00000011212	ENSBIXG00000016523	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028166	ENSBIXG00005029403	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000013648	ENSBMUG00000010421	Bos_mutus
ENSBTAP00000016639	ENSBTAG00000012534	Bos_taurus
ENSBBBP00000018060	ENSBBBG00000001878	Bison_bison_bison
ENSTTRP00000007018	ENSTTRG00000007417	Tursiops_truncatus
ENSSSCP00000049653	ENSSSCG00000031159	Sus_scrofa_strain_reference
