ENSCLAP00000008711	ENSCLAG00000006099	Chinchilla_lanigera
ENSODEP00000000218	ENSODEG00000000190	Octodon_degus
ENSCAPP00000015686	ENSCAPG00000015759	Cavia_aperea
ENSCPOP00000002451	ENSCPOG00000002700	Cavia_porcellus
ENSHGLP00100022591	ENSHGLG00100016614	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014983	ENSHGLG00000010724	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020873	ENSFDAG00000008122	Fukomys_damarensis
ENSMMMP00000007474	ENSMMMG00000006720	Marmota_marmota_marmota
ENSSDAP00000018451	ENSSDAG00000016869	Spermophilus_dauricus
ENSUPAP00010019695	ENSUPAG00010015590	Urocitellus_parryii
ENSSTOP00000001892	ENSSTOG00000002129	Ictidomys_tridecemlineatus
ENSMUSP00000029881	ENSMUSG00000028226	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0063957	MGP_SPRETEiJ_G0026780	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000020713	ENSMSIG00000017612	Mus_spicilegus
MGP_CAROLIEiJ_P0061523	MGP_CAROLIEiJ_G0025831	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057193	MGP_PahariEiJ_G0023954	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000040229	ENSRNOG00000005708	Rattus_norvegicus
ENSMUGP00000028636	ENSMUGG00000023743	Meriones_unguiculatus
ENSPEMP00000015619	ENSPEMG00000015078	Peromyscus_maniculatus_bairdii
ENSMOCP00000025337	ENSMOCG00000021490	Microtus_ochrogaster
ENSCGRP00015016489	ENSCGRG00015012694	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009909	ENSCGRG00001011918	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005219	ENSCGRG00000003820	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000003592	ENSMAUG00000004025	Mesocricetus_auratus
ENSNGAP00000019585	ENSNGAG00000019346	Nannospalax_galili
ENSDORP00000000437	ENSDORG00000000461	Dipodomys_ordii
ENSOCUP00000009663	ENSOCUG00000011230	Oryctolagus_cuniculus
ENSOPRP00000002507	ENSOPRG00000002725	Ochotona_princeps
ENSMICP00000024775	ENSMICG00000009208	Microcebus_murinus
ENSPSMP00000037001	ENSPSMG00000025449	Prolemur_simus
ENSPCOP00000001227	ENSPCOG00000003878	Propithecus_coquereli
ENSOGAP00000002434	ENSOGAG00000002718	Otolemur_garnettii
ENSP00000286614	ENSG00000156103	Homo_sapiens
ENSGGOP00000028801	ENSGGOG00000027756	Gorilla_gorilla
ENSPPAP00000002499	ENSPPAG00000010941	Pan_paniscus
ENSPTRP00000075323	ENSPTRG00000020403	Pan_troglodytes
ENSPPYP00000021008	ENSPPYG00000018729	Pongo_abelii
ENSNLEP00000034441	ENSNLEG00000027127	Nomascus_leucogenys
ENSMMUP00000017330	ENSMMUG00000013193	Macaca_mulatta
ENSMFAP00000042608	ENSMFAG00000040046	Macaca_fascicularis
ENSMNEP00000000830	ENSMNEG00000003965	Macaca_nemestrina
ENSTGEP00000032024	ENSTGEG00000025615	Theropithecus_gelada
ENSPANP00000033273	ENSPANG00000010068	Papio_anubis
ENSMLEP00000000433	ENSMLEG00000000949	Mandrillus_leucophaeus
ENSCATP00000031834	ENSCATG00000039014	Cercocebus_atys
ENSCSAP00000009117	ENSCSAG00000012941	Chlorocebus_sabaeus
ENSRROP00000020657	ENSRROG00000034264	Rhinopithecus_roxellana
ENSRBIP00000014392	ENSRBIG00000031261	Rhinopithecus_bieti
ENSPTEP00000037185	ENSPTEG00000034819	Piliocolobus_tephrosceles
ENSCANP00000012852	ENSCANG00000029811	Colobus_angolensis_palliatus
ENSSBOP00000028674	ENSSBOG00000030687	Saimiri_boliviensis_boliviensis
ENSCCAP00000012754	ENSCCAG00000024170	Cebus_capucinus_imitator
ENSCJAP00000054882	ENSCJAG00000000239	Callithrix_jacchus
ENSANAP00000004533	ENSANAG00000020334	Aotus_nancymaae
ENSTSYP00000007559	ENSTSYG00000008252	Carlito_syrichta
ENSTBEP00000000518	ENSTBEG00000000595	Tupaia_belangeri
ENSSARP00000005731	ENSSARG00000006332	Sorex_araneus
ENSOARP00000012154	ENSOARG00000011340	Ovis_aries
ENSCHIP00000010990	ENSCHIG00000013290	Capra_hircus
ENSBIXP00005027009	ENSBIXG00005001955	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009879	ENSBIXG00000015498	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000013946	ENSBMUG00000010630	Bos_mutus
ENSBTAP00000053634	ENSBTAG00000006877	Bos_taurus
ENSBBBP00000013083	ENSBBBG00000005585	Bison_bison_bison
ENSTTRP00000003178	ENSTTRG00000003390	Tursiops_truncatus
ENSSSCP00000044344	ENSSSCG00000006132	Sus_scrofa_strain_reference
ENSVPAP00000005705	ENSVPAG00000006152	Vicugna_pacos
ENSEASP00005027520	ENSEASG00005018731	Equus_asinus_asinus
ENSECAP00000055142	ENSECAG00000019036	Equus_caballus
ENSUAMP00000037190	ENSUAMG00000028157	Ursus_americanus
ENSUMAP00000020852	ENSUMAG00000015249	Ursus_maritimus
ENSAMEP00000018115	ENSAMEG00000017143	Ailuropoda_melanoleuca
ENSNVIP00000008716	ENSNVIG00000006896	Neovison_vison
ENSCAFP00000013128	ENSCAFG00000008925	Canis_lupus_familiaris
ENSCAFP00020015381	ENSCAFG00020012348	Canis_lupus_dingo
ENSVVUP00000002447	ENSVVUG00000001923	Vulpes_vulpes
ENSPTIP00000023901	ENSPTIG00000020196	Panthera_tigris_altaica
ENSPPRP00000027666	ENSPPRG00000019318	Panthera_pardus
