ENSUMAP00000003817	ENSUMAG00000003145	Ursus_maritimus
ENSAMEP00000014169	ENSAMEG00000013450	Ailuropoda_melanoleuca
ENSMPUP00000016649	ENSMPUG00000016754	Mustela_putorius_furo
ENSNVIP00000031952	ENSNVIG00000024602	Neovison_vison
ENSCAFP00000020659	ENSCAFG00000014011	Canis_lupus_familiaris
ENSCAFP00020004002	ENSCAFG00020003201	Canis_lupus_dingo
ENSVVUP00000014589	ENSVVUG00000010676	Vulpes_vulpes
ENSPPRP00000021414	ENSPPRG00000012515	Panthera_pardus
ENSMLUP00000020875	ENSMLUG00000029332	Myotis_lucifugus
ENSCHIP00000025601	ENSCHIG00000021895	Capra_hircus
ENSCHIP00000010047	ENSCHIG00000012690	Capra_hircus
ENSCHIP00000015143	ENSCHIG00000015796	Capra_hircus
ENSCHIP00000007811	ENSCHIG00000011119	Capra_hircus
ENSCHIP00000010422	ENSCHIG00000012940	Capra_hircus
ENSCHIP00000010209	ENSCHIG00000012795	Capra_hircus
ENSBIXP00000008468	ENSBIXG00000014335	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013956	ENSBIXG00005018133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005036612	ENSBIXG00005018398	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000074579	ENSBTAG00000054245	Bos_taurus
ENSBTAP00000061406	ENSBTAG00000053486	Bos_taurus
ENSBIXP00000009022	ENSBIXG00000015001	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009242	ENSBIXG00005014613	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000021597	ENSOARG00000020114	Ovis_aries
ENSBBBP00000005809	ENSBBBG00000001299	Bison_bison_bison
ENSBIXP00005013229	ENSBIXG00005017933	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000008551	ENSBIXG00000001701	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000028129	ENSBTAG00000049861	Bos_taurus
ENSOARP00000002025	ENSOARG00000001928	Ovis_aries
ENSCHIP00000009917	ENSCHIG00000012612	Capra_hircus
ENSBIXP00000008987	ENSBIXG00000014710	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000063382	ENSBTAG00000048875	Bos_taurus
ENSOARP00000021606	ENSOARG00000020123	Ovis_aries
ENSOARP00000002186	ENSOARG00000002080	Ovis_aries
ENSOARP00000002400	ENSOARG00000002268	Ovis_aries
ENSOARP00000001514	ENSOARG00000001459	Ovis_aries
ENSBTAP00000070408	ENSBTAG00000050749	Bos_taurus
ENSBIXP00005010113	ENSBIXG00005002126	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032212	ENSBIXG00000014716	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000067936	ENSBTAG00000051330	Bos_taurus
ENSBMUP00000014133	ENSBMUG00000010668	Bos_mutus
ENSBTAP00000073950	ENSBTAG00000050603	Bos_taurus
ENSCHIP00000011959	ENSCHIG00000013916	Capra_hircus
ENSBIXP00000031911	ENSBIXG00000014359	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010691	ENSBIXG00005002248	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000031765	ENSCHIG00000025997	Capra_hircus
ENSCHIP00000013934	ENSCHIG00000015136	Capra_hircus
ENSBTAP00000052785	ENSBTAG00000039256	Bos_taurus
ENSBIXP00005010759	ENSBIXG00005015330	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000005442	ENSBBBG00000001433	Bison_bison_bison
ENSBIXP00000008548	ENSBIXG00000014365	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000010961	ENSCHIG00000013285	Capra_hircus
ENSBIXP00005010549	ENSBIXG00005015182	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005010973	ENSBIXG00005016985	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000004097	ENSOARG00000003829	Ovis_aries
ENSCHIP00000009621	ENSCHIG00000012411	Capra_hircus
ENSCHIP00000004121	ENSCHIG00000008296	Capra_hircus
ENSOARP00000002057	ENSOARG00000001959	Ovis_aries
ENSOARP00000003037	ENSOARG00000002859	Ovis_aries
ENSOARP00000000622	ENSOARG00000000608	Ovis_aries
ENSBBBP00000007357	ENSBBBG00000015433	Bison_bison_bison
ENSBMUP00000019797	ENSBMUG00000014927	Bos_mutus
ENSCHIP00000010784	ENSCHIG00000013145	Capra_hircus
ENSOARP00000003941	ENSOARG00000003690	Ovis_aries
ENSCHIP00000027967	ENSCHIG00000023668	Capra_hircus
ENSBIXP00000008577	ENSBIXG00000001782	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034190	ENSBIXG00005002206	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061204	ENSBTAG00000052511	Bos_taurus
ENSBMUP00000000031	ENSBMUG00000000056	Bos_mutus
ENSBBBP00000025307	ENSBBBG00000005534	Bison_bison_bison
ENSBTAP00000048275	ENSBTAG00000052355	Bos_taurus
ENSBIXP00000032202	ENSBIXG00000014694	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000028916	ENSBMUG00000021366	Bos_mutus
ENSBBBP00000005360	ENSBBBG00000014135	Bison_bison_bison
ENSOARP00000003463	ENSOARG00000003251	Ovis_aries
ENSCHIP00000012551	ENSCHIG00000014236	Capra_hircus
ENSOARP00000003735	ENSOARG00000003494	Ovis_aries
ENSCHIP00000011923	ENSCHIG00000013886	Capra_hircus
ENSOARP00000003633	ENSOARG00000003403	Ovis_aries
ENSCHIP00000020164	ENSCHIG00000018915	Capra_hircus
ENSBIXP00005010319	ENSBIXG00005014983	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032187	ENSBIXG00000014659	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000052299	ENSBTAG00000024318	Bos_taurus
ENSBMUP00000027459	ENSBMUG00000020533	Bos_mutus
ENSBMUP00000027540	ENSBMUG00000020625	Bos_mutus
ENSSSCP00000061685	ENSSSCG00000039217	Sus_scrofa_strain_reference
ENSSSCP00000044146	ENSSSCG00000038667	Sus_scrofa_strain_reference
ENSSSCP00000038828	ENSSSCG00000035171	Sus_scrofa_strain_reference
ENSSSCP00000035368	ENSSSCG00000039162	Sus_scrofa_strain_reference
ENSSSCP00000059364	ENSSSCG00000031085	Sus_scrofa_strain_reference
ENSSSCP00000037508	ENSSSCG00000034914	Sus_scrofa_strain_reference
ENSECAP00000003613	ENSECAG00000004670	Equus_caballus
ENSEASP00005023523	ENSEASG00005016000	Equus_asinus_asinus
ENSPSMP00000022657	ENSPSMG00000016012	Prolemur_simus
ENSMMMP00000013239	ENSMMMG00000010702	Marmota_marmota_marmota
ENSUPAP00010010254	ENSUPAG00010003682	Urocitellus_parryii
ENSUPAP00010018276	ENSUPAG00010014499	Urocitellus_parryii
ENSMMMP00000017891	ENSMMMG00000012230	Marmota_marmota_marmota
ENSUPAP00010013618	ENSUPAG00010009458	Urocitellus_parryii
ENSSDAP00000020703	ENSSDAG00000018290	Spermophilus_dauricus
ENSUPAP00010014494	ENSUPAG00010011164	Urocitellus_parryii	ENSUPAT00010016562
ENSSDAP00000019986	ENSSDAG00000018162	Spermophilus_dauricus	ENSSDAT00000022861
ENSMMMP00000018483	ENSMMMG00000016218	Marmota_marmota_marmota
ENSMMMP00000011934	ENSMMMG00000010675	Marmota_marmota_marmota
ENSFDAP00000017145	ENSFDAG00000005765	Fukomys_damarensis
ENSUPAP00010002073	ENSUPAG00010001751	Urocitellus_parryii
ENSSDAP00000012482	ENSSDAG00000011180	Spermophilus_dauricus
ENSSDAP00000012511	ENSSDAG00000011256	Spermophilus_dauricus
ENSUPAP00010001967	ENSUPAG00010001626	Urocitellus_parryii
ENSMMMP00000013595	ENSMMMG00000012083	Marmota_marmota_marmota
ENSSDAP00000020027	ENSSDAG00000018255	Spermophilus_dauricus
