ENSPMAP00000007891	ENSPMAG00000007169	Petromyzon_marinus	ENSPMAT00000007926
ENSEBUP00000022942	ENSEBUG00000014130	Eptatretus_burgeri	ENSEBUT00000023518
ENSPVIP00000011883	ENSPVIG00000009299	Pogona_vitticeps
ENSACAP00000000168	ENSACAG00000000168	Anolis_carolinensis
ENSNSUP00000001223	ENSNSUG00000001060	Notechis_scutatus
ENSSMRP00000023179	ENSSMRG00000018000	Salvator_merianae
ENSSPUP00000019660	ENSSPUG00000014837	Sphenodon_punctatus
ENSMVIP00005012152	ENSMVIG00005008747	Manacus_vitellinus
ENSLCOP00000004618	ENSLCOG00000003497	Lepidothrix_coronata
ENSJHYP00000001533	ENSJHYG00000000928	Junco_hyemalis
ENSZALP00000003549	ENSZALG00000003506	Zonotrichia_albicollis
ENSSCAP00000008422	ENSSCAG00000006428	Serinus_canaria
ENSTGUP00000009829	ENSTGUG00000009530	Taeniopygia_guttata
ENSLSDP00000025619	ENSLSDG00000017898	Lonchura_striata_domestica
ENSCCEP00000003430	ENSCCEG00000003817	Cyanistes_caeruleus
ENSPMJP00000003623	ENSPMJG00000003116	Parus_major
ENSFALP00000012777	ENSFALG00000012186	Ficedula_albicollis
ENSCPUP00000016859	ENSCPUG00000011624	Calidris_pugnax
ENSCPGP00000020055	ENSCPGG00000013992	Calidris_pygmaea
ENSMUNP00000015812	ENSMUNG00000012190	Melopsittacus_undulatus
ENSGALP00000049354	ENSGALG00000010805	Gallus_gallus
ENSMGAP00000011992	ENSMGAG00000011440	Meleagris_gallopavo
ENSCJPP00005014803	ENSCJPG00005012309	Coturnix_japonica
ENSNMEP00000026796	ENSNMEG00000022514	Numida_meleagris
ENSABRP00000027108	ENSABRG00000022584	Anser_brachyrhynchus
ENSAPLP00000025548	ENSAPLG00000005515	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000004428	ENSAHAG00000003428	Apteryx_haastii
ENSAOWP00000006212	ENSAOWG00000004213	Apteryx_owenii
ENSARWP00000001876	ENSARWG00000001448	Apteryx_rowi
ENSDNVP00000015286	ENSDNVG00000010682	Dromaius_novaehollandiae
ENSNPEP00000021083	ENSNPEG00000015647	Nothoprocta_perdicaria
ENSCPRP00005007984	ENSCPRG00005005581	Crocodylus_porosus
ENSCABP00000020950	ENSCABG00000015441	Chelonoidis_abingdonii
ENSGAGP00000019107	ENSGAGG00000014066	Gopherus_agassizii
ENSCPBP00000011772	ENSCPBG00000008926	Chrysemys_picta_bellii
ENSPSIP00000003727	ENSPSIG00000003528	Pelodiscus_sinensis
ENSVURP00010009729	ENSVURG00010007446	Vombatus_ursinus
ENSPCIP00000024011	ENSPCIG00000018104	Phascolarctos_cinereus
