ENSCPBP00000020327	ENSCPBG00000014625	Chrysemys_picta_bellii
ENSCABP00000005517	ENSCABG00000004165	Chelonoidis_abingdonii
ENSPSIP00000009751	ENSPSIG00000008868	Pelodiscus_sinensis
ENSAOWP00000026978	ENSAOWG00000018187	Apteryx_owenii
ENSAHAP00000009978	ENSAHAG00000007233	Apteryx_haastii
ENSARWP00000021315	ENSARWG00000014572	Apteryx_rowi
ENSDNVP00000005321	ENSDNVG00000003823	Dromaius_novaehollandiae
ENSNPEP00000008492	ENSNPEG00000006373	Nothoprocta_perdicaria
ENSAPLP00000006973	ENSAPLG00000007356	Anas_platyrhynchos_platyrhynchos
ENSABRP00000005843	ENSABRG00000005446	Anser_brachyrhynchus
ENSGALP00000013820	ENSGALG00000008490	Gallus_gallus
ENSCJPP00005026807	ENSCJPG00005020825	Coturnix_japonica
ENSMGAP00000010792	ENSMGAG00000010403	Meleagris_gallopavo
ENSNMEP00000010089	ENSNMEG00000009642	Numida_meleagris
ENSLSDP00000023392	ENSLSDG00000016448	Lonchura_striata_domestica
ENSTGUP00000010894	ENSTGUG00000010565	Taeniopygia_guttata
ENSZALP00000003225	ENSZALG00000003280	Zonotrichia_albicollis
ENSJHYP00000024435	ENSJHYG00000018356	Junco_hyemalis
ENSSCAP00000022632	ENSSCAG00000016240	Serinus_canaria
ENSFALP00000014278	ENSFALG00000013681	Ficedula_albicollis
ENSPMJP00000007307	ENSPMJG00000006045	Parus_major
ENSCCEP00000003690	ENSCCEG00000004093	Cyanistes_caeruleus
ENSMVIP00005017234	ENSMVIG00005012308	Manacus_vitellinus
ENSLCOP00000019733	ENSLCOG00000013976	Lepidothrix_coronata
ENSCPGP00000003792	ENSCPGG00000002811	Calidris_pygmaea
ENSCPUP00000027735	ENSCPUG00000018668	Calidris_pugnax
ENSMUNP00000017678	ENSMUNG00000013562	Melopsittacus_undulatus
ENSCPRP00005017982	ENSCPRG00005012536	Crocodylus_porosus
ENSACAP00000023094	ENSACAG00000028972	Anolis_carolinensis
ENSPVIP00000028487	ENSPVIG00000021100	Pogona_vitticeps
ENSNSUP00000008057	ENSNSUG00000006272	Notechis_scutatus
ENSSMRP00000003452	ENSSMRG00000002898	Salvator_merianae
ENSSPUP00000022448	ENSSPUG00000017236	Sphenodon_punctatus
ENSMODP00000058056	ENSMODG00000028708	Monodelphis_domestica
ENSPCIP00000031684	ENSPCIG00000023527	Phascolarctos_cinereus
ENSSHAP00000018666	ENSSHAG00000015845	Sarcophilus_harrisii
ENSMSIP00000011382	ENSMSIG00000009965	Mus_spicilegus
MGP_CAROLIEiJ_P0075091	MGP_CAROLIEiJ_G0028664	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000006046	ENSMUSG00000005892	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0078144	MGP_SPRETEiJ_G0029690	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0051283	MGP_PahariEiJ_G0022411	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015944	ENSRNOG00000011824	Rattus_norvegicus
ENSMUGP00000019380	ENSMUGG00000016437	Meriones_unguiculatus
ENSCGRP00001020683	ENSCGRG00001019768	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021646	ENSCGRG00000015709	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015018750	ENSCGRG00015014434	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017436	ENSMAUG00000016316	Mesocricetus_auratus
ENSPEMP00000029542	ENSPEMG00000027938	Peromyscus_maniculatus_bairdii
ENSMOCP00000024303	ENSMOCG00000020778	Microtus_ochrogaster
ENSNGAP00000023920	ENSNGAG00000022332	Nannospalax_galili
ENSJJAP00000023170	ENSJJAG00000023012	Jaculus_jaculus
ENSCCNP00000004381	ENSCCNG00000004647	Castor_canadensis
ENSSTOP00000022079	ENSSTOG00000026247	Ictidomys_tridecemlineatus
ENSUPAP00010000636	ENSUPAG00010000545	Urocitellus_parryii
ENSMMMP00000012776	ENSMMMG00000011424	Marmota_marmota_marmota
ENSSDAP00000016336	ENSSDAG00000014777	Spermophilus_dauricus
ENSHGLP00000010018	ENSHGLG00000007193	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001672	ENSHGLG00100001309	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011580	ENSFDAG00000019105	Fukomys_damarensis
ENSOCUP00000005478	ENSOCUG00000006337	Oryctolagus_cuniculus
ENSOPRP00000004907	ENSOPRG00000005368	Ochotona_princeps
ENSPSMP00000012266	ENSPSMG00000008852	Prolemur_simus
ENSMICP00000044473	ENSMICG00000030353	Microcebus_murinus
ENSPCOP00000007197	ENSPCOG00000014823	Propithecus_coquereli
ENSOGAP00000015406	ENSOGAG00000017199	Otolemur_garnettii
