ENSGAGP00000034397	ENSGAGG00000024446	Gopherus_agassizii	ENSGAGT00000038944
ENSCPUP00000012605	ENSCPUG00000008958	Calidris_pugnax	ENSCPUT00000015037
ENSSMRP00000027255	ENSSMRG00000021017	Salvator_merianae	ENSSMRT00000031851
ENSSMRP00000000491	ENSSMRG00000000462	Salvator_merianae	ENSSMRT00000000602
ENSVVUP00000019658	ENSVVUG00000014536	Vulpes_vulpes
ENSUAMP00000023019	ENSUAMG00000018037	Ursus_americanus
ENSFCAP00000043165	ENSFCAG00000045054	Felis_catus
ENSKMAP00000002005	ENSKMAG00000001558	Kryptolebias_marmoratus
ENSAMXP00005002677	ENSAMXG00005001587	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMALP00000015759	ENSMALG00000011066	Monopterus_albus
ENSPNAP00000009164	ENSPNAG00000014714	Pygocentrus_nattereri
ENSMMMP00000024699	ENSMMMG00000021629	Marmota_marmota_marmota
ENSCCNP00000031084	ENSCCNG00000029640	Castor_canadensis
ENSCAPP00000014981	ENSCAPG00000015232	Cavia_aperea
ENSCPOP00000022450	ENSCPOG00000036847	Cavia_porcellus
ENSMODP00000044856	ENSMODG00000048150	Monodelphis_domestica
ENSMODP00000059579	ENSMODG00000036404	Monodelphis_domestica
ENSMODP00000056415	ENSMODG00000039197	Monodelphis_domestica
ENSPCIP00000043827	ENSPCIG00000035681	Phascolarctos_cinereus
ENSCABP00000026762	ENSCABG00000019650	Chelonoidis_abingdonii
