ENSETEP00000010181	ENSETEG00000012553	Echinops_telfairi
ENSPCAP00000010784	ENSPCAG00000011595	Procavia_capensis
ENSECAP00000010349	ENSECAG00000012618	Equus_caballus
ENSEASP00005010533	ENSEASG00005007471	Equus_asinus_asinus
ENSSARP00000006900	ENSSARG00000007618	Sorex_araneus
ENSAMEP00000001277	ENSAMEG00000001210	Ailuropoda_melanoleuca
ENSUMAP00000007574	ENSUMAG00000005850	Ursus_maritimus
ENSCAFP00020022300	ENSCAFG00020017622	Canis_lupus_dingo
ENSCAFP00000040426	ENSCAFG00000023924	Canis_lupus_familiaris
ENSVVUP00000000165	ENSVVUG00000000184	Vulpes_vulpes
ENSNVIP00000007920	ENSNVIG00000006286	Neovison_vison
ENSMPUP00000009028	ENSMPUG00000009104	Mustela_putorius_furo
ENSPPRP00000003334	ENSPPRG00000022844	Panthera_pardus
ENSPTIP00000010046	ENSPTIG00000010921	Panthera_tigris_altaica
ENSFCAP00000039671	ENSFCAG00000003169	Felis_catus
ENSBIXP00000002022	ENSBIXG00000008564	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044346	ENSBIXG00005028190	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026074	ENSBTAG00000019569	Bos_taurus
ENSBBBP00000011498	ENSBBBG00000005212	Bison_bison_bison
ENSCHIP00000004647	ENSCHIG00000008816	Capra_hircus
ENSCHIP00000013045	ENSCHIG00000014604	Capra_hircus
ENSTTRP00000011849	ENSTTRG00000012487	Tursiops_truncatus
ENSSSCP00000013650	ENSSSCG00000012840	Sus_scrofa_strain_reference
ENSPVAP00000014003	ENSPVAG00000014858	Pteropus_vampyrus
ENSBMUP00000007187	ENSBMUG00000005673	Bos_mutus
ENSPCOP00000017037	ENSPCOG00000020313	Propithecus_coquereli
ENSPSMP00000011145	ENSPSMG00000008050	Prolemur_simus
ENSMICP00000046586	ENSMICG00000044065	Microcebus_murinus
ENSOGAP00000001235	ENSOGAG00000001388	Otolemur_garnettii
ENSCJAP00000021623	ENSCJAG00000011754	Callithrix_jacchus
ENSSBOP00000027080	ENSSBOG00000029955	Saimiri_boliviensis_boliviensis
ENSCCAP00000010188	ENSCCAG00000022824	Cebus_capucinus_imitator
ENSANAP00000022322	ENSANAG00000028912	Aotus_nancymaae
ENSPTRP00000005541	ENSPTRG00000003140	Pan_troglodytes
ENSPPAP00000014658	ENSPPAG00000030486	Pan_paniscus
ENSGGOP00000010546	ENSGGOG00000010812	Gorilla_gorilla
ENSP00000324101	ENSG00000177697	Homo_sapiens
ENSPPYP00000003360	ENSPPYG00000002888	Pongo_abelii
ENSNLEP00000010582	ENSNLEG00000008676	Nomascus_leucogenys
ENSPTEP00000017008	ENSPTEG00000018561	Piliocolobus_tephrosceles
ENSCANP00000018039	ENSCANG00000032466	Colobus_angolensis_palliatus
ENSRROP00000041714	ENSRROG00000044035	Rhinopithecus_roxellana
ENSRBIP00000039052	ENSRBIG00000042993	Rhinopithecus_bieti
ENSMNEP00000046065	ENSMNEG00000045493	Macaca_nemestrina
ENSMFAP00000034262	ENSMFAG00000003612	Macaca_fascicularis
ENSMMUP00000066024	ENSMMUG00000062450	Macaca_mulatta
ENSTGEP00000030119	ENSTGEG00000024196	Theropithecus_gelada
ENSPANP00000045009	ENSPANG00000035150	Papio_anubis
ENSMLEP00000010124	ENSMLEG00000029240	Mandrillus_leucophaeus
ENSCATP00000039298	ENSCATG00000042278	Cercocebus_atys
ENSCSAP00000006756	ENSCSAG00000010533	Chlorocebus_sabaeus
ENSCCNP00000010931	ENSCCNG00000011356	Castor_canadensis
ENSDORP00000015673	ENSDORG00000016662	Dipodomys_ordii
ENSMUSP00000101622	ENSMUSG00000025510	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0086696	MGP_SPRETEiJ_G0031812	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000000266	ENSMSIG00000000281	Mus_spicilegus
MGP_CAROLIEiJ_P0083277	MGP_CAROLIEiJ_G0030701	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020050	MGP_PahariEiJ_G0013900	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073673	ENSRNOG00000019215	Rattus_norvegicus
ENSRNOP00000066223	ENSRNOG00000046094	Rattus_norvegicus
ENSMUGP00000014709	ENSMUGG00000012739	Meriones_unguiculatus
ENSCGRP00000006116	ENSCGRG00000004475	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036087	ENSCGRG00015027072	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001023426	ENSCGRG00001021652	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021344	ENSMAUG00000019096	Mesocricetus_auratus
ENSMOCP00000018066	ENSMOCG00000016468	Microtus_ochrogaster
ENSPEMP00000014017	ENSPEMG00000013934	Peromyscus_maniculatus_bairdii
ENSNGAP00000013180	ENSNGAG00000014839	Nannospalax_galili
ENSJJAP00000015413	ENSJJAG00000017583	Jaculus_jaculus
ENSHGLP00000010342	ENSHGLG00000007423	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009874	ENSHGLG00100007324	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017798	ENSFDAG00000010327	Fukomys_damarensis
ENSCLAP00000002926	ENSCLAG00000002099	Chinchilla_lanigera
ENSODEP00000021536	ENSODEG00000015853	Octodon_degus
ENSCAPP00000004457	ENSCAPG00000006979	Cavia_aperea
ENSCPOP00000005292	ENSCPOG00000005866	Cavia_porcellus
ENSSTOP00000004231	ENSSTOG00000004711	Ictidomys_tridecemlineatus
ENSUPAP00010028984	ENSUPAG00010022857	Urocitellus_parryii
ENSMMMP00000006453	ENSMMMG00000005792	Marmota_marmota_marmota
ENSTBEP00000006126	ENSTBEG00000007090	Tupaia_belangeri
ENSSDAP00000001695	ENSSDAG00000001633	Spermophilus_dauricus
ENSOPRP00000001551	ENSOPRG00000001691	Ochotona_princeps
