ENSCGRP00001024549	ENSCGRG00001022423	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014782	ENSCGRG00000010706	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017533	ENSMAUG00000016378	Mesocricetus_auratus
ENSPEMP00000031374	ENSPEMG00000030970	Peromyscus_maniculatus_bairdii
ENSMUSP00000091219	ENSMUSG00000062783	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0019764	MGP_SPRETEiJ_G0015149	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0018746	MGP_CAROLIEiJ_G0014342	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0074051	MGP_PahariEiJ_G0027579	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023184	ENSRNOG00000017256	Rattus_norvegicus
ENSNGAP00000003312	ENSNGAG00000003721	Nannospalax_galili
ENSJJAP00000000263	ENSJJAG00000000246	Jaculus_jaculus
ENSCLAP00000016950	ENSCLAG00000011634	Chinchilla_lanigera	ENSCLAT00000017116
ENSCPOP00000015301	ENSCPOG00000020462	Cavia_porcellus	ENSCPOT00000023536
ENSHGLP00100016386	ENSHGLG00100012097	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004388	ENSHGLG00000003204	Heterocephalus_glaber_HetGla_female_1.0
ENSUPAP00010005915	ENSUPAG00010004788	Urocitellus_parryii
ENSSDAP00000022016	ENSSDAG00000020021	Spermophilus_dauricus
ENSMMMP00000001239	ENSMMMG00000001162	Marmota_marmota_marmota
ENSOCUP00000022473	ENSOCUG00000027242	Oryctolagus_cuniculus
ENSBIXP00000015388	ENSBIXG00000003582	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005012425	ENSBIXG00005016648	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009573	ENSBTAG00000007280	Bos_taurus
ENSBMUP00000035079	ENSBMUG00000026105	Bos_mutus
ENSBBBP00000028111	ENSBBBG00000000211	Bison_bison_bison
ENSOARP00000021265	ENSOARG00000019801	Ovis_aries
ENSCHIP00000017608	ENSCHIG00000017384	Capra_hircus
ENSSSCP00000040414	ENSSSCG00000037351	Sus_scrofa_strain_reference
ENSEASP00005012046	ENSEASG00005008424	Equus_asinus_asinus
ENSECAP00000027359	ENSECAG00000028530	Equus_caballus
ENSMPUP00000004299	ENSMPUG00000004332	Mustela_putorius_furo
ENSNVIP00000002939	ENSNVIG00000002349	Neovison_vison
ENSUMAP00000023546	ENSUMAG00000017129	Ursus_maritimus
ENSUAMP00000015404	ENSUAMG00000012335	Ursus_americanus
ENSAMEP00000019871	ENSAMEG00000018820	Ailuropoda_melanoleuca
ENSVVUP00000035715	ENSVVUG00000025674	Vulpes_vulpes
ENSCAFP00020029088	ENSCAFG00020022733	Canis_lupus_dingo
ENSPTIP00000005590	ENSPTIG00000007774	Panthera_tigris_altaica
ENSPPRP00000028408	ENSPPRG00000020481	Panthera_pardus
ENSFCAP00000024361	ENSFCAG00000023534	Felis_catus
ENSMLUP00000017755	ENSMLUG00000028531	Myotis_lucifugus
ENSMLUP00000017659	ENSMLUG00000025883	Myotis_lucifugus
ENSLAFP00000022534	ENSLAFG00000027327	Loxodonta_africana
ENSTGEP00000020940	ENSTGEG00000016863	Theropithecus_gelada
ENSPTEP00000043756	ENSPTEG00000039790	Piliocolobus_tephrosceles
ENSCMIP00000016818	ENSCMIG00000008074	Callorhinchus_milii
