ENSXCOP00000021319	ENSXCOG00000015956	Xiphophorus_couchianus
ENSXMAP00000001001	ENSXMAG00000000991	Xiphophorus_maculatus
ENSGAFP00000014380	ENSGAFG00000009715	Gambusia_affinis
ENSPFOP00000010664	ENSPFOG00000010602	Poecilia_formosa
ENSPMEP00000025861	ENSPMEG00000009231	Poecilia_mexicana
ENSPLAP00000018335	ENSPLAG00000023009	Poecilia_latipinna
ENSPREP00000009811	ENSPREG00000006630	Poecilia_reticulata
ENSCVAP00000025476	ENSCVAG00000010346	Cyprinodon_variegatus
ENSFHEP00000017464	ENSFHEG00000019298	Fundulus_heteroclitus
ENSKMAP00000008220	ENSKMAG00000006134	Kryptolebias_marmoratus
ENSORLP00015020224	ENSORLG00015021365	Oryzias_latipes_ASM223469v1
ENSORLP00020025049	ENSORLG00020006829	Oryzias_latipes_ASM223471v1
ENSORLP00000013948	ENSORLG00000011119	Oryzias_latipes_ASM223467v1
ENSOMEP00000007964	ENSOMEG00000009143	Oryzias_melastigma
ENSGWIP00000043179	ENSGWIG00000021478	Gouania_willdenowi
ENSAPEP00000021323	ENSAPEG00000015174	Amphiprion_percula
ENSAOCP00000010731	ENSAOCG00000014970	Amphiprion_ocellaris
ENSAPOP00000008798	ENSAPOG00000011027	Acanthochromis_polyacanthus
ENSSPAP00000014647	ENSSPAG00000011027	Stegastes_partitus
ENSPRNP00000032523	ENSPRNG00000016190	Parambassis_ranga
ENSMZEP00005016624	ENSMZEG00005012464	Maylandia_zebra
ENSACLP00000012125	ENSACLG00000008271	Astatotilapia_calliptera
ENSHBUP00000011374	ENSHBUG00000013068	Haplochromis_burtoni
ENSPNYP00000020056	ENSPNYG00000015162	Pundamilia_nyererei
ENSNBRP00000029445	ENSNBRG00000022415	Neolamprologus_brichardi
ENSONIP00000014754	ENSONIG00000011714	Oreochromis_niloticus
ENSACIP00000005669	ENSACIG00000004448	Amphilophus_citrinellus
ENSSDUP00000027346	ENSSDUG00000019756	Seriola_dumerili
ENSSLDP00000000877	ENSSLDG00000000725	Seriola_lalandi_dorsalis
ENSLCAP00010059573	ENSLCAG00010027759	Lates_calcarifer
ENSSMAP00000011623	ENSSMAG00000007121	Scophthalmus_maximus
ENSMAMP00000014830	ENSMAMG00000010003	Mastacembelus_armatus
ENSMALP00000009394	ENSMALG00000006625	Monopterus_albus
ENSATEP00000001081	ENSATEG00000000721	Anabas_testudineus
ENSBSLP00000021289	ENSBSLG00000010719	Betta_splendens
ENSLCRP00005015026	ENSLCRG00005006402	Larimichthys_crocea
ENSLBEP00000006344	ENSLBEG00000004848	Labrus_bergylta
ENSGACP00000014402	ENSGACG00000010881	Gasterosteus_aculeatus
ENSCGOP00000006115	ENSCGOG00000001704	Cottoperca_gobio
ENSMMOP00000003591	ENSMMOG00000002873	Mola_mola
ENSTNIP00000013745	ENSTNIG00000010818	Tetraodon_nigroviridis
ENSCSEP00000023073	ENSCSEG00000014690	Cynoglossus_semilaevis
ENSCSEP00000021175	ENSCSEG00000013523	Cynoglossus_semilaevis
ENSPMGP00000014662	ENSPMGG00000012013	Periophthalmus_magnuspinnatus
ENSHCOP00000026763	ENSHCOG00000018024	Hippocampus_comes
ENSGMOP00000006040	ENSGMOG00000005670	Gadus_morhua
ENSHHUP00000081215	ENSHHUG00000047228	Hucho_hucho
ENSHHUP00000036692	ENSHHUG00000022974	Hucho_hucho
ENSELUP00000037930	ENSELUG00000017713	Esox_lucius
ENSCHAP00000003179	ENSCHAG00000001596	Clupea_harengus
ENSDCDP00000010079	ENSDCDG00000004997	Denticeps_clupeoides
ENSAMXP00000007498	ENSAMXG00000007299	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005034477	ENSAMXG00005016440	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014667	ENSPNAG00000020681	Pygocentrus_nattereri
ENSIPUP00000010565	ENSIPUG00000007113	Ictalurus_punctatus
ENSEEEP00000001877	ENSEEEG00000001177	Electrophorus_electricus
ENSDARP00000117759	ENSDARG00000063159	Danio_rerio
ENSSFOP00015018246	ENSSFOG00015011681	Scleropages_formosus
ENSPKIP00000024623	ENSPKIG00000007780	Paramormyrops_kingsleyae
ENSLOCP00000019166	ENSLOCG00000015567	Lepisosteus_oculatus
ENSECRP00000012506	ENSECRG00000008337	Erpetoichthys_calabaricus
ENSVURP00010024764	ENSVURG00010018900	Vombatus_ursinus
ENSPCIP00000011204	ENSPCIG00000009019	Phascolarctos_cinereus
ENSMODP00000059541	ENSMODG00000009130	Monodelphis_domestica
ENSSHAP00000002227	ENSSHAG00000001980	Sarcophilus_harrisii
ENSOANP00000018291	ENSOANG00000011544	Ornithorhynchus_anatinus
ENSACAP00000009512	ENSACAG00000009624	Anolis_carolinensis
ENSPVIP00000005313	ENSPVIG00000004313	Pogona_vitticeps
ENSNSUP00000020028	ENSNSUG00000014408	Notechis_scutatus
ENSSMRP00000020041	ENSSMRG00000015628	Salvator_merianae
ENSCABP00000002010	ENSCABG00000001413	Chelonoidis_abingdonii
ENSGAGP00000036275	ENSGAGG00000025705	Gopherus_agassizii
ENSCPBP00000024148	ENSCPBG00000017191	Chrysemys_picta_bellii
ENSLACP00000013113	ENSLACG00000011548	Latimeria_chalumnae
