ENSSDUP00000013806	ENSSDUG00000010046	Seriola_dumerili
ENSHHUP00000061131	ENSHHUG00000036225	Hucho_hucho
ENSMMOP00000022099	ENSMMOG00000016784	Mola_mola
ENSSPAP00000030637	ENSSPAG00000022984	Stegastes_partitus	ENSSPAT00000031132
ENSIPUP00000000241	ENSIPUG00000000202	Ictalurus_punctatus
ENSSLDP00000011893	ENSSLDG00000009472	Seriola_lalandi_dorsalis
ENSHHUP00000090972	ENSHHUG00000052501	Hucho_hucho
ENSSLDP00000002219	ENSSLDG00000001823	Seriola_lalandi_dorsalis
ENSHHUP00000066271	ENSHHUG00000039069	Hucho_hucho
ENSORLP00000042308	ENSORLG00000030527	Oryzias_latipes_ASM223467v1
ENSHHUP00000090975	ENSHHUG00000052505	Hucho_hucho
