ENSPTEP00000027930	ENSPTEG00000027712	Piliocolobus_tephrosceles	ENSPTET00000039082
ENSRBIP00000000433	ENSRBIG00000002314	Rhinopithecus_bieti	ENSRBIT00000002503
ENSPANP00000010559	ENSPANG00000023782	Papio_anubis	ENSPANT00000017296
ENSTGEP00000033254	ENSTGEG00000026567	Theropithecus_gelada	ENSTGET00000039492
ENSMLEP00000017693	ENSMLEG00000033049	Mandrillus_leucophaeus	ENSMLET00000041172
ENSMMUP00000069430	ENSMMUG00000062723	Macaca_mulatta	ENSMMUT00000104463
ENSCSAP00000017517	ENSCSAG00000000487	Chlorocebus_sabaeus	ENSCSAT00000018048
ENSPTRP00000029635	ENSPTRG00000017335	Pan_troglodytes	ENSPTRT00000032075
ENSPPAP00000000992	ENSPPAG00000004197	Pan_paniscus	ENSPPAT00000004542
ENSP00000231136	ENSG00000113211	Homo_sapiens	ENST00000231136
ENSGGOP00000028629	ENSGGOG00000034817	Gorilla_gorilla	ENSGGOT00000041096
ENSCJAP00000029728	ENSCJAG00000039993	Callithrix_jacchus	ENSCJAT00000031413
ENSPCOP00000025836	ENSPCOG00000025197	Propithecus_coquereli	ENSPCOT00000036535
ENSTBEP00000007001	ENSTBEG00000008100	Tupaia_belangeri	ENSTBET00000008086
ENSUPAP00010009951	ENSUPAG00010008069	Urocitellus_parryii	ENSUPAT00010011451
ENSSDAP00000021085	ENSSDAG00000019174	Spermophilus_dauricus	ENSSDAT00000024085
ENSSTOP00000024152	ENSSTOG00000009760	Ictidomys_tridecemlineatus	ENSSTOT00000037297
MGP_SPRETEiJ_P0048391	MGP_SPRETEiJ_G0023079	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0048391
ENSMUSP00000061087	ENSMUSG00000047307	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000056915
ENSMSIP00000001727	ENSMSIG00000001667	Mus_spicilegus	ENSMSIT00000002191
MGP_CAROLIEiJ_P0046474	MGP_CAROLIEiJ_G0022169	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0046474
MGP_PahariEiJ_P0039072	MGP_PahariEiJ_G0018903	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0039072
ENSRNOP00000027172	ENSRNOG00000020062	Rattus_norvegicus	ENSRNOT00000027172
ENSMUGP00000029102	ENSMUGG00000024115	Meriones_unguiculatus	ENSMUGT00000033310
ENSCGRP00015000226	ENSCGRG00015000274	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008419	ENSCGRG00001010712	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014569	ENSCGRG00000010546	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000002119	ENSMOCG00000001661	Microtus_ochrogaster
ENSHGLP00000013622	ENSHGLG00000009739	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001549	ENSHGLG00100001215	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000023244	ENSFDAG00000021432	Fukomys_damarensis
ENSODEP00000015847	ENSODEG00000011685	Octodon_degus
ENSOPRP00000015196	ENSOPRG00000016647	Ochotona_princeps
ENSSARP00000011682	ENSSARG00000012935	Sorex_araneus
ENSSARP00000008327	ENSSARG00000009223	Sorex_araneus
ENSEEUP00000008777	ENSEEUG00000009660	Erinaceus_europaeus
ENSOARP00000020216	ENSOARG00000018819	Ovis_aries
ENSCHIP00000005974	ENSCHIG00000009935	Capra_hircus
ENSBIXP00005011222	ENSBIXG00005002446	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022167	ENSBMUG00000016695	Bos_mutus
ENSECAP00000003884	ENSECAG00000036113	Equus_caballus
ENSEASP00005026527	ENSEASG00005018114	Equus_asinus_asinus
ENSUAMP00000000081	ENSUAMG00000000116	Ursus_americanus
ENSUMAP00000017405	ENSUMAG00000012769	Ursus_maritimus
ENSNVIP00000016344	ENSNVIG00000012823	Neovison_vison
ENSCAFP00020027071	ENSCAFG00020021249	Canis_lupus_dingo
ENSCAFP00000040241	ENSCAFG00000030815	Canis_lupus_familiaris
ENSVVUP00000023743	ENSVVUG00000017403	Vulpes_vulpes
ENSPPRP00000025987	ENSPPRG00000016432	Panthera_pardus
ENSPTIP00000020357	ENSPTIG00000017864	Panthera_tigris_altaica
ENSFCAP00000028753	ENSFCAG00000036792	Felis_catus
ENSPVAP00000002232	ENSPVAG00000002361	Pteropus_vampyrus
ENSCHOP00000004609	ENSCHOG00000005208	Choloepus_hoffmanni
ENSPCAP00000002629	ENSPCAG00000002814	Procavia_capensis
