ENSUPAP00010018512	ENSUPAG00010014696	Urocitellus_parryii
ENSSTOP00000031383	ENSSTOG00000020441	Ictidomys_tridecemlineatus
ENSSDAP00000025347	ENSSDAG00000023043	Spermophilus_dauricus
ENSMMMP00000024767	ENSMMMG00000021691	Marmota_marmota_marmota
ENSCPOP00000027061	ENSCPOG00000033899	Cavia_porcellus
ENSCGRP00000022091	ENSCGRG00000016013	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001008321	ENSCGRG00001010620	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015032651	ENSCGRG00015024640	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019806	ENSMAUG00000017996	Mesocricetus_auratus
MGP_SPRETEiJ_P0050821	MGP_SPRETEiJ_G0023886	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000131279	ENSMUSG00000090369	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0048817	MGP_CAROLIEiJ_G0022965	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021780	MGP_PahariEiJ_G0014455	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000024966	ENSNGAG00000023063	Nannospalax_galili
ENSCCNP00000020501	ENSCCNG00000020442	Castor_canadensis
ENSOPRP00000004761	ENSOPRG00000005193	Ochotona_princeps
ENSTBEP00000012261	ENSTBEG00000014158	Tupaia_belangeri
ENSPCOP00000001213	ENSPCOG00000003877	Propithecus_coquereli
ENSMICP00000007010	ENSMICG00000007711	Microcebus_murinus
ENSOGAP00000007881	ENSOGAG00000008787	Otolemur_garnettii
ENSP00000359674	ENSG00000203942	Homo_sapiens
ENSCAFP00000035228	ENSCAFG00000025366	Canis_lupus_familiaris
ENSCAFP00020007473	ENSCAFG00020006047	Canis_lupus_dingo
ENSVVUP00000031996	ENSVVUG00000023240	Vulpes_vulpes
ENSUMAP00000031075	ENSUMAG00000022429	Ursus_maritimus
ENSUAMP00000012717	ENSUAMG00000010289	Ursus_americanus
ENSPTIP00000016217	ENSPTIG00000015070	Panthera_tigris_altaica
ENSPVAP00000003196	ENSPVAG00000003384	Pteropus_vampyrus
ENSTTRP00000009386	ENSTTRG00000009897	Tursiops_truncatus
ENSCHIP00000031064	ENSCHIG00000025583	Capra_hircus
ENSSSCP00000067178	ENSSSCG00000046822	Sus_scrofa_strain_reference
ENSVPAP00000004021	ENSVPAG00000004327	Vicugna_pacos
ENSDNOP00000023211	ENSDNOG00000036266	Dasypus_novemcinctus
ENSPCAP00000008858	ENSPCAG00000009555	Procavia_capensis
ENSMODP00000004883	ENSMODG00000003970	Monodelphis_domestica
ENSOANP00000020652	ENSOANG00000013062	Ornithorhynchus_anatinus
