ENSEEEP00000045694	ENSEEEG00000021547	Electrophorus_electricus
ENSIPUP00000034419	ENSIPUG00000023114	Ictalurus_punctatus
ENSAMXP00005032005	ENSAMXG00005015648	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000000475	ENSAMXG00000000471	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000008043	ENSPNAG00000013729	Pygocentrus_nattereri
ENSDARP00000155884	ENSDARG00000069290	Danio_rerio
ENSCHAP00000025348	ENSCHAG00000012350	Clupea_harengus
ENSACLP00000012284	ENSACLG00000008386	Astatotilapia_calliptera	ENSACLT00000012584
ENSHBUP00000031153	ENSHBUG00000016639	Haplochromis_burtoni	ENSHBUT00000022859
ENSMZEP00005022238	ENSMZEG00005016680	Maylandia_zebra	ENSMZET00005022981
ENSNBRP00000022021	ENSNBRG00000016893	Neolamprologus_brichardi
ENSACIP00000013740	ENSACIG00000010669	Amphilophus_citrinellus
ENSPMEP00000001103	ENSPMEG00000001965	Poecilia_mexicana
ENSPREP00000030581	ENSPREG00000020707	Poecilia_reticulata
ENSMAMP00000000571	ENSMAMG00000000418	Mastacembelus_armatus
ENSMMOP00000000751	ENSMMOG00000000639	Mola_mola
ENSHCOP00000004995	ENSHCOG00000006569	Hippocampus_comes
ENSMALP00000031223	ENSMALG00000021558	Monopterus_albus
ENSATEP00000024414	ENSATEG00000016960	Anabas_testudineus
ENSSMAP00000018850	ENSSMAG00000011568	Scophthalmus_maximus
ENSCSEP00000005329	ENSCSEG00000003440	Cynoglossus_semilaevis
ENSSLDP00000016378	ENSSLDG00000012991	Seriola_lalandi_dorsalis
ENSSDUP00000000212	ENSSDUG00000000238	Seriola_dumerili
ENSLCAP00010004291	ENSLCAG00010002188	Lates_calcarifer
ENSCGOP00000025153	ENSCGOG00000011903	Cottoperca_gobio
ENSLBEP00000012426	ENSLBEG00000009548	Labrus_bergylta
ENSAOCP00000021981	ENSAOCG00000000376	Amphiprion_ocellaris
ENSAPEP00000002446	ENSAPEG00000001793	Amphiprion_percula
ENSAPOP00000015126	ENSAPOG00000018060	Acanthochromis_polyacanthus
ENSSPAP00000009229	ENSSPAG00000007038	Stegastes_partitus
ENSGWIP00000026082	ENSGWIG00000013686	Gouania_willdenowi
ENSPRNP00000001926	ENSPRNG00000001212	Parambassis_ranga
ENSGMOP00000005196	ENSGMOG00000004912	Gadus_morhua
ENSHHUP00000000720	ENSHHUG00000000496	Hucho_hucho
ENSELUP00000018961	ENSELUG00000018361	Esox_lucius
ENSPKIP00000040899	ENSPKIG00000017685	Paramormyrops_kingsleyae
ENSLOCP00000020490	ENSLOCG00000016590	Lepisosteus_oculatus
