ENSCJPP00005026936	ENSCJPG00005020918	Coturnix_japonica	ENSCJPT00005036476
ENSPCIP00000020440	ENSPCIG00000015561	Phascolarctos_cinereus
ENSGAFP00000028540	ENSGAFG00000019297	Gambusia_affinis
ENSNBRP00000030092	ENSNBRG00000022908	Neolamprologus_brichardi
ENSCGRP00000025082	ENSCGRG00000018163	Cricetulus_griseus_CriGri_1.0
ENSLCAP00010034921	ENSLCAG00010016363	Lates_calcarifer
ENSLCRP00005002432	ENSLCRG00005001181	Larimichthys_crocea
ENSSMRP00000012984	ENSSMRG00000010119	Salvator_merianae
ENSOANP00000004379	ENSOANG00000002752	Ornithorhynchus_anatinus
ENSMICP00000013868	ENSMICG00000015208	Microcebus_murinus
ENSPFOP00000005214	ENSPFOG00000005329	Poecilia_formosa
ENSOANP00000004669	ENSOANG00000002939	Ornithorhynchus_anatinus
ENSCPOP00000004329	ENSCPOG00000004811	Cavia_porcellus
ENSMMOP00000027090	ENSMMOG00000020494	Mola_mola
ENSFDAP00000007393	ENSFDAG00000015918	Fukomys_damarensis
ENSPKIP00000037636	ENSPKIG00000015710	Paramormyrops_kingsleyae
ENSUPAP00010010825	ENSUPAG00010008723	Urocitellus_parryii
ENSMUGP00000006278	ENSMUGG00000005631	Meriones_unguiculatus
ENSCANP00000038314	ENSCANG00000042829	Colobus_angolensis_palliatus
ENSMALP00000029798	ENSMALG00000020622	Monopterus_albus
ENSCAPP00000013295	ENSCAPG00000013947	Cavia_aperea
ENSPCAP00000007602	ENSPCAG00000008119	Procavia_capensis
ENSAMXP00000000849	ENSAMXG00000000836	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSRBIP00000017460	ENSRBIG00000032715	Rhinopithecus_bieti
ENSTRUP00000033183	ENSTRUG00000013072	Takifugu_rubripes
ENSACAP00000002793	ENSACAG00000002883	Anolis_carolinensis
ENSCSAP00000003151	ENSCSAG00000006861	Chlorocebus_sabaeus
ENSCSEP00000022774	ENSCSEG00000014511	Cynoglossus_semilaevis
ENSSMAP00000034467	ENSSMAG00000021085	Scophthalmus_maximus
ENSAPOP00000009218	ENSAPOG00000011491	Acanthochromis_polyacanthus
ENSAPEP00000012821	ENSAPEG00000009131	Amphiprion_percula
ENSAMXP00000051602	ENSAMXG00000006454	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSP00000367050	ENSG00000133318	Homo_sapiens
ENSSPUP00000010617	ENSSPUG00000008191	Sphenodon_punctatus
ENSCHOP00000003564	ENSCHOG00000004029	Choloepus_hoffmanni
ENSPKIP00000037744	ENSPKIG00000015803	Paramormyrops_kingsleyae
ENSCVAP00000023425	ENSCVAG00000006753	Cyprinodon_variegatus
ENSRROP00000027193	ENSRROG00000037363	Rhinopithecus_roxellana
ENSPSMP00000001661	ENSPSMG00000001175	Prolemur_simus
ENSBTAP00000043467	ENSBTAG00000019204	Bos_taurus
ENSCSEP00000012256	ENSCSEG00000007908	Cynoglossus_semilaevis
ENSPEMP00000004585	ENSPEMG00000006921	Peromyscus_maniculatus_bairdii
ENSPMEP00000013699	ENSPMEG00000016227	Poecilia_mexicana
ENSETEP00000002200	ENSETEG00000002692	Echinops_telfairi
ENSXMAP00000014240	ENSXMAG00000014204	Xiphophorus_maculatus
ENSCJAP00000034134	ENSCJAG00000018422	Callithrix_jacchus
ENSSTOP00000000176	ENSSTOG00000000199	Ictidomys_tridecemlineatus
ENSSDUP00000005596	ENSSDUG00000004125	Seriola_dumerili
ENSORLP00015029988	ENSORLG00015000395	Oryzias_latipes_ASM223469v1
ENSPREP00000021315	ENSPREG00000014412	Poecilia_reticulata
ENSSFOP00015026959	ENSSFOG00015017327	Scleropages_formosus
