ENSEEEP00000039223	ENSEEEG00000018643	Electrophorus_electricus
ENSIPUP00000035425	ENSIPUG00000023749	Ictalurus_punctatus
ENSAMXP00005042955	ENSAMXG00005020019	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000035234	ENSAMXG00000030736	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000035540	ENSPNAG00000025595	Pygocentrus_nattereri
ENSDARP00000073957	ENSDARG00000056923	Danio_rerio
ENSDCDP00000060859	ENSDCDG00000034859	Denticeps_clupeoides
ENSCHAP00000030628	ENSCHAG00000014689	Clupea_harengus
ENSOMEP00000017954	ENSOMEG00000000857	Oryzias_melastigma
ENSORLP00015000516	ENSORLG00015001112	Oryzias_latipes_ASM223469v1
ENSGWIP00000048687	ENSGWIG00000023834	Gouania_willdenowi
ENSTNIP00000009494	ENSTNIG00000006710	Tetraodon_nigroviridis
ENSTRUP00000052081	ENSTRUG00000021594	Takifugu_rubripes
ENSCSEP00000004333	ENSCSEG00000002813	Cynoglossus_semilaevis
ENSFHEP00000021772	ENSFHEG00000001743	Fundulus_heteroclitus
ENSCVAP00000031011	ENSCVAG00000019969	Cyprinodon_variegatus
ENSXMAP00000007339	ENSXMAG00000007311	Xiphophorus_maculatus
ENSXCOP00000024206	ENSXCOG00000018078	Xiphophorus_couchianus
ENSPFOP00000000441	ENSPFOG00000000447	Poecilia_formosa
ENSPMEP00000026405	ENSPMEG00000010080	Poecilia_mexicana
ENSPFOP00000029868	ENSPFOG00000024172	Poecilia_formosa
ENSPMEP00000032743	ENSPMEG00000020884	Poecilia_mexicana
ENSPLAP00000008998	ENSPLAG00000011665	Poecilia_latipinna
ENSPLAP00000001385	ENSPLAG00000002421	Poecilia_latipinna
ENSPREP00000029762	ENSPREG00000020157	Poecilia_reticulata
ENSGAFP00000001491	ENSGAFG00000001046	Gambusia_affinis
ENSKMAP00000006417	ENSKMAG00000004869	Kryptolebias_marmoratus
ENSAOCP00000022529	ENSAOCG00000008060	Amphiprion_ocellaris
ENSAPEP00000030904	ENSAPEG00000021944	Amphiprion_percula
ENSAPOP00000022865	ENSAPOG00000004318	Acanthochromis_polyacanthus
ENSSPAP00000022352	ENSSPAG00000016892	Stegastes_partitus
ENSPRNP00000026269	ENSPRNG00000013217	Parambassis_ranga
ENSACLP00000035476	ENSACLG00000024027	Astatotilapia_calliptera
ENSMZEP00005028616	ENSMZEG00005021338	Maylandia_zebra
ENSPNYP00000020410	ENSPNYG00000015453	Pundamilia_nyererei
ENSHBUP00000025897	ENSHBUG00000000882	Haplochromis_burtoni
ENSNBRP00000021264	ENSNBRG00000016318	Neolamprologus_brichardi
ENSONIP00000017355	ENSONIG00000013801	Oreochromis_niloticus
ENSACIP00000026566	ENSACIG00000020512	Amphilophus_citrinellus
ENSLCRP00005008828	ENSLCRG00005004190	Larimichthys_crocea
ENSMMOP00000000850	ENSMMOG00000000719	Mola_mola
ENSGACP00000012046	ENSGACG00000009122	Gasterosteus_aculeatus
ENSCGOP00000056916	ENSCGOG00000024707	Cottoperca_gobio
ENSLBEP00000028098	ENSLBEG00000021307	Labrus_bergylta
ENSSMAP00000026284	ENSSMAG00000016078	Scophthalmus_maximus
ENSSDUP00000024627	ENSSDUG00000017849	Seriola_dumerili
ENSSLDP00000025577	ENSSLDG00000019891	Seriola_lalandi_dorsalis
ENSLCAP00010017803	ENSLCAG00010008484	Lates_calcarifer
ENSMAMP00000018058	ENSMAMG00000012205	Mastacembelus_armatus
ENSMALP00000032348	ENSMALG00000022283	Monopterus_albus
ENSATEP00000028525	ENSATEG00000019673	Anabas_testudineus
ENSBSLP00000050516	ENSBSLG00000024033	Betta_splendens
ENSHCOP00000002935	ENSHCOG00000004179	Hippocampus_comes
ENSGMOP00000007368	ENSGMOG00000006925	Gadus_morhua
ENSHHUP00000038669	ENSHHUG00000024088	Hucho_hucho	ENSHHUT00000040192
ENSHHUP00000041430	ENSHHUG00000025565	Hucho_hucho	ENSHHUT00000043022
ENSELUP00000028840	ENSELUG00000005587	Esox_lucius	ENSELUT00000012365
ENSPKIP00000012567	ENSPKIG00000000310	Paramormyrops_kingsleyae
ENSSFOP00015017746	ENSSFOG00015011410	Scleropages_formosus
ENSLOCP00000004981	ENSLOCG00000004160	Lepisosteus_oculatus
ENSECRP00000010728	ENSECRG00000007101	Erpetoichthys_calabaricus
ENSAHAP00000022983	ENSAHAG00000016069	Apteryx_haastii
ENSAOWP00000000211	ENSAOWG00000000182	Apteryx_owenii
ENSARWP00000013274	ENSARWG00000009216	Apteryx_rowi
ENSDNVP00000013232	ENSDNVG00000009364	Dromaius_novaehollandiae
ENSNPEP00000021905	ENSNPEG00000016244	Nothoprocta_perdicaria
ENSLSDP00000017214	ENSLSDG00000012364	Lonchura_striata_domestica
ENSTGUP00000007282	ENSTGUG00000007073	Taeniopygia_guttata
ENSSCAP00000005962	ENSSCAG00000004692	Serinus_canaria
ENSJHYP00000022377	ENSJHYG00000016870	Junco_hyemalis
ENSZALP00000011765	ENSZALG00000009915	Zonotrichia_albicollis
ENSPMJP00000023085	ENSPMJG00000017061	Parus_major
ENSCCEP00000022401	ENSCCEG00000020249	Cyanistes_caeruleus
ENSFALP00000014057	ENSFALG00000013467	Ficedula_albicollis
ENSMVIP00005010759	ENSMVIG00005007903	Manacus_vitellinus
ENSLCOP00000012014	ENSLCOG00000008709	Lepidothrix_coronata
ENSMUNP00000005082	ENSMUNG00000004208	Melopsittacus_undulatus
ENSCPUP00000017653	ENSCPUG00000012159	Calidris_pugnax
ENSCPUP00000021726	ENSCPUG00000014785	Calidris_pugnax
ENSCPUP00000017651	ENSCPUG00000012158	Calidris_pugnax
ENSCPGP00000015362	ENSCPGG00000010820	Calidris_pygmaea
ENSMGAP00000001690	ENSMGAG00000002142	Meleagris_gallopavo
ENSGALP00000055797	ENSGALG00000043797	Gallus_gallus
ENSCJPP00005023646	ENSCJPG00005018720	Coturnix_japonica
ENSNMEP00000020749	ENSNMEG00000017810	Numida_meleagris
ENSABRP00000025514	ENSABRG00000021384	Anser_brachyrhynchus
ENSCPRP00005011818	ENSCPRG00005008431	Crocodylus_porosus
ENSCABP00000020779	ENSCABG00000015318	Chelonoidis_abingdonii
ENSGAGP00000001538	ENSGAGG00000001244	Gopherus_agassizii
ENSCPBP00000009903	ENSCPBG00000007633	Chrysemys_picta_bellii
ENSPSIP00000017439	ENSPSIG00000015486	Pelodiscus_sinensis
ENSPVIP00000009071	ENSPVIG00000007260	Pogona_vitticeps
ENSACAP00000016490	ENSACAG00000016760	Anolis_carolinensis
ENSNSUP00000019776	ENSNSUG00000014447	Notechis_scutatus
ENSSMRP00000004522	ENSSMRG00000003726	Salvator_merianae
ENSSPUP00000006136	ENSSPUG00000004724	Sphenodon_punctatus
ENSPCIP00000007759	ENSPCIG00000006494	Phascolarctos_cinereus
ENSVURP00010011167	ENSVURG00010008633	Vombatus_ursinus
ENSMEUP00000008392	ENSMEUG00000009188	Notamacropus_eugenii
ENSSHAP00000007779	ENSSHAG00000006752	Sarcophilus_harrisii
ENSMODP00000049612	ENSMODG00000040360	Monodelphis_domestica
ENSLAFP00000004887	ENSLAFG00000005827	Loxodonta_africana
ENSPCAP00000012100	ENSPCAG00000012956	Procavia_capensis
ENSETEP00000009596	ENSETEG00000011830	Echinops_telfairi
ENSCHOP00000000649	ENSCHOG00000000730	Choloepus_hoffmanni
ENSDNOP00000031676	ENSDNOG00000043630	Dasypus_novemcinctus
ENSCLAP00000002481	ENSCLAG00000001800	Chinchilla_lanigera
ENSCLAP00000003239	ENSCLAG00000002322	Chinchilla_lanigera
ENSODEP00000024848	ENSODEG00000018178	Octodon_degus
ENSCPOP00000005572	ENSCPOG00000006179	Cavia_porcellus
ENSHGLP00100017911	ENSHGLG00100013202	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000020311	ENSHGLG00000014529	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018879	ENSFDAG00000009524	Fukomys_damarensis
ENSSDAP00000008316	ENSSDAG00000007589	Spermophilus_dauricus
ENSUPAP00010009267	ENSUPAG00010007502	Urocitellus_parryii
ENSSTOP00000006356	ENSSTOG00000007122	Ictidomys_tridecemlineatus
ENSMMMP00000020356	ENSMMMG00000017981	Marmota_marmota_marmota
ENSCGRP00001018889	ENSCGRG00001018497	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008170	ENSCGRG00000005958	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006924	ENSCGRG00015005360	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008664	ENSMAUG00000010037	Mesocricetus_auratus
ENSPEMP00000023615	ENSPEMG00000020602	Peromyscus_maniculatus_bairdii
ENSMOCP00000021357	ENSMOCG00000018746	Microtus_ochrogaster
ENSMSIP00000016888	ENSMSIG00000014459	Mus_spicilegus
ENSMUSP00000070991	ENSMUSG00000032469	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0092945	MGP_SPRETEiJ_G0033708	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0089232	MGP_CAROLIEiJ_G0032564	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0024908	MGP_PahariEiJ_G0015433	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019769	ENSRNOG00000014588	Rattus_norvegicus
ENSMUGP00000004574	ENSMUGG00000004248	Meriones_unguiculatus
ENSNGAP00000003222	ENSNGAG00000003518	Nannospalax_galili
