ENSEBUP00000011135	ENSEBUG00000007151	Eptatretus_burgeri	ENSEBUT00000011696
ENSEBUP00000018705	ENSEBUG00000011681	Eptatretus_burgeri	ENSEBUT00000019281
ENSPMAP00000000048	ENSPMAG00000000046	Petromyzon_marinus	ENSPMAT00000000048
ENSEBUP00000001687	ENSEBUG00000001375	Eptatretus_burgeri
ENSDCDP00000046064	ENSDCDG00000028933	Denticeps_clupeoides	ENSDCDT00000057436
ENSCHAP00000020755	ENSCHAG00000010335	Clupea_harengus	ENSCHAT00000022689
ENSPNAP00000024402	ENSPNAG00000008902	Pygocentrus_nattereri	ENSPNAT00000010273
ENSEEEP00000004240	ENSEEEG00000002236	Electrophorus_electricus	ENSEEET00000004300
ENSDARP00000010118	ENSDARG00000017168	Danio_rerio
ENSDCDP00000002443	ENSDCDG00000001299	Denticeps_clupeoides
ENSSFOP00015017210	ENSSFOG00015011087	Scleropages_formosus
ENSAMXP00005017046	ENSAMXG00005008842	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000008001	ENSAMXG00000007779	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000036065	ENSPNAG00000026577	Pygocentrus_nattereri
ENSIPUP00000026477	ENSIPUG00000017934	Ictalurus_punctatus
ENSLOCP00000001918	ENSLOCG00000001663	Lepisosteus_oculatus
ENSPKIP00000021061	ENSPKIG00000005614	Paramormyrops_kingsleyae
ENSPKIP00000027814	ENSPKIG00000009712	Paramormyrops_kingsleyae
ENSSFOP00015025772	ENSSFOG00015016559	Scleropages_formosus
ENSCHAP00000046585	ENSCHAG00000021538	Clupea_harengus
ENSMALP00000012280	ENSMALG00000008715	Monopterus_albus
ENSSFOP00015017231	ENSSFOG00015011103	Scleropages_formosus
ENSTNIP00000000987	ENSTNIG00000005823	Tetraodon_nigroviridis
ENSARWP00000026728	ENSARWG00000018072	Apteryx_rowi
ENSAHAP00000022538	ENSAHAG00000015794	Apteryx_haastii
ENSZALP00000012883	ENSZALG00000010748	Zonotrichia_albicollis
ENSZALP00000006234	ENSZALG00000005711	Zonotrichia_albicollis
ENSGAGP00000035238	ENSGAGG00000025049	Gopherus_agassizii
ENSCMIP00000040605	ENSCMIG00000016929	Callorhinchus_milii
ENSCMIP00000005319	ENSCMIG00000003091	Callorhinchus_milii
ENSLACP00000019810	ENSLACG00000017418	Latimeria_chalumnae
ENSDARP00000116750	ENSDARG00000052695	Danio_rerio
ENSEEEP00000030241	ENSEEEG00000014471	Electrophorus_electricus
ENSPKIP00000032405	ENSPKIG00000012516	Paramormyrops_kingsleyae
ENSHHUP00000005090	ENSHHUG00000003083	Hucho_hucho
ENSHHUP00000064528	ENSHHUG00000038004	Hucho_hucho
ENSELUP00000037918	ENSELUG00000017661	Esox_lucius
ENSGMOP00000000785	ENSGMOG00000000791	Gadus_morhua
ENSTRUP00000053027	ENSTRUG00000022378	Takifugu_rubripes
ENSTNIP00000006778	ENSTNIG00000004157	Tetraodon_nigroviridis
ENSMMOP00000007220	ENSMMOG00000005610	Mola_mola
ENSMALP00000012257	ENSMALG00000008708	Monopterus_albus
ENSPMGP00000016571	ENSPMGG00000013612	Periophthalmus_magnuspinnatus
ENSFHEP00000006837	ENSFHEG00000007911	Fundulus_heteroclitus
ENSCVAP00000023386	ENSCVAG00000006685	Cyprinodon_variegatus
ENSPLAP00000009987	ENSPLAG00000012834	Poecilia_latipinna
ENSPMEP00000028542	ENSPMEG00000013712	Poecilia_mexicana
ENSPFOP00000004390	ENSPFOG00000004554	Poecilia_formosa
ENSGAFP00000013915	ENSGAFG00000009406	Gambusia_affinis
ENSXMAP00000019453	ENSXMAG00000019406	Xiphophorus_maculatus
ENSPREP00000007248	ENSPREG00000004976	Poecilia_reticulata
ENSKMAP00000006040	ENSKMAG00000004596	Kryptolebias_marmoratus
ENSHCOP00000015845	ENSHCOG00000019523	Hippocampus_comes
ENSGWIP00000056349	ENSGWIG00000026713	Gouania_willdenowi
ENSGACP00000013730	ENSGACG00000010385	Gasterosteus_aculeatus
ENSCGOP00000015899	ENSCGOG00000007625	Cottoperca_gobio
ENSLBEP00000009471	ENSLBEG00000007337	Labrus_bergylta
ENSCSEP00000022325	ENSCSEG00000014227	Cynoglossus_semilaevis
ENSCSEP00000019807	ENSCSEG00000012641	Cynoglossus_semilaevis
ENSORLP00020007976	ENSORLG00020008887	Oryzias_latipes_ASM223471v1
ENSORLP00000030635	ENSORLG00000010191	Oryzias_latipes_ASM223467v1
ENSORLP00015021589	ENSORLG00015022855	Oryzias_latipes_ASM223469v1
ENSOMEP00000025635	ENSOMEG00000006988	Oryzias_melastigma
ENSAOCP00000003313	ENSAOCG00000006585	Amphiprion_ocellaris
ENSAPEP00000024677	ENSAPEG00000017557	Amphiprion_percula
ENSAPOP00000021548	ENSAPOG00000002196	Acanthochromis_polyacanthus
ENSSPAP00000007122	ENSSPAG00000005457	Stegastes_partitus
ENSPRNP00000036956	ENSPRNG00000018412	Parambassis_ranga
ENSPNYP00000027902	ENSPNYG00000021013	Pundamilia_nyererei
ENSACLP00000009306	ENSACLG00000006360	Astatotilapia_calliptera
ENSMZEP00005018555	ENSMZEG00005013937	Maylandia_zebra
ENSHBUP00000027174	ENSHBUG00000010238	Haplochromis_burtoni
ENSNBRP00000001354	ENSNBRG00000001121	Neolamprologus_brichardi
ENSONIP00000014908	ENSONIG00000011840	Oreochromis_niloticus
ENSACIP00000008561	ENSACIG00000006715	Amphilophus_citrinellus
ENSATEP00000004908	ENSATEG00000003471	Anabas_testudineus
ENSBSLP00000034874	ENSBSLG00000016936	Betta_splendens
ENSSLDP00000021719	ENSSLDG00000016968	Seriola_lalandi_dorsalis
