ENSTTRP00000000561	ENSTTRG00000000598	Tursiops_truncatus
ENSVPAP00000006257	ENSVPAG00000006737	Vicugna_pacos
ENSECAP00000027409	ENSECAG00000022141	Equus_caballus
ENSEASP00005023072	ENSEASG00005015721	Equus_asinus_asinus
ENSCAFP00020016758	ENSCAFG00020013428	Canis_lupus_dingo
ENSCAFP00000040916	ENSCAFG00000031005	Canis_lupus_familiaris
ENSVVUP00000017601	ENSVVUG00000012958	Vulpes_vulpes
ENSAMEP00000013501	ENSAMEG00000012827	Ailuropoda_melanoleuca
ENSPPRP00000011671	ENSPPRG00000005456	Panthera_pardus
ENSPTIP00000007866	ENSPTIG00000009388	Panthera_tigris_altaica
ENSUMAP00000021302	ENSUMAG00000015567	Ursus_maritimus
ENSUAMP00000020481	ENSUAMG00000016132	Ursus_americanus
ENSMPUP00000012551	ENSMPUG00000012645	Mustela_putorius_furo
ENSFCAP00000011229	ENSFCAG00000012103	Felis_catus
ENSPVAP00000001792	ENSPVAG00000001898	Pteropus_vampyrus
ENSBIXP00000019110	ENSBIXG00000022791	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065140	ENSBTAG00000048456	Bos_taurus
ENSRBIP00000006976	ENSRBIG00000027282	Rhinopithecus_bieti
ENSRROP00000014191	ENSRROG00000031313	Rhinopithecus_roxellana
ENSCANP00000010876	ENSCANG00000028848	Colobus_angolensis_palliatus
ENSPTEP00000018718	ENSPTEG00000020115	Piliocolobus_tephrosceles
ENSTGEP00000011776	ENSTGEG00000009585	Theropithecus_gelada
ENSMLEP00000007150	ENSMLEG00000027554	Mandrillus_leucophaeus
ENSPANP00000001676	ENSPANG00000004066	Papio_anubis
ENSCATP00000038128	ENSCATG00000041761	Cercocebus_atys
ENSCSAP00000011089	ENSCSAG00000014989	Chlorocebus_sabaeus
ENSMNEP00000017116	ENSMNEG00000032573	Macaca_nemestrina
ENSMFAP00000004915	ENSMFAG00000002132	Macaca_fascicularis
ENSPPAP00000028937	ENSPPAG00000037495	Pan_paniscus
ENSPTRP00000073974	ENSPTRG00000043950	Pan_troglodytes
ENSP00000339804	ENSG00000145777	Homo_sapiens
ENSGGOP00000037168	ENSGGOG00000038272	Gorilla_gorilla
ENSPPYP00000017530	ENSPPYG00000015678	Pongo_abelii
ENSNLEP00000026687	ENSNLEG00000032786	Nomascus_leucogenys
ENSCCAP00000009758	ENSCCAG00000022617	Cebus_capucinus_imitator
ENSSBOP00000026317	ENSSBOG00000029600	Saimiri_boliviensis_boliviensis
ENSCJAP00000029942	ENSCJAG00000016274	Callithrix_jacchus
ENSANAP00000014949	ENSANAG00000025369	Aotus_nancymaae
ENSTSYP00000010460	ENSTSYG00000011424	Carlito_syrichta
ENSPSMP00000036371	ENSPSMG00000025022	Prolemur_simus
ENSMICP00000044961	ENSMICG00000000642	Microcebus_murinus
ENSPCOP00000002035	ENSPCOG00000006262	Propithecus_coquereli
ENSTBEP00000001612	ENSTBEG00000001878	Tupaia_belangeri
ENSSDAP00000026984	ENSSDAG00000024465	Spermophilus_dauricus
ENSUPAP00010015043	ENSUPAG00010012065	Urocitellus_parryii
ENSMSIP00000002829	ENSMSIG00000002621	Mus_spicilegus
MGP_SPRETEiJ_P0048166	MGP_SPRETEiJ_G0022990	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000025237	ENSMUSG00000024379	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046240	MGP_CAROLIEiJ_G0022078	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038844	MGP_PahariEiJ_G0018812	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069118	ENSRNOG00000058856	Rattus_norvegicus
ENSMUGP00000024179	ENSMUGG00000020212	Meriones_unguiculatus
ENSPEMP00000015955	ENSPEMG00000015334	Peromyscus_maniculatus_bairdii
ENSMOCP00000020133	ENSMOCG00000017905	Microtus_ochrogaster
ENSCGRP00000017332	ENSCGRG00000012605	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022599	ENSCGRG00001021100	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000691	ENSCGRG00015000675	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003346	ENSMAUG00000003635	Mesocricetus_auratus
ENSNGAP00000016886	ENSNGAG00000017477	Nannospalax_galili
ENSCCNP00000013265	ENSCCNG00000013793	Castor_canadensis
ENSOPRP00000001244	ENSOPRG00000001357	Ochotona_princeps
ENSOCUP00000022205	ENSOCUG00000024909	Oryctolagus_cuniculus
ENSEEUP00000005861	ENSEEUG00000006435	Erinaceus_europaeus
ENSSARP00000009509	ENSSARG00000010534	Sorex_araneus
ENSETEP00000013393	ENSETEG00000016511	Echinops_telfairi
ENSCHOP00000000038	ENSCHOG00000000044	Choloepus_hoffmanni
ENSDNOP00000028491	ENSDNOG00000046804	Dasypus_novemcinctus
