ENSVURP00010013152	ENSVURG00010010113	Vombatus_ursinus	ENSVURT00010014965
ENSPCIP00000010966	ENSPCIG00000008870	Phascolarctos_cinereus	ENSPCIT00000013708
ENSMEUP00000010800	ENSMEUG00000011832	Notamacropus_eugenii	ENSMEUT00000011889
ENSSHAP00000020535	ENSSHAG00000017411	Sarcophilus_harrisii	ENSSHAT00000020698
ENSMODP00000054847	ENSMODG00000010691	Monodelphis_domestica	ENSMODT00000086070
ENSOANP00000005155	ENSOANG00000003253	Ornithorhynchus_anatinus
ENSMLUP00000019505	ENSMLUG00000028977	Myotis_lucifugus
ENSMLUP00000009649	ENSMLUG00000010561	Myotis_lucifugus
ENSUMAP00000012393	ENSUMAG00000009213	Ursus_maritimus
ENSUAMP00000023951	ENSUAMG00000018736	Ursus_americanus
ENSAMEP00000016439	ENSAMEG00000015590	Ailuropoda_melanoleuca
ENSNVIP00000014094	ENSNVIG00000010953	Neovison_vison
ENSMPUP00000009598	ENSMPUG00000009674	Mustela_putorius_furo
ENSCAFP00020002495	ENSCAFG00020002105	Canis_lupus_dingo
ENSCAFP00020002501	ENSCAFG00020002119	Canis_lupus_dingo
ENSCAFP00000009124	ENSCAFG00000006057	Canis_lupus_familiaris
ENSVVUP00000027513	ENSVVUG00000020207	Vulpes_vulpes
ENSPPRP00000003391	ENSPPRG00000022736	Panthera_pardus
ENSPTIP00000026154	ENSPTIG00000021659	Panthera_tigris_altaica
ENSFCAP00000012620	ENSFCAG00000013609	Felis_catus
ENSSSCP00000031956	ENSSSCG00000015820	Sus_scrofa_strain_reference
ENSEEUP00000002285	ENSEEUG00000002476	Erinaceus_europaeus
ENSSARP00000007016	ENSSARG00000007738	Sorex_araneus
ENSBIXP00000004183	ENSBIXG00000010545	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029334	ENSBIXG00005000470	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000053526	ENSBTAG00000001529	Bos_taurus
ENSBMUP00000015021	ENSBMUG00000011319	Bos_mutus
ENSBBBP00000014830	ENSBBBG00000022712	Bison_bison_bison
ENSCHIP00000031003	ENSCHIG00000025553	Capra_hircus
ENSOARP00000001509	ENSOARG00000001447	Ovis_aries
ENSTTRP00000004261	ENSTTRG00000004519	Tursiops_truncatus
ENSVPAP00000010795	ENSVPAG00000011597	Vicugna_pacos
ENSTBEP00000010577	ENSTBEG00000012180	Tupaia_belangeri
ENSCHOP00000008071	ENSCHOG00000009117	Choloepus_hoffmanni
ENSDNOP00000007225	ENSDNOG00000009319	Dasypus_novemcinctus
ENSLAFP00000027190	ENSLAFG00000014727	Loxodonta_africana
ENSPCAP00000015649	ENSPCAG00000016629	Procavia_capensis
ENSMLEP00000002840	ENSMLEG00000011807	Mandrillus_leucophaeus
ENSPANP00000044385	ENSPANG00000030932	Papio_anubis
ENSMFAP00000037403	ENSMFAG00000037945	Macaca_fascicularis
ENSCATP00000008703	ENSCATG00000026315	Cercocebus_atys
ENSRBIP00000003478	ENSRBIG00000016489	Rhinopithecus_bieti
ENSETEP00000007559	ENSETEG00000009300	Echinops_telfairi
ENSEASP00005024531	ENSEASG00005016666	Equus_asinus_asinus
ENSEASP00005024516	ENSEASG00005016657	Equus_asinus_asinus
ENSECAP00000021664	ENSECAG00000024114	Equus_caballus
ENSPVAP00000005699	ENSPVAG00000006027	Pteropus_vampyrus	ENSPVAT00000006029
ENSCCNP00000004324	ENSCCNG00000004124	Castor_canadensis
ENSDORP00000006773	ENSDORG00000007224	Dipodomys_ordii
ENSMSIP00000035727	ENSMSIG00000029714	Mus_spicilegus
ENSMSIP00000035745	ENSMSIG00000029749	Mus_spicilegus
ENSMUSP00000117778	ENSMUSG00000054823	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0087519	MGP_SPRETEiJ_G0032044	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0084047	MGP_CAROLIEiJ_G0030925	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046950	MGP_PahariEiJ_G0021395	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071250	ENSRNOG00000015621	Rattus_norvegicus
ENSMUGP00000031356	ENSMUGG00000026058	Meriones_unguiculatus
ENSMOCP00000008549	ENSMOCG00000008558	Microtus_ochrogaster
ENSMOCP00000027407	ENSMOCG00000022900	Microtus_ochrogaster	ENSMOCT00000031311
ENSMAUP00000024788	ENSMAUG00000021527	Mesocricetus_auratus
ENSMAUP00000025549	ENSMAUG00000022052	Mesocricetus_auratus	ENSMAUT00000029571
ENSCGRP00000016204	ENSCGRG00000011754	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032291	ENSCGRG00015024335	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020874	ENSCGRG00001019859	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000036735	ENSPEMG00000031173	Peromyscus_maniculatus_bairdii
ENSPEMP00000019151	ENSPEMG00000017537	Peromyscus_maniculatus_bairdii
ENSNGAP00000002195	ENSNGAG00000001785	Nannospalax_galili
ENSJJAP00000008021	ENSJJAG00000012261	Jaculus_jaculus
ENSCLAP00000002055	ENSCLAG00000001493	Chinchilla_lanigera
ENSODEP00000010200	ENSODEG00000007623	Octodon_degus
ENSCPOP00000013130	ENSCPOG00000014573	Cavia_porcellus
ENSCAPP00000017384	ENSCAPG00000017037	Cavia_aperea
ENSHGLP00000004133	ENSHGLG00000003037	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015677	ENSHGLG00100011578	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000003002	ENSHGLG00000002243	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015942	ENSHGLG00100011766	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012574	ENSFDAG00000019937	Fukomys_damarensis
ENSSTOP00000001032	ENSSTOG00000001140	Ictidomys_tridecemlineatus
ENSUPAP00010030468	ENSUPAG00010023907	Urocitellus_parryii
ENSSDAP00000006731	ENSSDAG00000005803	Spermophilus_dauricus
ENSMMMP00000017882	ENSMMMG00000015647	Marmota_marmota_marmota
ENSPPAP00000002486	ENSPPAG00000010979	Pan_paniscus
ENSPTRP00000045907	ENSPTRG00000020173	Pan_troglodytes
ENSP00000313983	ENSG00000147548	Homo_sapiens
ENSGGOP00000027571	ENSGGOG00000011894	Gorilla_gorilla
ENSPPYP00000020764	ENSPPYG00000018524	Pongo_abelii
ENSNLEP00000014943	ENSNLEG00000012273	Nomascus_leucogenys
ENSCANP00000008474	ENSCANG00000027265	Colobus_angolensis_palliatus
ENSPTEP00000036864	ENSPTEG00000034579	Piliocolobus_tephrosceles
ENSRROP00000002999	ENSRROG00000011900	Rhinopithecus_roxellana
ENSRBIP00000009852	ENSRBIG00000028798	Rhinopithecus_bieti
ENSMLEP00000009946	ENSMLEG00000029132	Mandrillus_leucophaeus
ENSCATP00000022657	ENSCATG00000034947	Cercocebus_atys
