ENSECAP00000046377	ENSECAG00000013637	Equus_caballus	ENSECAT00000035578
ENSEASP00005016534	ENSEASG00005011428	Equus_asinus_asinus
ENSEEUP00000011555	ENSEEUG00000012699	Erinaceus_europaeus
ENSOCUP00000009036	ENSOCUG00000014725	Oryctolagus_cuniculus
ENSOPRP00000003602	ENSOPRG00000003921	Ochotona_princeps
ENSOCUP00000016113	ENSOCUG00000017746	Oryctolagus_cuniculus
ENSSDAP00000019162	ENSSDAG00000016875	Spermophilus_dauricus
ENSMMMP00000006333	ENSMMMG00000004981	Marmota_marmota_marmota
ENSSDAP00000018359	ENSSDAG00000015451	Spermophilus_dauricus
ENSSDAP00000016915	ENSSDAG00000012253	Spermophilus_dauricus
ENSMMMP00000007119	ENSMMMG00000005778	Marmota_marmota_marmota
ENSUPAP00010022108	ENSUPAG00010015464	Urocitellus_parryii
ENSMMMP00000005160	ENSMMMG00000003825	Marmota_marmota_marmota
ENSPCOP00000007047	ENSPCOG00000014735	Propithecus_coquereli
ENSPSMP00000033872	ENSPSMG00000023328	Prolemur_simus
ENSMICP00000017046	ENSMICG00000034911	Microcebus_murinus
ENSOGAP00000021909	ENSOGAG00000030634	Otolemur_garnettii
ENSOGAP00000005883	ENSOGAG00000006579	Otolemur_garnettii
ENSOGAP00000002735	ENSOGAG00000003053	Otolemur_garnettii
ENSOGAP00000002734	ENSOGAG00000003051	Otolemur_garnettii
ENSPTRP00000006531	ENSPTRG00000003797	Pan_troglodytes
ENSPPAP00000023889	ENSPPAG00000035098	Pan_paniscus
ENSP00000480336	ENSG00000197658	Homo_sapiens
ENSGGOP00000005455	ENSGGOG00000005570	Gorilla_gorilla
ENSPPYP00000003622	ENSPPYG00000003136	Pongo_abelii
ENSNLEP00000005406	ENSNLEG00000034554	Nomascus_leucogenys
ENSPCAP00000009609	ENSPCAG00000010344	Procavia_capensis
