ENSMUGP00000019225	ENSMUGG00000016284	Meriones_unguiculatus
ENSRNOP00000015913	ENSRNOG00000039980	Rattus_norvegicus
ENSPEMP00000032261	ENSPEMG00000012886	Peromyscus_maniculatus_bairdii
ENSPEMP00000021756	ENSPEMG00000019306	Peromyscus_maniculatus_bairdii
ENSUPAP00010003735	ENSUPAG00010003053	Urocitellus_parryii
ENSSTOP00000023763	ENSSTOG00000020438	Ictidomys_tridecemlineatus
ENSUPAP00010001518	ENSUPAG00010001314	Urocitellus_parryii
ENSSDAP00000002254	ENSSDAG00000002167	Spermophilus_dauricus
ENSJJAP00000004115	ENSJJAG00000008457	Jaculus_jaculus
ENSPCOP00000016865	ENSPCOG00000020222	Propithecus_coquereli
ENSPSMP00000000055	ENSPSMG00000000062	Prolemur_simus
ENSOGAP00000008939	ENSOGAG00000010008	Otolemur_garnettii
ENSHGLP00000020577	ENSHGLG00000014712	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006463	ENSHGLG00100004846	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000005782	ENSCLAG00000004099	Chinchilla_lanigera
ENSODEP00000004472	ENSODEG00000003410	Octodon_degus
ENSODEP00000009729	ENSODEG00000007279	Octodon_degus
ENSMLUP00000014343	ENSMLUG00000015742	Myotis_lucifugus
ENSMAUP00000022689	ENSMAUG00000020049	Mesocricetus_auratus
ENSSTOP00000028908	ENSSTOG00000033536	Ictidomys_tridecemlineatus
ENSODEP00000021274	ENSODEG00000015660	Octodon_degus
ENSTSYP00000013562	ENSTSYG00000014778	Carlito_syrichta
ENSTSYP00000002080	ENSTSYG00000002246	Carlito_syrichta
ENSPPRP00000002033	ENSPPRG00000023703	Panthera_pardus
ENSFCAP00000006547	ENSFCAG00000007057	Felis_catus
ENSUAMP00000018937	ENSUAMG00000014980	Ursus_americanus
ENSTTRP00000000949	ENSTTRG00000001007	Tursiops_truncatus
ENSPPRP00000017896	ENSPPRG00000009708	Panthera_pardus
ENSNVIP00000028914	ENSNVIG00000022303	Neovison_vison
ENSVPAP00000000594	ENSVPAG00000000644	Vicugna_pacos
ENSAMEP00000000155	ENSAMEG00000000143	Ailuropoda_melanoleuca
ENSUMAP00000002349	ENSUMAG00000002112	Ursus_maritimus
ENSPTIP00000016894	ENSPTIG00000015502	Panthera_tigris_altaica
ENSOARP00000017475	ENSOARG00000016274	Ovis_aries
ENSMMMP00000008023	ENSMMMG00000007201	Marmota_marmota_marmota
ENSCGRP00000009436	ENSCGRG00000006891	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022523	ENSCGRG00015017143	Cricetulus_griseus_CriGri-PICR
ENSCAFP00000057904	ENSCAFG00000018384	Canis_lupus_familiaris
ENSMPUP00000001542	ENSMPUG00000001557	Mustela_putorius_furo
ENSCGRP00015011976	ENSCGRG00015009201	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000024643	ENSMSIG00000020855	Mus_spicilegus
ENSOCUP00000036354	ENSOCUG00000038822	Oryctolagus_cuniculus
ENSRBIP00000030480	ENSRBIG00000039100	Rhinopithecus_bieti
ENSVVUP00000022652	ENSVVUG00000016599	Vulpes_vulpes
ENSNVIP00000005643	ENSNVIG00000004547	Neovison_vison
ENSPTIP00000013638	ENSPTIG00000013301	Panthera_tigris_altaica
ENSPPRP00000005969	ENSPPRG00000001564	Panthera_pardus
ENSFCAP00000024892	ENSFCAG00000029225	Felis_catus
ENSMNEP00000030182	ENSMNEG00000038553	Macaca_nemestrina
ENSANAP00000008855	ENSANAG00000022452	Aotus_nancymaae
ENSBTAP00000059714	ENSBTAG00000046037	Bos_taurus
ENSBMUP00000013564	ENSBMUG00000010345	Bos_mutus
ENSBIXP00005036389	ENSBIXG00005017922	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000003165	ENSCHIG00000007023	Capra_hircus
ENSSSCP00000013421	ENSSSCG00000012623	Sus_scrofa_strain_reference
ENSECAP00000032244	ENSECAG00000028359	Equus_caballus
ENSEASP00005018660	ENSEASG00005012862	Equus_asinus_asinus
ENSCAFP00020005158	ENSCAFG00020004236	Canis_lupus_dingo
ENSOCUP00000011416	ENSOCUG00000013268	Oryctolagus_cuniculus
ENSOCUP00000038831	ENSOCUG00000027921	Oryctolagus_cuniculus
ENSTBEP00000005161	ENSTBEG00000006008	Tupaia_belangeri
ENSDNOP00000030074	ENSDNOG00000048576	Dasypus_novemcinctus
ENSAMEP00000001614	ENSAMEG00000001531	Ailuropoda_melanoleuca
ENSDNOP00000028860	ENSDNOG00000041586	Dasypus_novemcinctus
ENSCGRP00001027749	ENSCGRG00001024670	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015003770	ENSCGRG00015002991	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000023330	ENSCGRG00000016896	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000006321	ENSCGRG00000004627	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006940	ENSCGRG00001009419	Cricetulus_griseus_CHOK1GS_HDv1
ENSMSIP00000010622	ENSMSIG00000009312	Mus_spicilegus
ENSTSYP00000020800	ENSTSYG00000032497	Carlito_syrichta
ENSTSYP00000022473	ENSTSYG00000031066	Carlito_syrichta
ENSCSAP00000002027	ENSCSAG00000005718	Chlorocebus_sabaeus
ENSCANP00000030304	ENSCANG00000038818	Colobus_angolensis_palliatus
ENSPPAP00000036378	ENSPPAG00000040953	Pan_paniscus
ENSMLEP00000024905	ENSMLEG00000036611	Mandrillus_leucophaeus
ENSMFAP00000037407	ENSMFAG00000037935	Macaca_fascicularis
ENSPANP00000013440	ENSPANG00000000822	Papio_anubis
ENSTGEP00000022568	ENSTGEG00000018261	Theropithecus_gelada
ENSRBIP00000027458	ENSRBIG00000037596	Rhinopithecus_bieti
ENSPPAP00000032591	ENSPPAG00000039171	Pan_paniscus
ENSNLEP00000043930	ENSNLEG00000030679	Nomascus_leucogenys
ENSCANP00000004495	ENSCANG00000015553	Colobus_angolensis_palliatus
ENSMFAP00000011127	ENSMFAG00000013335	Macaca_fascicularis
ENSCATP00000033821	ENSCATG00000039879	Cercocebus_atys
ENSMLEP00000020161	ENSMLEG00000034279	Mandrillus_leucophaeus
ENSPANP00000020990	ENSPANG00000031002	Papio_anubis
ENSMNEP00000004095	ENSMNEG00000019075	Macaca_nemestrina
ENSRBIP00000030973	ENSRBIG00000039330	Rhinopithecus_bieti
ENSTGEP00000033067	ENSTGEG00000026425	Theropithecus_gelada
ENSPTEP00000012652	ENSPTEG00000014200	Piliocolobus_tephrosceles
ENSPTRP00000076409	ENSPTRG00000022774	Pan_troglodytes
ENSCCAP00000019759	ENSCCAG00000027689	Cebus_capucinus_imitator
ENSPTRP00000066810	ENSPTRG00000051306	Pan_troglodytes
ENSPPAP00000028953	ENSPPAG00000037496	Pan_paniscus
ENSCANP00000010114	ENSCANG00000028465	Colobus_angolensis_palliatus
ENSOGAP00000019208	ENSOGAG00000032585	Otolemur_garnettii
ENSSTOP00000030705	ENSSTOG00000033187	Ictidomys_tridecemlineatus
ENSODEP00000002669	ENSODEG00000002068	Octodon_degus
ENSMLUP00000021480	ENSMLUG00000029028	Myotis_lucifugus
ENSCAFP00020026004	ENSCAFG00020020435	Canis_lupus_dingo
ENSFCAP00000056031	ENSFCAG00000001211	Felis_catus
ENSVVUP00000015675	ENSVVUG00000011502	Vulpes_vulpes
ENSBBBP00000013899	ENSBBBG00000021591	Bison_bison_bison
ENSMAUP00000002568	ENSMAUG00000002217	Mesocricetus_auratus
ENSOANP00000020472	ENSOANG00000012943	Ornithorhynchus_anatinus
ENSJJAP00000020788	ENSJJAG00000021366	Jaculus_jaculus
ENSCGRP00000004041	ENSCGRG00000002976	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000045232	ENSOCUG00000006682	Oryctolagus_cuniculus
ENSCJAP00000078669	ENSCJAG00000054857	Callithrix_jacchus
ENSDNOP00000034451	ENSDNOG00000033024	Dasypus_novemcinctus
ENSCHIP00000019858	ENSCHIG00000018724	Capra_hircus
ENSDNOP00000016429	ENSDNOG00000008384	Dasypus_novemcinctus
ENSEEUP00000000703	ENSEEUG00000000792	Erinaceus_europaeus
ENSMSIP00000004192	ENSMSIG00000003860	Mus_spicilegus
ENSMSIP00000037855	ENSMSIG00000031530	Mus_spicilegus
ENSMSIP00000037930	ENSMSIG00000031595	Mus_spicilegus
ENSMSIP00000020092	ENSMSIG00000017065	Mus_spicilegus
ENSMSIP00000035864	ENSMSIG00000029850	Mus_spicilegus
ENSMSIP00000001052	ENSMSIG00000001070	Mus_spicilegus
ENSMSIP00000018630	ENSMSIG00000015869	Mus_spicilegus
ENSMUSP00000016463	ENSMUSG00000016319	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0091198	MGP_CAROLIEiJ_G0032992	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088839	MGP_PahariEiJ_G0031536	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000010494	ENSNGAG00000012910	Nannospalax_galili
ENSCCNP00000007942	ENSCCNG00000008447	Castor_canadensis
ENSDORP00000015232	ENSDORG00000016192	Dipodomys_ordii
ENSPEMP00000009721	ENSPEMG00000027246	Peromyscus_maniculatus_bairdii
ENSCGRP00001005458	ENSCGRG00001007178	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000004560	ENSMOCG00000003826	Microtus_ochrogaster
ENSPVAP00000014065	ENSPVAG00000014924	Pteropus_vampyrus
ENSETEP00000003997	ENSETEG00000004900	Echinops_telfairi
ENSETEP00000010557	ENSETEG00000013015	Echinops_telfairi
ENSMGAP00000007955	ENSMGAG00000007809	Meleagris_gallopavo
ENSMUNP00000018094	ENSMUNG00000013847	Melopsittacus_undulatus
ENSCPRP00005010118	ENSCPRG00005007219	Crocodylus_porosus
ENSNSUP00000009481	ENSNSUG00000007250	Notechis_scutatus
ENSACIP00000006436	ENSACIG00000004793	Amphilophus_citrinellus
ENSTGEP00000033124	ENSTGEG00000026477	Theropithecus_gelada
ENSTGEP00000024192	ENSTGEG00000019570	Theropithecus_gelada
ENSSBOP00000003500	ENSSBOG00000016676	Saimiri_boliviensis_boliviensis
ENSSBOP00000008160	ENSSBOG00000020950	Saimiri_boliviensis_boliviensis
ENSCCAP00000036419	ENSCCAG00000036129	Cebus_capucinus_imitator
ENSRROP00000005589	ENSRROG00000023013	Rhinopithecus_roxellana
ENSRROP00000013804	ENSRROG00000031129	Rhinopithecus_roxellana
ENSRBIP00000002302	ENSRBIG00000011363	Rhinopithecus_bieti
ENSCANP00000020720	ENSCANG00000033799	Colobus_angolensis_palliatus
ENSCATP00000012503	ENSCATG00000030417	Cercocebus_atys
ENSMLEP00000035165	ENSMLEG00000041725	Mandrillus_leucophaeus
ENSMNEP00000009998	ENSMNEG00000029388	Macaca_nemestrina
ENSMFAP00000003190	ENSMFAG00000040308	Macaca_fascicularis
ENSANAP00000020510	ENSANAG00000028035	Aotus_nancymaae
ENSCCAP00000013168	ENSCCAG00000024380	Cebus_capucinus_imitator
ENSGGOP00000013926	ENSGGOG00000014279	Gorilla_gorilla
ENSPTRP00000060483	ENSPTRG00000041698	Pan_troglodytes
ENSNLEP00000018076	ENSNLEG00000014852	Nomascus_leucogenys
ENSPTEP00000031261	ENSPTEG00000030262	Piliocolobus_tephrosceles
ENSPPAP00000028102	ENSPPAG00000037111	Pan_paniscus
ENSPPYP00000023136	ENSPPYG00000020669	Pongo_abelii
ENSPANP00000005374	ENSPANG00000010666	Papio_anubis
ENSMLEP00000015308	ENSMLEG00000031806	Mandrillus_leucophaeus
ENSP00000360671	ENSG00000005022	Homo_sapiens
ENSCJAP00000078061	ENSCJAG00000033806	Callithrix_jacchus
ENSCJAP00000044782	ENSCJAG00000057868	Callithrix_jacchus
ENSRROP00000027769	ENSRROG00000037685	Rhinopithecus_roxellana
ENSPTEP00000036945	ENSPTEG00000034643	Piliocolobus_tephrosceles
ENSCANP00000001910	ENSCANG00000007186	Colobus_angolensis_palliatus
ENSCATP00000013269	ENSCATG00000030763	Cercocebus_atys
ENSCSAP00000014365	ENSCSAG00000018358	Chlorocebus_sabaeus
ENSMFAP00000007280	ENSMFAG00000042853	Macaca_fascicularis
ENSPANP00000035564	ENSPANG00000022502	Papio_anubis
ENSCJAP00000044268	ENSCJAG00000052493	Callithrix_jacchus
ENSCCAP00000034797	ENSCCAG00000035322	Cebus_capucinus_imitator
ENSSBOP00000029693	ENSSBOG00000031119	Saimiri_boliviensis_boliviensis
ENSPCOP00000004671	ENSPCOG00000013071	Propithecus_coquereli
