ENSPREP00000027379	ENSPREG00000018504	Poecilia_reticulata	ENSPRET00000027672
ENSKMAP00000012960	ENSKMAG00000009719	Kryptolebias_marmoratus	ENSKMAT00000013155
ENSOMEP00000026989	ENSOMEG00000009163	Oryzias_melastigma	ENSOMET00000003160
ENSDARP00000134173	ENSDARG00000100152	Danio_rerio	ENSDART00000161035
ENSBBBP00000008508	ENSBBBG00000016543	Bison_bison_bison
ENSSSCP00000063732	ENSSSCG00000031661	Sus_scrofa_strain_reference
ENSPTIP00000003235	ENSPTIG00000006041	Panthera_tigris_altaica
ENSPPRP00000003537	ENSPPRG00000022693	Panthera_pardus
ENSVVUP00000031718	ENSVVUG00000023065	Vulpes_vulpes
ENSMPUP00000012029	ENSMPUG00000012124	Mustela_putorius_furo
ENSMLUP00000019544	ENSMLUG00000024665	Myotis_lucifugus
ENSCGRP00001021648	ENSCGRG00001020442	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008592	ENSCGRG00000006269	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015015989	ENSCGRG00015012305	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014997	ENSMAUG00000014593	Mesocricetus_auratus
ENSMOCP00000009640	ENSMOCG00000009836	Microtus_ochrogaster
ENSPEMP00000007163	ENSPEMG00000009198	Peromyscus_maniculatus_bairdii
ENSMUSP00000129542	ENSMUSG00000087651	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000037768	ENSMSIG00000031458	Mus_spicilegus
MGP_CAROLIEiJ_P0024303	MGP_CAROLIEiJ_G0015673	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088360	MGP_PahariEiJ_G0031411	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000011940	ENSNGAG00000013967	Nannospalax_galili
ENSDORP00000018084	ENSDORG00000028465	Dipodomys_ordii
ENSMMMP00000019441	ENSMMMG00000017181	Marmota_marmota_marmota
ENSUPAP00010002647	ENSUPAG00010002208	Urocitellus_parryii
ENSCCNP00000022025	ENSCCNG00000021716	Castor_canadensis
ENSHGLP00100023240	ENSHGLG00100017075	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014511	ENSHGLG00000010392	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002823	ENSFDAG00000012426	Fukomys_damarensis
ENSCAPP00000004044	ENSCAPG00000006676	Cavia_aperea
ENSCPOP00000023328	ENSCPOG00000033707	Cavia_porcellus
ENSCLAP00000013288	ENSCLAG00000009180	Chinchilla_lanigera
ENSODEP00000016423	ENSODEG00000012089	Octodon_degus
ENSPPAP00000028339	ENSPPAG00000037210	Pan_paniscus
ENSGGOP00000047141	ENSGGOG00000038455	Gorilla_gorilla
ENSP00000448536	ENSG00000235162	Homo_sapiens
ENSMNEP00000006839	ENSMNEG00000027979	Macaca_nemestrina
ENSMFAP00000034783	ENSMFAG00000003861	Macaca_fascicularis
ENSPANP00000036958	ENSPANG00000033836	Papio_anubis
ENSTGEP00000013522	ENSTGEG00000010992	Theropithecus_gelada
ENSMLEP00000018529	ENSMLEG00000033446	Mandrillus_leucophaeus
ENSCATP00000035433	ENSCATG00000040575	Cercocebus_atys
ENSMMUP00000049906	ENSMMUG00000046424	Macaca_mulatta
ENSCSAP00000015073	ENSCSAG00000002966	Chlorocebus_sabaeus
ENSPTEP00000015481	ENSPTEG00000017157	Piliocolobus_tephrosceles
ENSCANP00000002445	ENSCANG00000008962	Colobus_angolensis_palliatus
ENSPTEP00000001479	ENSPTEG00000001642	Piliocolobus_tephrosceles
ENSPTEP00000009418	ENSPTEG00000010680	Piliocolobus_tephrosceles
ENSPTEP00000001443	ENSPTEG00000001605	Piliocolobus_tephrosceles
ENSPTEP00000009461	ENSPTEG00000010725	Piliocolobus_tephrosceles
ENSCANP00000026513	ENSCANG00000036680	Colobus_angolensis_palliatus
ENSCCAP00000034784	ENSCCAG00000035327	Cebus_capucinus_imitator
ENSCJAP00000063209	ENSCJAG00000048581	Callithrix_jacchus
ENSSBOP00000032696	ENSSBOG00000032534	Saimiri_boliviensis_boliviensis
ENSANAP00000032208	ENSANAG00000033802	Aotus_nancymaae
ENSPSMP00000015567	ENSPSMG00000011071	Prolemur_simus
ENSMICP00000043176	ENSMICG00000026810	Microcebus_murinus
ENSVURP00010006849	ENSVURG00010005309	Vombatus_ursinus
ENSMODP00000059634	ENSMODG00000037198	Monodelphis_domestica
ENSMGAP00000018799	ENSMGAG00000016788	Meleagris_gallopavo
ENSFALP00000014019	ENSFALG00000013433	Ficedula_albicollis
ENSCPRP00005026598	ENSCPRG00005018458	Crocodylus_porosus
ENSGAGP00000024808	ENSGAGG00000018111	Gopherus_agassizii
