W02B12.10.1	WBGene00012205	Caenorhabditis_elegans_strain_N2	W02B12.10.1
FBpp0070317	FBgn0025629	Drosophila_melanogaster	FBtr0070331
ENSCSEP00000006622	ENSCSEG00000004284	Cynoglossus_semilaevis
ENSGWIP00000045406	ENSGWIG00000022500	Gouania_willdenowi
ENSTNIP00000021408	ENSTNIG00000018242	Tetraodon_nigroviridis
ENSTRUP00000047402	ENSTRUG00000018515	Takifugu_rubripes
ENSMMOP00000000055	ENSMMOG00000000038	Mola_mola
ENSBSLP00000004740	ENSBSLG00000002537	Betta_splendens
ENSPFOP00000009316	ENSPFOG00000009323	Poecilia_formosa
ENSPMEP00000009190	ENSPMEG00000011023	Poecilia_mexicana
ENSPLAP00000023512	ENSPLAG00000008921	Poecilia_latipinna
ENSPREP00000021646	ENSPREG00000014602	Poecilia_reticulata
ENSXCOP00000024881	ENSXCOG00000018574	Xiphophorus_couchianus
ENSXMAP00000021995	ENSXMAG00000029038	Xiphophorus_maculatus
ENSGAFP00000004456	ENSGAFG00000003024	Gambusia_affinis
ENSFHEP00000007149	ENSFHEG00000008220	Fundulus_heteroclitus
ENSCVAP00000000825	ENSCVAG00000001768	Cyprinodon_variegatus
ENSKMAP00000022632	ENSKMAG00000016796	Kryptolebias_marmoratus
ENSORLP00020016498	ENSORLG00020017524	Oryzias_latipes_ASM223471v1
ENSORLP00015012184	ENSORLG00015013031	Oryzias_latipes_ASM223469v1
ENSORLP00000019022	ENSORLG00000015181	Oryzias_latipes_ASM223467v1
ENSOMEP00000035153	ENSOMEG00000022210	Oryzias_melastigma
ENSMALP00000025686	ENSMALG00000017790	Monopterus_albus
ENSMAMP00000006636	ENSMAMG00000004476	Mastacembelus_armatus
ENSATEP00000035802	ENSATEG00000024599	Anabas_testudineus
ENSLCAP00010044792	ENSLCAG00010020820	Lates_calcarifer
ENSSMAP00000006478	ENSSMAG00000004006	Scophthalmus_maximus
ENSSLDP00000005297	ENSSLDG00000004234	Seriola_lalandi_dorsalis
ENSSDUP00000006501	ENSSDUG00000004778	Seriola_dumerili
ENSLBEP00000021871	ENSLBEG00000016798	Labrus_bergylta
ENSLCRP00005059430	ENSLCRG00005022001	Larimichthys_crocea
ENSCGOP00000053717	ENSCGOG00000023551	Cottoperca_gobio
ENSGACP00000000747	ENSGACG00000000572	Gasterosteus_aculeatus
ENSAOCP00000001672	ENSAOCG00000004727	Amphiprion_ocellaris
ENSAPEP00000013684	ENSAPEG00000009748	Amphiprion_percula
ENSAPOP00000005234	ENSAPOG00000006902	Acanthochromis_polyacanthus
ENSSPAP00000000104	ENSSPAG00000000086	Stegastes_partitus
ENSPRNP00000057227	ENSPRNG00000026665	Parambassis_ranga
ENSMZEP00005007071	ENSMZEG00005005428	Maylandia_zebra
ENSPNYP00000026999	ENSPNYG00000020349	Pundamilia_nyererei
ENSACLP00000005112	ENSACLG00000003432	Astatotilapia_calliptera
ENSNBRP00000013176	ENSNBRG00000010232	Neolamprologus_brichardi
ENSONIP00000024159	ENSONIG00000019193	Oreochromis_niloticus
ENSACIP00000002602	ENSACIG00000002114	Amphilophus_citrinellus
ENSHCOP00000016023	ENSHCOG00000019721	Hippocampus_comes
ENSPMGP00000024947	ENSPMGG00000020163	Periophthalmus_magnuspinnatus
