ENSAPOP00000003324	ENSAPOG00000004808	Acanthochromis_polyacanthus
ENSLOCP00000009843	ENSLOCG00000008105	Lepisosteus_oculatus
ENSORLP00000021440	ENSORLG00000017136	Oryzias_latipes_ASM223467v1
ENSCMIP00000018946	ENSCMIG00000008888	Callorhinchus_milii
ENSLCAP00010051584	ENSLCAG00010024029	Lates_calcarifer
ENSPMAP00000008632	ENSPMAG00000007840	Petromyzon_marinus
ENSPMGP00000024691	ENSPMGG00000019987	Periophthalmus_magnuspinnatus
ENSPMEP00000000301	ENSPMEG00000001072	Poecilia_mexicana
ENSPNAP00000006530	ENSPNAG00000012564	Pygocentrus_nattereri
ENSSDUP00000027363	ENSSDUG00000019778	Seriola_dumerili
ENSHCOP00000015055	ENSHCOG00000018589	Hippocampus_comes
ENSHBUP00000024722	ENSHBUG00000006278	Haplochromis_burtoni
ENSGMOP00000003282	ENSGMOG00000003120	Gadus_morhua
ENSDCDP00000053841	ENSDCDG00000032208	Denticeps_clupeoides	ENSDCDT00000065716
ENSPNYP00000007544	ENSPNYG00000005771	Pundamilia_nyererei
ENSATEP00000025148	ENSATEG00000017414	Anabas_testudineus
ENSGAFP00000003356	ENSGAFG00000002295	Gambusia_affinis
ENSEEEP00000039162	ENSEEEG00000018614	Electrophorus_electricus
ENSECRP00000026537	ENSECRG00000017938	Erpetoichthys_calabaricus
ENSBSLP00000038490	ENSBSLG00000018683	Betta_splendens
ENSXETP00000038345	ENSXETG00000016897	Xenopus_tropicalis	ENSXETT00000027930
ENSAMXP00000039939	ENSAMXG00000044065	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000036167
ENSCVAP00000031737	ENSCVAG00000021201	Cyprinodon_variegatus
ENSGACP00000006914	ENSGACG00000005219	Gasterosteus_aculeatus
ENSPFOP00000028508	ENSPFOG00000022400	Poecilia_formosa
ENSHHUP00000007610	ENSHHUG00000004691	Hucho_hucho
ENSSFOP00015000067	ENSSFOG00015000095	Scleropages_formosus
ENSAMXP00005056001	ENSAMXG00005024898	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000025573	ENSXCOG00000019105	Xiphophorus_couchianus
ENSFHEP00000020867	ENSFHEG00000022846	Fundulus_heteroclitus
ENSLACP00000022364	ENSLACG00000009024	Latimeria_chalumnae	ENSLACT00000026237
ENSCHAP00000010342	ENSCHAG00000005978	Clupea_harengus	ENSCHAT00000011575
ENSPRNP00000025409	ENSPRNG00000012883	Parambassis_ranga
ENSCGOP00000039481	ENSCGOG00000018054	Cottoperca_gobio
ENSNBRP00000017136	ENSNBRG00000013225	Neolamprologus_brichardi
ENSDARP00000058247	ENSDARG00000039824	Danio_rerio
ENSIPUP00000014708	ENSIPUG00000010021	Ictalurus_punctatus
ENSAOCP00000015933	ENSAOCG00000020753	Amphiprion_ocellaris
ENSPLAP00000030180	ENSPLAG00000021037	Poecilia_latipinna
ENSMALP00000010628	ENSMALG00000007579	Monopterus_albus
ENSLBEP00000005556	ENSLBEG00000004264	Labrus_bergylta
ENSPKIP00000001433	ENSPKIG00000019739	Paramormyrops_kingsleyae
ENSXMAP00000004860	ENSXMAG00000004854	Xiphophorus_maculatus
ENSCSEP00000019071	ENSCSEG00000012207	Cynoglossus_semilaevis
ENSSLDP00000004407	ENSSLDG00000003451	Seriola_lalandi_dorsalis
ENSLCRP00005031228	ENSLCRG00005012377	Larimichthys_crocea
ENSORLP00020000118	ENSORLG00020022559	Oryzias_latipes_ASM223471v1
ENSSMAP00000022041	ENSSMAG00000013498	Scophthalmus_maximus
ENSMZEP00005007830	ENSMZEG00005005970	Maylandia_zebra
ENSKMAP00000021084	ENSKMAG00000015671	Kryptolebias_marmoratus
ENSAPEP00000028133	ENSAPEG00000019958	Amphiprion_percula
ENSMAMP00000006405	ENSMAMG00000004371	Mastacembelus_armatus
ENSACIP00000014753	ENSACIG00000011453	Amphilophus_citrinellus
ENSELUP00000021500	ENSELUG00000020553	Esox_lucius
ENSACLP00000016536	ENSACLG00000011273	Astatotilapia_calliptera
ENSTRUP00000045913	ENSTRUG00000017909	Takifugu_rubripes
ENSPREP00000004405	ENSPREG00000003107	Poecilia_reticulata
ENSONIP00000011070	ENSONIG00000008805	Oreochromis_niloticus
