ENSPCOP00000020233	ENSPCOG00000022073	Propithecus_coquereli
ENSCCNP00000026982	ENSCCNG00000026128	Castor_canadensis
ENSPTRP00000070088	ENSPTRG00000013340	Pan_troglodytes
ENSMOCP00000003916	ENSMOCG00000003134	Microtus_ochrogaster
ENSVURP00010021037	ENSVURG00010016096	Vombatus_ursinus
ENSGGOP00000013952	ENSGGOG00000014299	Gorilla_gorilla
ENSCABP00000029380	ENSCABG00000021565	Chelonoidis_abingdonii
ENSBTAP00000062684	ENSBTAG00000001420	Bos_taurus
ENSSHAP00000020594	ENSSHAG00000017466	Sarcophilus_harrisii
ENSJHYP00000013970	ENSJHYG00000010823	Junco_hyemalis
ENSMNEP00000030839	ENSMNEG00000038825	Macaca_nemestrina
ENSSCAP00000020061	ENSSCAG00000014468	Serinus_canaria
ENSTGUP00000003516	ENSTGUG00000003417	Taeniopygia_guttata
ENSTSYP00000009311	ENSTSYG00000010157	Carlito_syrichta
ENSMUSP00000053558	ENSMUSG00000032046	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010012447	ENSUPAG00010010127	Urocitellus_parryii
ENSNMEP00000015528	ENSNMEG00000013752	Numida_meleagris	ENSNMET00000023259
ENSSSCP00000023095	ENSSSCG00000040449	Sus_scrofa_strain_reference
ENSCHOP00000007073	ENSCHOG00000007981	Choloepus_hoffmanni
ENSCPUP00000005383	ENSCPUG00000003948	Calidris_pugnax
ENSGAGP00000001482	ENSGAGG00000001188	Gopherus_agassizii
ENSPANP00000017182	ENSPANG00000001312	Papio_anubis
ENSEEUP00000003779	ENSEEUG00000004158	Erinaceus_europaeus
ENSRBIP00000018639	ENSRBIG00000033301	Rhinopithecus_bieti
ENSOCUP00000026744	ENSOCUG00000002798	Oryctolagus_cuniculus
ENSCATP00000020512	ENSCATG00000033998	Cercocebus_atys
ENSEASP00005004398	ENSEASG00005003318	Equus_asinus_asinus
ENSMFAP00000006064	ENSMFAG00000002681	Macaca_fascicularis
ENSPVIP00000012372	ENSPVIG00000009636	Pogona_vitticeps
ENSPCAP00000013846	ENSPCAG00000014818	Procavia_capensis
ENSRNOP00000010640	ENSRNOG00000036934	Rattus_norvegicus
ENSDNOP00000004699	ENSDNOG00000006066	Dasypus_novemcinctus
ENSP00000365725	ENSG00000100997	Homo_sapiens
