ENSMAMP00000032848	ENSMAMG00000022109	Mastacembelus_armatus
ENSMALP00000008994	ENSMALG00000006409	Monopterus_albus
ENSATEP00000023741	ENSATEG00000016471	Anabas_testudineus
ENSCGOP00000007744	ENSCGOG00000003969	Cottoperca_gobio
ENSGACP00000003111	ENSGACG00000002388	Gasterosteus_aculeatus
ENSAOCP00000012598	ENSAOCG00000017094	Amphiprion_ocellaris
ENSAPEP00000002127	ENSAPEG00000001575	Amphiprion_percula
ENSAPOP00000033001	ENSAPOG00000021276	Acanthochromis_polyacanthus
ENSSPAP00000005086	ENSSPAG00000003947	Stegastes_partitus
ENSPRNP00000035931	ENSPRNG00000017973	Parambassis_ranga
ENSGWIP00000037399	ENSGWIG00000019232	Gouania_willdenowi
ENSPNYP00000028944	ENSPNYG00000021808	Pundamilia_nyererei
ENSMZEP00005023547	ENSMZEG00005017623	Maylandia_zebra
ENSACLP00000030329	ENSACLG00000020540	Astatotilapia_calliptera
ENSHBUP00000035523	ENSHBUG00000023738	Haplochromis_burtoni
ENSONIP00000018258	ENSONIG00000014512	Oreochromis_niloticus
ENSNBRP00000006477	ENSNBRG00000005086	Neolamprologus_brichardi
ENSACIP00000004120	ENSACIG00000003268	Amphilophus_citrinellus
ENSSMAP00000031796	ENSSMAG00000019482	Scophthalmus_maximus	ENSSMAT00000032185
ENSHCOP00000026210	ENSHCOG00000016950	Hippocampus_comes
ENSTRUP00000055070	ENSTRUG00000020718	Takifugu_rubripes
ENSMMOP00000006246	ENSMMOG00000004884	Mola_mola
ENSFHEP00000023203	ENSFHEG00000004053	Fundulus_heteroclitus
ENSGAFP00000014900	ENSGAFG00000010061	Gambusia_affinis
ENSKMAP00000007292	ENSKMAG00000005492	Kryptolebias_marmoratus
ENSORLP00000039759	ENSORLG00000028174	Oryzias_latipes_ASM223467v1
ENSORLP00020022954	ENSORLG00020003505	Oryzias_latipes_ASM223471v1
ENSORLP00015019661	ENSORLG00015020750	Oryzias_latipes_ASM223469v1
ENSOMEP00000030655	ENSOMEG00000015041	Oryzias_melastigma
ENSCSEP00000013468	ENSCSEG00000008677	Cynoglossus_semilaevis	ENSCSET00000013628
ENSLCRP00005053171	ENSLCRG00005019935	Larimichthys_crocea
ENSSDUP00000006211	ENSSDUG00000004585	Seriola_dumerili	ENSSDUT00000006336
ENSSLDP00000014731	ENSSLDG00000011753	Seriola_lalandi_dorsalis
ENSLCAP00010018321	ENSLCAG00010008689	Lates_calcarifer
ENSBSLP00000014489	ENSBSLG00000007608	Betta_splendens
