ENSHBUP00000004555	ENSHBUG00000005858	Haplochromis_burtoni	ENSHBUT00000008514
ENSLCRP00005021293	ENSLCRG00005008655	Larimichthys_crocea	ENSLCRT00005021707
ENSSLDP00000006658	ENSSLDG00000005313	Seriola_lalandi_dorsalis
ENSPNYP00000032118	ENSPNYG00000024246	Pundamilia_nyererei	ENSPNYT00000032888
ENSLCAP00010053990	ENSLCAG00010025138	Lates_calcarifer	ENSLCAT00010055394
ENSMALP00000029979	ENSMALG00000020747	Monopterus_albus	ENSMALT00000030510
ENSATEP00000029386	ENSATEG00000020272	Anabas_testudineus	ENSATET00000029832
ENSOMEP00000019431	ENSOMEG00000021258	Oryzias_melastigma	ENSOMET00000028671
ENSPRNP00000056631	ENSPRNG00000026444	Parambassis_ranga	ENSPRNT00000059671
ENSSPAP00000000600	ENSSPAG00000000464	Stegastes_partitus	ENSSPAT00000000608
ENSGWIP00000033506	ENSGWIG00000017257	Gouania_willdenowi	ENSGWIT00000036480
ENSPMGP00000010625	ENSPMGG00000008808	Periophthalmus_magnuspinnatus	ENSPMGT00000011332
ENSAOCP00000019145	ENSAOCG00000024384	Amphiprion_ocellaris	ENSAOCT00000033447
ENSPMGP00000016022	ENSPMGG00000013147	Periophthalmus_magnuspinnatus	ENSPMGT00000017092
ENSACIP00000022655	ENSACIG00000017640	Amphilophus_citrinellus	ENSACIT00000023257
ENSAPOP00000006960	ENSAPOG00000008830	Acanthochromis_polyacanthus	ENSAPOT00000005774
ENSCGOP00000011614	ENSCGOG00000005763	Cottoperca_gobio	ENSCGOT00000012563
ENSMZEP00005030720	ENSMZEG00005022878	Maylandia_zebra	ENSMZET00005031685
ENSACLP00000032832	ENSACLG00000022264	Astatotilapia_calliptera	ENSACLT00000033605
ENSSMAP00000015524	ENSSMAG00000009519	Scophthalmus_maximus	ENSSMAT00000015719
ENSAPEP00000003327	ENSAPEG00000002406	Amphiprion_percula	ENSAPET00000003404
ENSCGOP00000033436	ENSCGOG00000015504	Cottoperca_gobio	ENSCGOT00000035917
ENSLBEP00000019307	ENSLBEG00000014842	Labrus_bergylta	ENSLBET00000020353
ENSNBRP00000010382	ENSNBRG00000008091	Neolamprologus_brichardi	ENSNBRT00000010674
ENSTRUP00000051865	ENSTRUG00000025530	Takifugu_rubripes	ENSTRUT00000055513
ENSSDUP00000021763	ENSSDUG00000015835	Seriola_dumerili	ENSSDUT00000022163
