ENSATEP00000015905	ENSATEG00000011062	Anabas_testudineus
ENSBSLP00000050962	ENSBSLG00000024203	Betta_splendens	ENSBSLT00000055894
ENSTRUP00000048368	ENSTRUG00000020952	Takifugu_rubripes
ENSTRUP00000055009	ENSTRUG00000020782	Takifugu_rubripes
ENSLCRP00005029410	ENSLCRG00005011664	Larimichthys_crocea
ENSPMGP00000004249	ENSPMGG00000003624	Periophthalmus_magnuspinnatus
ENSORLP00000034793	ENSORLG00000023657	Oryzias_latipes_ASM223467v1
ENSORLP00015004712	ENSORLG00015005495	Oryzias_latipes_ASM223469v1
ENSORLP00020034237	ENSORLG00020020640	Oryzias_latipes_ASM223471v1
ENSOMEP00000015820	ENSOMEG00000017451	Oryzias_melastigma
ENSPLAP00000027363	ENSPLAG00000015905	Poecilia_latipinna
ENSPMEP00000016521	ENSPMEG00000019209	Poecilia_mexicana
ENSPREP00000006721	ENSPREG00000004646	Poecilia_reticulata
ENSXCOP00000009786	ENSXCOG00000007435	Xiphophorus_couchianus
ENSXMAP00000035499	ENSXMAG00000025479	Xiphophorus_maculatus
ENSFHEP00000027972	ENSFHEG00000011745	Fundulus_heteroclitus
ENSACLP00000041070	ENSACLG00000027664	Astatotilapia_calliptera
ENSMZEP00005004792	ENSMZEG00005003709	Maylandia_zebra
ENSHBUP00000031992	ENSHBUG00000018021	Haplochromis_burtoni
ENSPNYP00000019531	ENSPNYG00000014758	Pundamilia_nyererei
ENSNBRP00000020932	ENSNBRG00000016072	Neolamprologus_brichardi
ENSCGOP00000018676	ENSCGOG00000008958	Cottoperca_gobio
ENSMMOP00000009260	ENSMMOG00000007083	Mola_mola
ENSLCAP00010021893	ENSLCAG00010010311	Lates_calcarifer	ENSLCAT00010022365
ENSSDUP00000012505	ENSSDUG00000009103	Seriola_dumerili
ENSSLDP00000002978	ENSSLDG00000002374	Seriola_lalandi_dorsalis
ENSMAMP00000009882	ENSMAMG00000006661	Mastacembelus_armatus	ENSMAMT00000010136
ENSCSEP00000023609	ENSCSEG00000015062	Cynoglossus_semilaevis
ENSGWIP00000023588	ENSGWIG00000012584	Gouania_willdenowi
ENSMALP00000019386	ENSMALG00000013535	Monopterus_albus
