ENSCCNP00000020716	ENSCCNG00000020627	Castor_canadensis	ENSCCNT00000026732
ENSTBEP00000009017	ENSTBEG00000010423	Tupaia_belangeri	ENSTBET00000010429
ENSEEUP00000014363	ENSEEUG00000015728	Erinaceus_europaeus	ENSEEUT00000015733
ENSOPRP00000008758	ENSOPRG00000009565	Ochotona_princeps	ENSOPRT00000009581
ENSSARP00000000006	ENSSARG00000000006	Sorex_araneus	ENSSART00000000006
ENSPANP00000031561	ENSPANG00000031173	Papio_anubis	ENSPANT00000055676
ENSCATP00000038163	ENSCATG00000041773	Cercocebus_atys	ENSCATT00000062466
ENSPPAP00000013950	ENSPPAG00000030098	Pan_paniscus	ENSPPAT00000036625
ENSPTRP00000082973	ENSPTRG00000015359	Pan_troglodytes	ENSPTRT00000100173
ENSCJAP00000032293	ENSCJAG00000017521	Callithrix_jacchus	ENSCJAT00000034134
ENSETEP00000004945	ENSETEG00000006093	Echinops_telfairi	ENSETET00000006094
