ENSMGAP00000019160	ENSMGAG00000004423	Meleagris_gallopavo
ENSCJPP00005014947	ENSCJPG00005011924	Coturnix_japonica
ENSGALP00000057710	ENSGALG00000007659	Gallus_gallus
ENSNMEP00000002724	ENSNMEG00000003366	Numida_meleagris
ENSAPLP00000005679	ENSAPLG00000006043	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000020728	ENSCCEG00000018825	Cyanistes_caeruleus
ENSPMJP00000009411	ENSPMJG00000007531	Parus_major
ENSFALP00000010293	ENSFALG00000009869	Ficedula_albicollis
ENSZALP00000014715	ENSZALG00000012182	Zonotrichia_albicollis
ENSJHYP00000011272	ENSJHYG00000008833	Junco_hyemalis
ENSSCAP00000023989	ENSSCAG00000017171	Serinus_canaria
ENSLSDP00000010374	ENSLSDG00000007646	Lonchura_striata_domestica
ENSTGUP00000000047	ENSTGUG00000000039	Taeniopygia_guttata
ENSLCOP00000005070	ENSLCOG00000003807	Lepidothrix_coronata
ENSMVIP00005000610	ENSMVIG00005000516	Manacus_vitellinus
ENSMUNP00000012528	ENSMUNG00000009828	Melopsittacus_undulatus
ENSCPGP00000003538	ENSCPGG00000002611	Calidris_pygmaea
ENSCPUP00000026669	ENSCPUG00000017943	Calidris_pugnax
ENSARWP00000003631	ENSARWG00000002582	Apteryx_rowi
ENSAHAP00000007404	ENSAHAG00000004626	Apteryx_haastii
ENSAOWP00000014857	ENSAOWG00000010142	Apteryx_owenii
ENSDNVP00000005179	ENSDNVG00000003714	Dromaius_novaehollandiae
ENSNPEP00000004281	ENSNPEG00000003274	Nothoprocta_perdicaria
ENSCPRP00005009548	ENSCPRG00005006785	Crocodylus_porosus
ENSGAGP00000000519	ENSGAGG00000000437	Gopherus_agassizii
ENSCABP00000014299	ENSCABG00000010507	Chelonoidis_abingdonii
ENSCPBP00000005503	ENSCPBG00000004398	Chrysemys_picta_bellii
ENSSPUP00000005484	ENSSPUG00000004220	Sphenodon_punctatus
ENSACAP00000013983	ENSACAG00000014089	Anolis_carolinensis
ENSPVIP00000012272	ENSPVIG00000009569	Pogona_vitticeps
ENSNSUP00000008377	ENSNSUG00000005319	Notechis_scutatus
ENSSMRP00000028245	ENSSMRG00000021719	Salvator_merianae
ENSSBOP00000018298	ENSSBOG00000025611	Saimiri_boliviensis_boliviensis
ENSCCAP00000017093	ENSCCAG00000026008	Cebus_capucinus_imitator
ENSCJAP00000051860	ENSCJAG00000013761	Callithrix_jacchus
ENSANAP00000023984	ENSANAG00000029705	Aotus_nancymaae
ENSPTRP00000007480	ENSPTRG00000004364	Pan_troglodytes
ENSPPAP00000002224	ENSPPAG00000007806	Pan_paniscus
ENSP00000480150	ENSG00000149428	Homo_sapiens
ENSGGOP00000007855	ENSGGOG00000008022	Gorilla_gorilla
ENSPPYP00000004526	ENSPPYG00000003951	Pongo_abelii
ENSNLEP00000039021	ENSNLEG00000007381	Nomascus_leucogenys
ENSPTEP00000016678	ENSPTEG00000018245	Piliocolobus_tephrosceles
ENSCANP00000014965	ENSCANG00000030723	Colobus_angolensis_palliatus
ENSRBIP00000034589	ENSRBIG00000040830	Rhinopithecus_bieti
ENSRROP00000023976	ENSRROG00000035771	Rhinopithecus_roxellana
ENSMFAP00000004113	ENSMFAG00000001531	Macaca_fascicularis
ENSMMUP00000036656	ENSMMUG00000030891	Macaca_mulatta
ENSMNEP00000046206	ENSMNEG00000045561	Macaca_nemestrina
ENSTGEP00000030943	ENSTGEG00000024729	Theropithecus_gelada
ENSPANP00000006741	ENSPANG00000012741	Papio_anubis
