MGP_SPRETEiJ_P0049212	MGP_SPRETEiJ_G0023356	Mus_spretus_strain_SPRET/EiJ
ENSPTEP00000029189	ENSPTEG00000028649	Piliocolobus_tephrosceles
ENSPNYP00000007212	ENSPNYG00000005426	Pundamilia_nyererei
ENSTGUP00000006798	ENSTGUG00000006549	Taeniopygia_guttata
ENSHGLP00000003191	ENSHGLG00000002372	Heterocephalus_glaber_HetGla_female_1.0
ENSANAP00000027676	ENSANAG00000031685	Aotus_nancymaae
ENSNPEP00000004816	ENSNPEG00000003672	Nothoprocta_perdicaria
ENSHCOP00000003373	ENSHCOG00000004727	Hippocampus_comes
ENSLCRP00005030666	ENSLCRG00005005204	Larimichthys_crocea
ENSETEP00000001890	ENSETEG00000002327	Echinops_telfairi
ENSJHYP00000019085	ENSJHYG00000014522	Junco_hyemalis
ENSPLAP00000010849	ENSPLAG00000013911	Poecilia_latipinna
ENSSPAP00000004008	ENSSPAG00000003031	Stegastes_partitus
ENSCPRP00005006507	ENSCPRG00005004634	Crocodylus_porosus
ENSPREP00000022197	ENSPREG00000014949	Poecilia_reticulata
ENSRNOP00000072701	ENSRNOG00000032039	Rattus_norvegicus
ENSSMRP00000005436	ENSSMRG00000004423	Salvator_merianae
ENSAPLP00000025162	ENSAPLG00000013079	Anas_platyrhynchos_platyrhynchos
ENSSDAP00000016270	ENSSDAG00000014630	Spermophilus_dauricus
ENSELUP00000031757	ENSELUG00000009471	Esox_lucius
ENSMNEP00000008583	ENSMNEG00000028672	Macaca_nemestrina
ENSHBUP00000032098	ENSHBUG00000018385	Haplochromis_burtoni
ENSMPUP00000016544	ENSMPUG00000016647	Mustela_putorius_furo
ENSPTIP00000010700	ENSPTIG00000011375	Panthera_tigris_altaica
ENSOCUP00000033141	ENSOCUG00000007132	Oryctolagus_cuniculus
ENSPMEP00000020482	ENSPMEG00000023622	Poecilia_mexicana
ENSSSCP00000005231	ENSSSCG00000004857	Sus_scrofa_strain_reference
ENSPPAP00000022222	ENSPPAG00000034175	Pan_paniscus
ENSPCAP00000005910	ENSPCAG00000006255	Procavia_capensis
ENSECRP00000029871	ENSECRG00000020120	Erpetoichthys_calabaricus
ENSMALP00000021812	ENSMALG00000015239	Monopterus_albus
ENSACIP00000025100	ENSACIG00000019426	Amphilophus_citrinellus
ENSMFAP00000022225	ENSMFAG00000035856	Macaca_fascicularis
ENSGMOP00000014362	ENSGMOG00000013418	Gadus_morhua
ENSFHEP00000014974	ENSFHEG00000016652	Fundulus_heteroclitus
ENSLOCP00000009547	ENSLOCG00000007857	Lepisosteus_oculatus
ENSSDUP00000014653	ENSSDUG00000010623	Seriola_dumerili
ENSBSLP00000019147	ENSBSLG00000007034	Betta_splendens
ENSCPUP00000007580	ENSCPUG00000005475	Calidris_pugnax
ENSNLEP00000010076	ENSNLEG00000008230	Nomascus_leucogenys
ENSGWIP00000041611	ENSGWIG00000018456	Gouania_willdenowi
ENSAPEP00000025458	ENSAPEG00000018052	Amphiprion_percula
ENSLCOP00000016046	ENSLCOG00000011398	Lepidothrix_coronata
ENSVPAP00000001906	ENSVPAG00000002064	Vicugna_pacos
ENSTGEP00000009106	ENSTGEG00000007518	Theropithecus_gelada
ENSXCOP00000025156	ENSXCOG00000018792	Xiphophorus_couchianus
ENSCHIP00000019073	ENSCHIG00000018159	Capra_hircus
ENSMUNP00000011027	ENSMUNG00000008656	Melopsittacus_undulatus
ENSSCAP00000000555	ENSSCAG00000000469	Serinus_canaria
ENSAOWP00000027928	ENSAOWG00000018812	Apteryx_owenii
ENSMMMP00000021620	ENSMMMG00000018994	Marmota_marmota_marmota
ENSGAFP00000021675	ENSGAFG00000014581	Gambusia_affinis
ENSPKIP00000007870	ENSPKIG00000023591	Paramormyrops_kingsleyae
ENSNVIP00000014269	ENSNVIG00000011196	Neovison_vison
ENSACAP00000018892	ENSACAG00000026154	Anolis_carolinensis
ENSFALP00000013918	ENSFALG00000013338	Ficedula_albicollis
ENSMGAP00000001836	ENSMGAG00000002250	Meleagris_gallopavo
ENSDORP00000002407	ENSDORG00000002559	Dipodomys_ordii
ENSLAFP00000010573	ENSLAFG00000012641	Loxodonta_africana
ENSHHUP00000032215	ENSHHUG00000019689	Hucho_hucho
ENSGAGP00000007386	ENSGAGG00000000721	Gopherus_agassizii
ENSMZEP00005035055	ENSMZEG00005026213	Maylandia_zebra
MGP_CAROLIEiJ_P0047256	MGP_CAROLIEiJ_G0022441	Mus_caroli_strain_CAROLI_EIJ
ENSLACP00000005335	ENSLACG00000004744	Latimeria_chalumnae
ENSAHAP00000019001	ENSAHAG00000013468	Apteryx_haastii
ENSKMAP00000019500	ENSKMAG00000014505	Kryptolebias_marmoratus
