ENSODEP00000016803	ENSODEG00000012378	Octodon_degus
ENSJJAP00000010510	ENSJJAG00000014100	Jaculus_jaculus
ENSDORP00000002164	ENSDORG00000002303	Dipodomys_ordii
ENSNMEP00000010945	ENSNMEG00000010326	Numida_meleagris
ENSCJPP00005012607	ENSCJPG00005010721	Coturnix_japonica
ENSNPEP00000009011	ENSNPEG00000006765	Nothoprocta_perdicaria
ENSABRP00000023390	ENSABRG00000019676	Anser_brachyrhynchus
ENSAPLP00000005320	ENSAPLG00000005761	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000023134	ENSAHAG00000016133	Apteryx_haastii
ENSAOWP00000026604	ENSAOWG00000017933	Apteryx_owenii
ENSARWP00000017950	ENSARWG00000012293	Apteryx_rowi
ENSDNVP00000020000	ENSDNVG00000013991	Dromaius_novaehollandiae
ENSCPGP00000013287	ENSCPGG00000009425	Calidris_pygmaea
ENSCPUP00000012090	ENSCPUG00000008542	Calidris_pugnax
ENSPMJP00000017573	ENSPMJG00000013217	Parus_major
ENSCCEP00000014215	ENSCCEG00000013514	Cyanistes_caeruleus
ENSFALP00000009842	ENSFALG00000009441	Ficedula_albicollis
ENSSCAP00000000057	ENSSCAG00000000048	Serinus_canaria
ENSTGUP00000015374	ENSTGUG00000015026	Taeniopygia_guttata
ENSJHYP00000004686	ENSJHYG00000003875	Junco_hyemalis
ENSLCOP00000002161	ENSLCOG00000001677	Lepidothrix_coronata
ENSMUNP00000002373	ENSMUNG00000002106	Melopsittacus_undulatus
ENSGALP00000071529	ENSGALG00000039346	Gallus_gallus
ENSPCIP00000011120	ENSPCIG00000008973	Phascolarctos_cinereus
ENSVURP00010003263	ENSVURG00010002627	Vombatus_ursinus
ENSMEUP00000011716	ENSMEUG00000012842	Notamacropus_eugenii
ENSSHAP00000013603	ENSSHAG00000011627	Sarcophilus_harrisii
ENSMODP00000041696	ENSMODG00000011119	Monodelphis_domestica
ENSPVIP00000033849	ENSPVIG00000024733	Pogona_vitticeps
ENSACAP00000001623	ENSACAG00000001682	Anolis_carolinensis
ENSNSUP00000015153	ENSNSUG00000011077	Notechis_scutatus
ENSSMRP00000010335	ENSSMRG00000008192	Salvator_merianae
