ENSABRP00000016349	ENSABRG00000014351	Anser_brachyrhynchus
ENSAPLP00000002259	ENSAPLG00000002798	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005009637	ENSCJPG00005008445	Coturnix_japonica
ENSGALP00000044977	ENSGALG00000030705	Gallus_gallus
ENSMGAP00000008159	ENSMGAG00000007985	Meleagris_gallopavo
ENSNMEP00000008142	ENSNMEG00000008006	Numida_meleagris
ENSTGUP00000016375	ENSTGUG00000016055	Taeniopygia_guttata
ENSTGUP00000004084	ENSTGUG00000003963	Taeniopygia_guttata
ENSLSDP00000022348	ENSLSDG00000015800	Lonchura_striata_domestica
ENSSCAP00000004947	ENSSCAG00000003994	Serinus_canaria
ENSJHYP00000018658	ENSJHYG00000014193	Junco_hyemalis
ENSZALP00000007952	ENSZALG00000007003	Zonotrichia_albicollis
ENSFALP00000010102	ENSFALG00000009683	Ficedula_albicollis
ENSCCEP00000019352	ENSCCEG00000017566	Cyanistes_caeruleus
ENSPMJP00000012530	ENSPMJG00000009637	Parus_major
ENSMVIP00005007525	ENSMVIG00005005629	Manacus_vitellinus
ENSLCOP00000019959	ENSLCOG00000014142	Lepidothrix_coronata
ENSCPGP00000003842	ENSCPGG00000002850	Calidris_pygmaea
ENSCPUP00000018861	ENSCPUG00000012957	Calidris_pugnax
ENSMUNP00000022496	ENSMUNG00000016901	Melopsittacus_undulatus
ENSDNVP00000022003	ENSDNVG00000015339	Dromaius_novaehollandiae
ENSNPEP00000016891	ENSNPEG00000012572	Nothoprocta_perdicaria
ENSAOWP00000012721	ENSAOWG00000008696	Apteryx_owenii
ENSAHAP00000014584	ENSAHAG00000010510	Apteryx_haastii
ENSARWP00000008679	ENSARWG00000006084	Apteryx_rowi
ENSCPRP00005016144	ENSCPRG00005011268	Crocodylus_porosus
ENSGAGP00000018587	ENSGAGG00000013755	Gopherus_agassizii
ENSCABP00000018999	ENSCABG00000014037	Chelonoidis_abingdonii
ENSCPBP00000030226	ENSCPBG00000021278	Chrysemys_picta_bellii
ENSPSIP00000016950	ENSPSIG00000015017	Pelodiscus_sinensis
ENSACAP00000002224	ENSACAG00000002304	Anolis_carolinensis
ENSPVIP00000003508	ENSPVIG00000002952	Pogona_vitticeps
ENSNSUP00000014349	ENSNSUG00000010621	Notechis_scutatus
ENSSMRP00000014018	ENSSMRG00000010907	Salvator_merianae
ENSSPUP00000001476	ENSSPUG00000001147	Sphenodon_punctatus
ENSVURP00010001371	ENSVURG00010001133	Vombatus_ursinus
ENSPCIP00000048213	ENSPCIG00000034313	Phascolarctos_cinereus
ENSMEUP00000013505	ENSMEUG00000014790	Notamacropus_eugenii
ENSSHAP00000010113	ENSSHAG00000008744	Sarcophilus_harrisii
ENSMODP00000006797	ENSMODG00000005497	Monodelphis_domestica
ENSPCOP00000016546	ENSPCOG00000020044	Propithecus_coquereli
ENSPCOP00000008482	ENSPCOG00000015512	Propithecus_coquereli
ENSMICP00000030818	ENSMICG00000030662	Microcebus_murinus
ENSPSMP00000025452	ENSPSMG00000017839	Prolemur_simus
ENSTSYP00000031711	ENSTSYG00000027275	Carlito_syrichta
ENSCCNP00000008986	ENSCCNG00000009492	Castor_canadensis
ENSDORP00000012300	ENSDORG00000013086	Dipodomys_ordii
MGP_CAROLIEiJ_P0039401	MGP_CAROLIEiJ_G0020150	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0041215	MGP_SPRETEiJ_G0021047	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000080403	ENSMUSG00000015363	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0042752	MGP_PahariEiJ_G0020155	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039102	ENSRNOG00000029095	Rattus_norvegicus
ENSMUGP00000017939	ENSMUGG00000015217	Meriones_unguiculatus
ENSPEMP00000024988	ENSPEMG00000021540	Peromyscus_maniculatus_bairdii
