ENSVURP00010029860	ENSVURG00010022819	Vombatus_ursinus	ENSVURT00010033990
ENSPCIP00000018839	ENSPCIG00000014406	Phascolarctos_cinereus	ENSPCIT00000023269
ENSSHAP00000000370	ENSSHAG00000000326	Sarcophilus_harrisii	ENSSHAT00000000375
ENSMODP00000046434	ENSMODG00000024345	Monodelphis_domestica	ENSMODT00000065105
ENSMODP00000033903	ENSMODG00000001073	Monodelphis_domestica	ENSMODT00000035488
ENSVURP00010029857	ENSVURG00010022816	Vombatus_ursinus	ENSVURT00010033987
ENSPCIP00000000872	ENSPCIG00000000700	Phascolarctos_cinereus	ENSPCIT00000001107
ENSPCIP00000000934	ENSPCIG00000000731	Phascolarctos_cinereus	ENSPCIT00000001187
ENSMODP00000048449	ENSMODG00000043337	Monodelphis_domestica	ENSMODT00000080870
ENSFDAP00000003446	ENSFDAG00000012892	Fukomys_damarensis	ENSFDAT00000017111
ENSCPOP00000014439	ENSCPOG00000009320	Cavia_porcellus	ENSCPOT00000009405
ENSCCNP00000014125	ENSCCNG00000014632	Castor_canadensis	ENSCCNT00000018525
ENSSDAP00000007669	ENSSDAG00000007019	Spermophilus_dauricus	ENSSDAT00000008734
ENSMMMP00000009084	ENSMMMG00000008120	Marmota_marmota_marmota
ENSUPAP00010012307	ENSUPAG00010009995	Urocitellus_parryii
ENSSTOP00000022029	ENSSTOG00000023077	Ictidomys_tridecemlineatus
ENSCGRP00000015542	ENSCGRG00000011286	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018704	ENSCGRG00001018369	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000018042	ENSPEMG00000016773	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0076322	MGP_SPRETEiJ_G0029284	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000028371	ENSMSIG00000023852	Mus_spicilegus
ENSMUSP00000149928	ENSMUSG00000045479	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073464	MGP_CAROLIEiJ_G0028279	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049580	MGP_PahariEiJ_G0022037	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0049578	MGP_PahariEiJ_G0022036	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065738	ENSRNOG00000050977	Rattus_norvegicus
ENSMUGP00000026644	ENSMUGG00000022210	Meriones_unguiculatus
ENSPTRP00000075529	ENSPTRG00000046926	Pan_troglodytes
ENSPTRP00000088962	ENSPTRG00000019800	Pan_troglodytes
ENSPPAP00000035668	ENSPPAG00000040637	Pan_paniscus
ENSGGOP00000045609	ENSGGOG00000044056	Gorilla_gorilla
ENSGGOP00000050766	ENSGGOG00000042424	Gorilla_gorilla
ENSP00000316518	ENSG00000179468	Homo_sapiens
ENSNLEP00000047787	ENSNLEG00000003012	Nomascus_leucogenys
ENSMFAP00000013371	ENSMFAG00000028806	Macaca_fascicularis
ENSCSAP00000003588	ENSCSAG00000007322	Chlorocebus_sabaeus
ENSRBIP00000008346	ENSRBIG00000028061	Rhinopithecus_bieti
ENSRROP00000013202	ENSRROG00000030870	Rhinopithecus_roxellana
ENSCANP00000033298	ENSCANG00000040322	Colobus_angolensis_palliatus
ENSCCAP00000000321	ENSCCAG00000001758	Cebus_capucinus_imitator
ENSSBOP00000036796	ENSSBOG00000034526	Saimiri_boliviensis_boliviensis
ENSCJAP00000068915	ENSCJAG00000058830	Callithrix_jacchus
ENSANAP00000024503	ENSANAG00000029981	Aotus_nancymaae
ENSUMAP00000016199	ENSUMAG00000011909	Ursus_maritimus
ENSUAMP00000005953	ENSUAMG00000005265	Ursus_americanus
ENSUMAP00000016193	ENSUMAG00000011907	Ursus_maritimus
ENSAMEP00000020561	ENSAMEG00000019506	Ailuropoda_melanoleuca
ENSMPUP00000019368	ENSMPUG00000019496	Mustela_putorius_furo
ENSMPUP00000008318	ENSMPUG00000008381	Mustela_putorius_furo
ENSNVIP00000024884	ENSNVIG00000019286	Neovison_vison
ENSCAFP00020026448	ENSCAFG00020020779	Canis_lupus_dingo
ENSCAFP00000051120	ENSCAFG00000045667	Canis_lupus_familiaris
ENSVVUP00000038661	ENSVVUG00000027565	Vulpes_vulpes
ENSFCAP00000054195	ENSFCAG00000046292	Felis_catus
ENSFCAP00000044167	ENSFCAG00000045621	Felis_catus
ENSECAP00000005535	ENSECAG00000007550	Equus_caballus
ENSECAP00000035269	ENSECAG00000033670	Equus_caballus
ENSCHIP00000032914	ENSCHIG00000026693	Capra_hircus
ENSCHIP00000022505	ENSCHIG00000020443	Capra_hircus
ENSCHIP00000015418	ENSCHIG00000016077	Capra_hircus
ENSBTAP00000067694	ENSBTAG00000048380	Bos_taurus
ENSBIXP00000020250	ENSBIXG00000023597	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000020247	ENSBIXG00000004683	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005004325	ENSBIXG00005010277	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061641	ENSBTAG00000053286	Bos_taurus
ENSBMUP00000004701	ENSBMUG00000003700	Bos_mutus
ENSBTAP00000017976	ENSBTAG00000049510	Bos_taurus
ENSBIXP00000039664	ENSBIXG00000023596	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000004683	ENSBMUG00000003684	Bos_mutus
ENSBIXP00005030207	ENSBIXG00005010271	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000006564	ENSBBBG00000000907	Bison_bison_bison
ENSCHIP00000013018	ENSCHIG00000014584	Capra_hircus
ENSMLUP00000016410	ENSMLUG00000027735	Myotis_lucifugus
ENSLAFP00000020732	ENSLAFG00000029734	Loxodonta_africana
ENSLAFP00000027509	ENSLAFG00000031369	Loxodonta_africana
ENSETEP00000002960	ENSETEG00000003608	Echinops_telfairi
ENSDNOP00000032550	ENSDNOG00000036679	Dasypus_novemcinctus
