ENSPTRP00000066502	ENSPTRG00000044578	Pan_troglodytes	ENSPTRT00000092644
ENSPPAP00000007681	ENSPPAG00000027003	Pan_paniscus	ENSPPAT00000030229
ENSP00000335437	ENSG00000132010	Homo_sapiens
ENSGGOP00000032105	ENSGGOG00000039001	Gorilla_gorilla
ENSPPYP00000010754	ENSPPYG00000009592	Pongo_abelii
ENSNLEP00000035232	ENSNLEG00000033064	Nomascus_leucogenys
ENSRROP00000043836	ENSRROG00000044931	Rhinopithecus_roxellana
ENSRBIP00000037443	ENSRBIG00000042307	Rhinopithecus_bieti
ENSPTEP00000004438	ENSPTEG00000005187	Piliocolobus_tephrosceles
ENSCANP00000000608	ENSCANG00000002391	Colobus_angolensis_palliatus
ENSMLEP00000029710	ENSMLEG00000039064	Mandrillus_leucophaeus
ENSCATP00000015875	ENSCATG00000031888	Cercocebus_atys
ENSPANP00000005259	ENSPANG00000003165	Papio_anubis
ENSTGEP00000034534	ENSTGEG00000027540	Theropithecus_gelada
ENSMFAP00000004331	ENSMFAG00000001870	Macaca_fascicularis
ENSMNEP00000035249	ENSMNEG00000040795	Macaca_nemestrina
ENSCSAP00000002965	ENSCSAG00000006681	Chlorocebus_sabaeus
ENSCCAP00000000012	ENSCCAG00000000011	Cebus_capucinus_imitator
ENSSBOP00000030326	ENSSBOG00000031445	Saimiri_boliviensis_boliviensis
ENSANAP00000031760	ENSANAG00000033614	Aotus_nancymaae
