ENSMGAP00000005255	ENSMGAG00000005344	Meleagris_gallopavo
ENSCJPP00005001861	ENSCJPG00005001916	Coturnix_japonica
ENSGALP00000044401	ENSGALG00000042661	Gallus_gallus
ENSNMEP00000014354	ENSNMEG00000012918	Numida_meleagris
ENSABRP00000003282	ENSABRG00000003103	Anser_brachyrhynchus
ENSLCOP00000013431	ENSLCOG00000009693	Lepidothrix_coronata
ENSCPUP00000012243	ENSCPUG00000008668	Calidris_pugnax
ENSMUNP00000000282	ENSMUNG00000000295	Melopsittacus_undulatus
ENSARWP00000017320	ENSARWG00000011914	Apteryx_rowi
ENSAOWP00000024932	ENSAOWG00000016877	Apteryx_owenii
ENSAHAP00000012190	ENSAHAG00000008796	Apteryx_haastii
ENSDNVP00000003461	ENSDNVG00000002445	Dromaius_novaehollandiae
ENSCPRP00005019122	ENSCPRG00005013377	Crocodylus_porosus
ENSGAGP00000034603	ENSGAGG00000024595	Gopherus_agassizii
ENSCABP00000029048	ENSCABG00000021322	Chelonoidis_abingdonii
ENSCPBP00000019765	ENSCPBG00000014238	Chrysemys_picta_bellii
ENSPSIP00000013741	ENSPSIG00000012341	Pelodiscus_sinensis
ENSPVIP00000033342	ENSPVIG00000024378	Pogona_vitticeps
ENSACAP00000004607	ENSACAG00000004718	Anolis_carolinensis
ENSNSUP00000000361	ENSNSUG00000000372	Notechis_scutatus
ENSSMRP00000024048	ENSSMRG00000018660	Salvator_merianae
ENSVURP00010032651	ENSVURG00010024900	Vombatus_ursinus
ENSPCIP00000025100	ENSPCIG00000018878	Phascolarctos_cinereus
ENSMEUP00000008292	ENSMEUG00000009083	Notamacropus_eugenii
ENSMODP00000046445	ENSMODG00000004453	Monodelphis_domestica
ENSPSMP00000036469	ENSPSMG00000025080	Prolemur_simus
ENSPCOP00000012067	ENSPCOG00000017574	Propithecus_coquereli
ENSMICP00000049655	ENSMICG00000043858	Microcebus_murinus
ENSOGAP00000018135	ENSOGAG00000030761	Otolemur_garnettii
ENSPTRP00000065578	ENSPTRG00000010673	Pan_troglodytes
ENSPPAP00000026301	ENSPPAG00000036251	Pan_paniscus
ENSP00000324810	ENSG00000141971	Homo_sapiens
ENSGGOP00000026798	ENSGGOG00000027234	Gorilla_gorilla
ENSPPYP00000010885	ENSPPYG00000009713	Pongo_abelii
ENSNLEP00000006998	ENSNLEG00000005771	Nomascus_leucogenys
ENSMLEP00000024491	ENSMLEG00000036382	Mandrillus_leucophaeus
ENSCATP00000011686	ENSCATG00000030035	Cercocebus_atys
ENSCSAP00000001909	ENSCSAG00000005599	Chlorocebus_sabaeus
ENSMFAP00000033530	ENSMFAG00000003263	Macaca_fascicularis
ENSMNEP00000036657	ENSMNEG00000041427	Macaca_nemestrina
ENSMMUP00000057060	ENSMMUG00000005830	Macaca_mulatta
ENSTGEP00000015585	ENSTGEG00000012586	Theropithecus_gelada
ENSPANP00000033893	ENSPANG00000032663	Papio_anubis
ENSCANP00000037547	ENSCANG00000042435	Colobus_angolensis_palliatus
ENSRROP00000015269	ENSRROG00000031814	Rhinopithecus_roxellana
ENSRBIP00000037469	ENSRBIG00000042313	Rhinopithecus_bieti
ENSSBOP00000027260	ENSSBOG00000030053	Saimiri_boliviensis_boliviensis
ENSCCAP00000011472	ENSCCAG00000023490	Cebus_capucinus_imitator
ENSCJAP00000053911	ENSCJAG00000013764	Callithrix_jacchus
ENSANAP00000033783	ENSANAG00000034548	Aotus_nancymaae
ENSTBEP00000011960	ENSTBEG00000013794	Tupaia_belangeri
ENSMSIP00000036820	ENSMSIG00000030646	Mus_spicilegus
ENSMUSP00000034272	ENSMUSG00000031813	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0088421	MGP_SPRETEiJ_G0032310	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0084921	MGP_CAROLIEiJ_G0031191	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047788	MGP_PahariEiJ_G0021656	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024413	ENSRNOG00000017949	Rattus_norvegicus
ENSMUGP00000017327	ENSMUGG00000014747	Meriones_unguiculatus
ENSPEMP00000010070	ENSPEMG00000011177	Peromyscus_maniculatus_bairdii
ENSMOCP00000024379	ENSMOCG00000020827	Microtus_ochrogaster
ENSCGRP00000020446	ENSCGRG00000014874	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013678	ENSCGRG00001014747	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005898	ENSCGRG00015004587	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022874	ENSMAUG00000020177	Mesocricetus_auratus
ENSNGAP00000025527	ENSNGAG00000023447	Nannospalax_galili
ENSJJAP00000017521	ENSJJAG00000019047	Jaculus_jaculus
ENSCCNP00000021254	ENSCCNG00000021095	Castor_canadensis
ENSDORP00000003063	ENSDORG00000003275	Dipodomys_ordii
ENSUPAP00010024494	ENSUPAG00010019420	Urocitellus_parryii
ENSSTOP00000003078	ENSSTOG00000003448	Ictidomys_tridecemlineatus
ENSMMMP00000026934	ENSMMMG00000023564	Marmota_marmota_marmota
ENSSDAP00000009800	ENSSDAG00000008912	Spermophilus_dauricus
ENSODEP00000002166	ENSODEG00000001694	Octodon_degus
ENSCLAP00000011243	ENSCLAG00000007762	Chinchilla_lanigera
ENSCAPP00000003307	ENSCAPG00000006116	Cavia_aperea
ENSCPOP00000004052	ENSCPOG00000004492	Cavia_porcellus
ENSHGLP00100021051	ENSHGLG00100015511	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006796	ENSHGLG00000004960	Heterocephalus_glaber_HetGla_female_1.0
ENSOPRP00000005821	ENSOPRG00000006351	Ochotona_princeps
ENSCAFP00020012955	ENSCAFG00020010435	Canis_lupus_dingo
ENSVVUP00000021912	ENSVVUG00000016101	Vulpes_vulpes
ENSFCAP00000052047	ENSFCAG00000027607	Felis_catus
ENSSARP00000012345	ENSSARG00000013672	Sorex_araneus
ENSTSYP00000020911	ENSTSYG00000031286	Carlito_syrichta
ENSCHIP00000013983	ENSCHIG00000015199	Capra_hircus
ENSOARP00000017932	ENSOARG00000016695	Ovis_aries
ENSBIXP00000023661	ENSBIXG00000026084	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034276	ENSBIXG00005015169	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000033255	ENSBMUG00000024828	Bos_mutus
ENSBTAP00000005111	ENSBTAG00000003914	Bos_taurus
ENSBBBP00000018583	ENSBBBG00000011586	Bison_bison_bison
ENSTTRP00000002334	ENSTTRG00000002491	Tursiops_truncatus
ENSSSCP00000045741	ENSSSCG00000036568	Sus_scrofa_strain_reference
ENSECAP00000008131	ENSECAG00000010140	Equus_caballus
ENSEASP00005003847	ENSEASG00005002931	Equus_asinus_asinus
ENSMLUP00000006454	ENSMLUG00000007066	Myotis_lucifugus
ENSPVAP00000007438	ENSPVAG00000007880	Pteropus_vampyrus
ENSUAMP00000001672	ENSUAMG00000001586	Ursus_americanus
ENSUMAP00000016024	ENSUMAG00000011781	Ursus_maritimus
