ENSPTEP00000018907	ENSPTEG00000020306	Piliocolobus_tephrosceles	ENSPTET00000027676
ENSPTEP00000010044	ENSPTEG00000011399	Piliocolobus_tephrosceles	ENSPTET00000015257
ENSCPRP00005009037	ENSCPRG00005006437	Crocodylus_porosus	ENSCPRT00005010633
ENSPMAP00000004741	ENSPMAG00000004291	Petromyzon_marinus	ENSPMAT00000004760
ENSEBUP00000027034	ENSEBUG00000016617	Eptatretus_burgeri	ENSEBUT00000027610
ENSLACP00000015021	ENSLACG00000013219	Latimeria_chalumnae	ENSLACT00000015126
ENSXETP00000014051	ENSXETG00000000773	Xenopus_tropicalis	ENSXETT00000001672
ENSGMOP00000001729	ENSGMOG00000001629	Gadus_morhua
ENSPMGP00000024410	ENSPMGG00000019746	Periophthalmus_magnuspinnatus
ENSHHUP00000072694	ENSHHUG00000042643	Hucho_hucho
ENSHHUP00000082815	ENSHHUG00000048074	Hucho_hucho
ENSELUP00000016961	ENSELUG00000016750	Esox_lucius
ENSDCDP00000038655	ENSDCDG00000025870	Denticeps_clupeoides
ENSCHAP00000020470	ENSCHAG00000010188	Clupea_harengus
ENSAMXP00000030653	ENSAMXG00000020513	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005034955	ENSAMXG00005016473	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036957	ENSPNAG00000028257	Pygocentrus_nattereri
ENSIPUP00000031575	ENSIPUG00000021211	Ictalurus_punctatus
ENSEEEP00000029672	ENSEEEG00000014207	Electrophorus_electricus
ENSPFOP00000010222	ENSPFOG00000010129	Poecilia_formosa
ENSPMEP00000016165	ENSPMEG00000018883	Poecilia_mexicana
ENSPLAP00000016335	ENSPLAG00000020502	Poecilia_latipinna
ENSPREP00000024249	ENSPREG00000016380	Poecilia_reticulata
ENSXMAP00000017444	ENSXMAG00000017391	Xiphophorus_maculatus
ENSGAFP00000019495	ENSGAFG00000013157	Gambusia_affinis
ENSFHEP00000014876	ENSFHEG00000016530	Fundulus_heteroclitus
ENSCVAP00000020706	ENSCVAG00000002256	Cyprinodon_variegatus
ENSKMAP00000000468	ENSKMAG00000000346	Kryptolebias_marmoratus
ENSORLP00000001726	ENSORLG00000001390	Oryzias_latipes_ASM223467v1
ENSORLP00015017419	ENSORLG00015000512	Oryzias_latipes_ASM223469v1
ENSORLP00020010253	ENSORLG00020011175	Oryzias_latipes_ASM223471v1
ENSOMEP00000009075	ENSOMEG00000010279	Oryzias_melastigma
ENSACLP00000026891	ENSACLG00000018278	Astatotilapia_calliptera
ENSMZEP00005023744	ENSMZEG00005017760	Maylandia_zebra
ENSPNYP00000011492	ENSPNYG00000008705	Pundamilia_nyererei
ENSHBUP00000001453	ENSHBUG00000002647	Haplochromis_burtoni
ENSONIP00000005898	ENSONIG00000004684	Oreochromis_niloticus
ENSNBRP00000002564	ENSNBRG00000001985	Neolamprologus_brichardi
ENSACIP00000004960	ENSACIG00000003809	Amphilophus_citrinellus
ENSAOCP00000003863	ENSAOCG00000007237	Amphiprion_ocellaris
ENSAPEP00000016576	ENSAPEG00000011808	Amphiprion_percula
ENSAPOP00000004046	ENSAPOG00000005608	Acanthochromis_polyacanthus
ENSSPAP00000008255	ENSSPAG00000006278	Stegastes_partitus
ENSSPAP00000029788	ENSSPAG00000022396	Stegastes_partitus
ENSLBEP00000016178	ENSLBEG00000012538	Labrus_bergylta
ENSLCRP00005001460	ENSLCRG00005000714	Larimichthys_crocea
ENSPRNP00000018556	ENSPRNG00000008007	Parambassis_ranga
ENSLCAP00010027911	ENSLCAG00010012866	Lates_calcarifer
ENSSMAP00000025276	ENSSMAG00000015456	Scophthalmus_maximus
