ENSCPUP00000002063	ENSCPUG00000001580	Calidris_pugnax
ENSCPGP00000016593	ENSCPGG00000011657	Calidris_pygmaea
ENSGALP00000046844	ENSGALG00000021688	Gallus_gallus
ENSMGAP00000007745	ENSMGAG00000007613	Meleagris_gallopavo
ENSCJPP00005006573	ENSCJPG00005006139	Coturnix_japonica
ENSNMEP00000007864	ENSNMEG00000007794	Numida_meleagris
ENSAPLP00000000331	ENSAPLG00000000921	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006326	ENSABRG00000005848	Anser_brachyrhynchus
ENSMUNP00000005018	ENSMUNG00000004167	Melopsittacus_undulatus
ENSLCOP00000001683	ENSLCOG00000001348	Lepidothrix_coronata
ENSMVIP00005010849	ENSMVIG00005007977	Manacus_vitellinus
ENSLSDP00000020591	ENSLSDG00000014577	Lonchura_striata_domestica
ENSTGUP00000000098	ENSTGUG00000000098	Taeniopygia_guttata
ENSJHYP00000018816	ENSJHYG00000014306	Junco_hyemalis
ENSPMJP00000005194	ENSPMJG00000004478	Parus_major
ENSCPRP00005018614	ENSCPRG00005013031	Crocodylus_porosus
ENSGAGP00000022056	ENSGAGG00000016183	Gopherus_agassizii
ENSCPBP00000023946	ENSCPBG00000017070	Chrysemys_picta_bellii
