ENSEBUP00000018912	ENSEBUG00000011790	Eptatretus_burgeri	ENSEBUT00000019486
ENSPMAP00000007123	ENSPMAG00000006469	Petromyzon_marinus	ENSPMAT00000007153
ENSGAGP00000035336	ENSGAGG00000025122	Gopherus_agassizii
ENSCABP00000011177	ENSCABG00000008232	Chelonoidis_abingdonii
ENSCPBP00000011500	ENSCPBG00000008763	Chrysemys_picta_bellii
ENSPSIP00000011239	ENSPSIG00000010153	Pelodiscus_sinensis
ENSPMJP00000003346	ENSPMJG00000002944	Parus_major
ENSCCEP00000012824	ENSCCEG00000012325	Cyanistes_caeruleus
ENSTGUP00000004913	ENSTGUG00000004774	Taeniopygia_guttata
ENSLSDP00000016476	ENSLSDG00000011869	Lonchura_striata_domestica
ENSSCAP00000016429	ENSSCAG00000012016	Serinus_canaria
ENSJHYP00000011585	ENSJHYG00000009035	Junco_hyemalis
ENSLCOP00000004166	ENSLCOG00000003055	Lepidothrix_coronata
ENSCPGP00000019028	ENSCPGG00000013194	Calidris_pygmaea
ENSCPUP00000017247	ENSCPUG00000011620	Calidris_pugnax
ENSGALP00000055125	ENSGALG00000042220	Gallus_gallus
ENSMGAP00000006796	ENSMGAG00000006750	Meleagris_gallopavo
ENSNMEP00000007066	ENSNMEG00000007158	Numida_meleagris
ENSCJPP00005018787	ENSCJPG00005015259	Coturnix_japonica
ENSAPLP00000014255	ENSAPLG00000014429	Anas_platyrhynchos_platyrhynchos
ENSABRP00000009470	ENSABRG00000008460	Anser_brachyrhynchus
ENSAHAP00000012634	ENSAHAG00000009105	Apteryx_haastii
ENSAOWP00000004959	ENSAOWG00000003424	Apteryx_owenii
ENSARWP00000018642	ENSARWG00000012816	Apteryx_rowi
ENSDNVP00000012994	ENSDNVG00000009197	Dromaius_novaehollandiae
ENSNPEP00000003389	ENSNPEG00000002571	Nothoprocta_perdicaria
ENSCPRP00005006821	ENSCPRG00005004862	Crocodylus_porosus
ENSSPUP00000003957	ENSSPUG00000003052	Sphenodon_punctatus
ENSPVIP00000027767	ENSPVIG00000020615	Pogona_vitticeps
ENSACAP00000005822	ENSACAG00000005905	Anolis_carolinensis
ENSNSUP00000005627	ENSNSUG00000004237	Notechis_scutatus
ENSSMRP00000027527	ENSSMRG00000021226	Salvator_merianae
ENSVURP00010000151	ENSVURG00010000146	Vombatus_ursinus
ENSVURP00010019314	ENSVURG00010014734	Vombatus_ursinus
ENSPCIP00000009486	ENSPCIG00000007751	Phascolarctos_cinereus
ENSMEUP00000011885	ENSMEUG00000013039	Notamacropus_eugenii
ENSMODP00000048373	ENSMODG00000045279	Monodelphis_domestica
ENSCCNP00000012251	ENSCCNG00000012709	Castor_canadensis
ENSDORP00000006909	ENSDORG00000007367	Dipodomys_ordii
MGP_SPRETEiJ_P0061510	MGP_SPRETEiJ_G0026282	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000015855	ENSMUSG00000015711	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000005885	ENSMSIG00000005284	Mus_spicilegus
