ENSGAFP00000006941	ENSGAFG00000004710	Gambusia_affinis
ENSKMAP00000023246	ENSKMAG00000017222	Kryptolebias_marmoratus
ENSHGLP00100011892	ENSHGLG00100008833	Heterocephalus_glaber_HetGla_1.0
ENSLOCP00000004003	ENSLOCG00000003383	Lepisosteus_oculatus
ENSCCAP00000022801	ENSCCAG00000029197	Cebus_capucinus_imitator
ENSAOWP00000017884	ENSAOWG00000012216	Apteryx_owenii
ENSP00000332791	ENSG00000174010	Homo_sapiens
ENSHBUP00000010205	ENSHBUG00000000322	Haplochromis_burtoni
ENSGGOP00000023813	ENSGGOG00000028200	Gorilla_gorilla
ENSHHUP00000044946	ENSHHUG00000027466	Hucho_hucho
ENSECAP00000054869	ENSECAG00000015946	Equus_caballus
ENSANAP00000021054	ENSANAG00000028322	Aotus_nancymaae
ENSCAFP00000061464	ENSCAFG00000013398	Canis_lupus_familiaris
ENSXCOP00000021126	ENSXCOG00000015800	Xiphophorus_couchianus
ENSLBEP00000021688	ENSLBEG00000016636	Labrus_bergylta
ENSSFOP00015021059	ENSSFOG00015013554	Scleropages_formosus
ENSPPAP00000035379	ENSPPAG00000040506	Pan_paniscus
ENSDORP00000026862	ENSDORG00000028113	Dipodomys_ordii
ENSMOCP00000004932	ENSMOCG00000004308	Microtus_ochrogaster
ENSOMEP00000017787	ENSOMEG00000019521	Oryzias_melastigma
ENSAPOP00000000345	ENSAPOG00000001546	Acanthochromis_polyacanthus
ENSSPAP00000022991	ENSSPAG00000017346	Stegastes_partitus
ENSCAPP00000010552	ENSCAPG00000011812	Cavia_aperea
ENSAOCP00000014055	ENSAOCG00000018689	Amphiprion_ocellaris
ENSTGEP00000028512	ENSTGEG00000022958	Theropithecus_gelada
ENSPPRP00000025816	ENSPPRG00000016181	Panthera_pardus
ENSCAFP00020006647	ENSCAFG00020005384	Canis_lupus_dingo
ENSMUNP00000004910	ENSMUNG00000004086	Melopsittacus_undulatus
ENSPVAP00000002394	ENSPVAG00000002532	Pteropus_vampyrus
ENSCGRP00000004733	ENSCGRG00000003476	Cricetulus_griseus_CriGri_1.0
ENSSHAP00000002398	ENSSHAG00000002126	Sarcophilus_harrisii
ENSTRUP00000008776	ENSTRUG00000003735	Takifugu_rubripes
ENSCPRP00005005426	ENSCPRG00005003907	Crocodylus_porosus
ENSPVIP00000031501	ENSPVIG00000023157	Pogona_vitticeps
ENSSHAP00000008920	ENSSHAG00000007725	Sarcophilus_harrisii
MGP_PahariEiJ_P0089752	MGP_PahariEiJ_G0031776	Mus_pahari_strain_PAHARI_EIJ
ENSJHYP00000012390	ENSJHYG00000009673	Junco_hyemalis
ENSJJAP00000024600	ENSJJAG00000024014	Jaculus_jaculus
ENSACLP00000021987	ENSACLG00000014951	Astatotilapia_calliptera
ENSTSYP00000026782	ENSTSYG00000028487	Carlito_syrichta
ENSTGUP00000007488	ENSTGUG00000007276	Taeniopygia_guttata	ENSTGUT00000007565
ENSCPOP00000033145	ENSCPOG00000040332	Cavia_porcellus
ENSNGAP00000013073	ENSNGAG00000014767	Nannospalax_galili
ENSMVIP00005020032	ENSMVIG00005014176	Manacus_vitellinus	ENSMVIT00005022607
MGP_SPRETEiJ_P0095894	MGP_SPRETEiJ_G0034402	Mus_spretus_strain_SPRET/EiJ
ENSOANP00000014544	ENSOANG00000009137	Ornithorhynchus_anatinus
ENSAMXP00005022250	ENSAMXG00005011454	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMGAP00000015520	ENSMGAG00000014650	Meleagris_gallopavo
ENSOPRP00000008665	ENSOPRG00000009490	Ochotona_princeps
ENSMNEP00000001387	ENSMNEG00000006144	Macaca_nemestrina
ENSSFOP00015026348	ENSSFOG00015016949	Scleropages_formosus
ENSBMUP00000029477	ENSBMUG00000022056	Bos_mutus
ENSPKIP00000010511	ENSPKIG00000025208	Paramormyrops_kingsleyae
ENSUAMP00000027418	ENSUAMG00000021216	Ursus_americanus
ENSOGAP00000017342	ENSOGAG00000026827	Otolemur_garnettii
ENSVPAP00000009934	ENSVPAG00000010671	Vicugna_pacos
ENSSHAP00000000678	ENSSHAG00000000607	Sarcophilus_harrisii
