ENSDCDP00000046771	ENSDCDG00000029211	Denticeps_clupeoides
ENSCHAP00000043210	ENSCHAG00000020104	Clupea_harengus
ENSEEEP00000049373	ENSEEEG00000023195	Electrophorus_electricus
ENSIPUP00000012262	ENSIPUG00000008311	Ictalurus_punctatus
ENSAMXP00005032320	ENSAMXG00005015729	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019301	ENSAMXG00000018743	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000019301
ENSPNAP00000014600	ENSPNAG00000020523	Pygocentrus_nattereri
ENSDARP00000091159	ENSDARG00000069133	Danio_rerio
ENSFHEP00000009529	ENSFHEG00000010777	Fundulus_heteroclitus
ENSCVAP00000025472	ENSCVAG00000010279	Cyprinodon_variegatus
ENSPLAP00000000969	ENSPLAG00000001898	Poecilia_latipinna
ENSPFOP00000023954	ENSPFOG00000021946	Poecilia_formosa
ENSPFOP00000012179	ENSPFOG00000012130	Poecilia_formosa
ENSPMEP00000019484	ENSPMEG00000022498	Poecilia_mexicana
ENSPREP00000001448	ENSPREG00000001076	Poecilia_reticulata
ENSXCOP00000020449	ENSXCOG00000015318	Xiphophorus_couchianus
ENSGAFP00000015821	ENSGAFG00000010698	Gambusia_affinis
ENSKMAP00000001816	ENSKMAG00000001431	Kryptolebias_marmoratus
ENSGWIP00000031451	ENSGWIG00000016260	Gouania_willdenowi
ENSTRUP00000032796	ENSTRUG00000012935	Takifugu_rubripes
ENSTNIP00000018789	ENSTNIG00000015714	Tetraodon_nigroviridis
ENSMMOP00000025487	ENSMMOG00000019349	Mola_mola
ENSORLP00015005440	ENSORLG00015006235	Oryzias_latipes_ASM223469v1
ENSORLP00000029074	ENSORLG00000015057	Oryzias_latipes_ASM223467v1
ENSORLP00020004083	ENSORLG00020004866	Oryzias_latipes_ASM223471v1
ENSOMEP00000020129	ENSOMEG00000021961	Oryzias_melastigma
ENSCGOP00000049174	ENSCGOG00000021916	Cottoperca_gobio
ENSGACP00000003445	ENSGACG00000002630	Gasterosteus_aculeatus
ENSLBEP00000037711	ENSLBEG00000028147	Labrus_bergylta
ENSLCRP00005044817	ENSLCRG00005017160	Larimichthys_crocea
ENSSDUP00000010200	ENSSDUG00000007459	Seriola_dumerili
ENSSLDP00000019528	ENSSLDG00000015315	Seriola_lalandi_dorsalis
ENSLCAP00010049089	ENSLCAG00010022821	Lates_calcarifer
ENSSMAP00000026584	ENSSMAG00000016251	Scophthalmus_maximus
ENSMAMP00000015815	ENSMAMG00000010725	Mastacembelus_armatus
ENSMALP00000004923	ENSMALG00000003517	Monopterus_albus
ENSATEP00000012840	ENSATEG00000008968	Anabas_testudineus
ENSBSLP00000020810	ENSBSLG00000010624	Betta_splendens
ENSAOCP00000018668	ENSAOCG00000023845	Amphiprion_ocellaris
ENSAPEP00000005595	ENSAPEG00000004012	Amphiprion_percula
ENSAPOP00000029545	ENSAPOG00000015483	Acanthochromis_polyacanthus
ENSSPAP00000000697	ENSSPAG00000000535	Stegastes_partitus
ENSPRNP00000043855	ENSPRNG00000021384	Parambassis_ranga
ENSMZEP00005019267	ENSMZEG00005014466	Maylandia_zebra
ENSACLP00000004093	ENSACLG00000002763	Astatotilapia_calliptera
ENSPNYP00000016163	ENSPNYG00000012235	Pundamilia_nyererei
ENSHBUP00000020297	ENSHBUG00000022560	Haplochromis_burtoni
ENSNBRP00000024812	ENSNBRG00000018976	Neolamprologus_brichardi
ENSONIP00000009034	ENSONIG00000007163	Oreochromis_niloticus
ENSACIP00000006416	ENSACIG00000005038	Amphilophus_citrinellus
ENSCSEP00000025685	ENSCSEG00000016396	Cynoglossus_semilaevis
ENSHCOP00000005765	ENSHCOG00000009683	Hippocampus_comes
ENSPMGP00000014975	ENSPMGG00000012272	Periophthalmus_magnuspinnatus
ENSGMOP00000013522	ENSGMOG00000012639	Gadus_morhua
ENSHHUP00000055426	ENSHHUG00000033085	Hucho_hucho
ENSHHUP00000088125	ENSHHUG00000050891	Hucho_hucho
ENSELUP00000013615	ENSELUG00000013706	Esox_lucius
ENSPKIP00000027340	ENSPKIG00000009447	Paramormyrops_kingsleyae
ENSPKIP00000036269	ENSPKIG00000014903	Paramormyrops_kingsleyae	ENSPKIT00000017213
ENSSFOP00015026377	ENSSFOG00015016951	Scleropages_formosus
ENSSFOP00015012001	ENSSFOG00015007755	Scleropages_formosus	ENSSFOT00015012156
ENSLOCP00000010736	ENSLOCG00000008826	Lepisosteus_oculatus
ENSECRP00000009035	ENSECRG00000006069	Erpetoichthys_calabaricus
ENSEBUP00000007582	ENSEBUG00000004950	Eptatretus_burgeri
