ENSPNAP00000034662	ENSPNAG00000007065	Pygocentrus_nattereri
ENSLOCP00000021626	ENSLOCG00000017521	Lepisosteus_oculatus
ENSCSEP00000019023	ENSCSEG00000012181	Cynoglossus_semilaevis
ENSFHEP00000002685	ENSFHEG00000003485	Fundulus_heteroclitus
ENSIPUP00000032583	ENSIPUG00000021906	Ictalurus_punctatus
ENSAMXP00000026705	ENSAMXG00000026000	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTRUP00000039844	ENSTRUG00000015586	Takifugu_rubripes
ENSPREP00000031493	ENSPREG00000021330	Poecilia_reticulata
ENSSPAP00000025072	ENSSPAG00000018958	Stegastes_partitus
ENSPMEP00000005493	ENSPMEG00000006871	Poecilia_mexicana
ENSDARP00000112845	ENSDARG00000094696	Danio_rerio	ENSDART00000145920
