ENSCABP00000005473	ENSCABG00000004120	Chelonoidis_abingdonii
ENSGAGP00000034473	ENSGAGG00000024504	Gopherus_agassizii
ENSCPBP00000006042	ENSCPBG00000004822	Chrysemys_picta_bellii
ENSSPUP00000022499	ENSSPUG00000017284	Sphenodon_punctatus
ENSACAP00000021612	ENSACAG00000023148	Anolis_carolinensis
ENSNSUP00000004904	ENSNSUG00000003935	Notechis_scutatus
ENSSMRP00000018872	ENSSMRG00000014699	Salvator_merianae
ENSNMEP00000005747	ENSNMEG00000005939	Numida_meleagris
ENSCJPP00005007359	ENSCJPG00005006790	Coturnix_japonica
ENSAPLP00000031457	ENSAPLG00000029891	Anas_platyrhynchos_platyrhynchos
ENSJHYP00000002116	ENSJHYG00000001802	Junco_hyemalis
ENSLSDP00000016859	ENSLSDG00000012117	Lonchura_striata_domestica
ENSPMJP00000006862	ENSPMJG00000005715	Parus_major
ENSLCOP00000002692	ENSLCOG00000002069	Lepidothrix_coronata
ENSCPGP00000002833	ENSCPGG00000002102	Calidris_pygmaea
ENSMUNP00000006170	ENSMUNG00000004982	Melopsittacus_undulatus
MGP_SPRETEiJ_P0062833	MGP_SPRETEiJ_G0026569	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000029587	ENSMUSG00000027967	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033730	ENSMSIG00000028179	Mus_spicilegus
MGP_CAROLIEiJ_P0060431	MGP_CAROLIEiJ_G0025616	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0071355	MGP_PahariEiJ_G0027063	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014570	ENSRNOG00000010972	Rattus_norvegicus
ENSMUGP00000010434	ENSMUGG00000009207	Meriones_unguiculatus
ENSPEMP00000031717	ENSPEMG00000027945	Peromyscus_maniculatus_bairdii
ENSMOCP00000001521	ENSMOCG00000001166	Microtus_ochrogaster
ENSCGRP00001003492	ENSCGRG00001004256	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005506	ENSCGRG00015004316	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004069	ENSMAUG00000004901	Mesocricetus_auratus
ENSNGAP00000009775	ENSNGAG00000012374	Nannospalax_galili
ENSJJAP00000000768	ENSJJAG00000000627	Jaculus_jaculus
ENSDORP00000025978	ENSDORG00000026770	Dipodomys_ordii
ENSCLAP00000009241	ENSCLAG00000006433	Chinchilla_lanigera
ENSODEP00000026485	ENSODEG00000019918	Octodon_degus
ENSMICP00000023753	ENSMICG00000029773	Microcebus_murinus
ENSPSMP00000037038	ENSPSMG00000025476	Prolemur_simus
ENSPTRP00000084422	ENSPTRG00000047838	Pan_troglodytes
ENSP00000317333	ENSG00000178403	Homo_sapiens
ENSGGOP00000050048	ENSGGOG00000038276	Gorilla_gorilla
ENSPPYP00000016761	ENSPPYG00000015008	Pongo_abelii
ENSNLEP00000038466	ENSNLEG00000031074	Nomascus_leucogenys
ENSMMUP00000018500	ENSMMUG00000014078	Macaca_mulatta
ENSMFAP00000012808	ENSMFAG00000026432	Macaca_fascicularis
ENSMNEP00000001523	ENSMNEG00000006870	Macaca_nemestrina
ENSPANP00000000449	ENSPANG00000004407	Papio_anubis
ENSCATP00000003079	ENSCATG00000012534	Cercocebus_atys
ENSTGEP00000004430	ENSTGEG00000003727	Theropithecus_gelada
