ENSAHAP00000008307	ENSAHAG00000006154	Apteryx_haastii	ENSAHAT00000009241
ENSARWP00000020070	ENSARWG00000013749	Apteryx_rowi	ENSARWT00000022785
ENSAOWP00000011734	ENSAOWG00000008058	Apteryx_owenii	ENSAOWT00000013355
ENSDNVP00000002515	ENSDNVG00000001811	Dromaius_novaehollandiae
ENSNPEP00000014524	ENSNPEG00000010873	Nothoprocta_perdicaria
ENSCCEP00000010397	ENSCCEG00000010347	Cyanistes_caeruleus
ENSPMJP00000026984	ENSPMJG00000019670	Parus_major
ENSFALP00000006455	ENSFALG00000006187	Ficedula_albicollis
ENSTGUP00000006733	ENSTGUG00000006557	Taeniopygia_guttata
ENSLSDP00000013054	ENSLSDG00000009509	Lonchura_striata_domestica
ENSSCAP00000012396	ENSSCAG00000009265	Serinus_canaria
ENSJHYP00000007598	ENSJHYG00000006057	Junco_hyemalis
ENSZALP00000017930	ENSZALG00000014432	Zonotrichia_albicollis
ENSMVIP00005018831	ENSMVIG00005013341	Manacus_vitellinus
ENSLCOP00000011034	ENSLCOG00000008008	Lepidothrix_coronata
ENSMUNP00000018241	ENSMUNG00000013958	Melopsittacus_undulatus
ENSCPUP00000029716	ENSCPUG00000019906	Calidris_pugnax
ENSAPLP00000009927	ENSAPLG00000010207	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000024907	ENSAPLG00000019501	Anas_platyrhynchos_platyrhynchos
ENSABRP00000018743	ENSABRG00000016120	Anser_brachyrhynchus
ENSGALP00000006767	ENSGALG00000004262	Gallus_gallus
ENSMGAP00000006082	ENSMGAG00000006099	Meleagris_gallopavo
ENSNMEP00000019329	ENSNMEG00000016689	Numida_meleagris
ENSCPRP00005020225	ENSCPRG00005014080	Crocodylus_porosus
ENSGAGP00000015278	ENSGAGG00000011526	Gopherus_agassizii
ENSCABP00000013327	ENSCABG00000009996	Chelonoidis_abingdonii
ENSCPBP00000028407	ENSCPBG00000020067	Chrysemys_picta_bellii
ENSPSIP00000006953	ENSPSIG00000006413	Pelodiscus_sinensis
ENSACAP00000011313	ENSACAG00000011555	Anolis_carolinensis
ENSPVIP00000024631	ENSPVIG00000018542	Pogona_vitticeps
ENSNSUP00000022335	ENSNSUG00000016228	Notechis_scutatus
ENSSMRP00000010279	ENSSMRG00000008159	Salvator_merianae
ENSSPUP00000005800	ENSSPUG00000004478	Sphenodon_punctatus
ENSSPUP00000009830	ENSSPUG00000007613	Sphenodon_punctatus
ENSVURP00010011995	ENSVURG00010009269	Vombatus_ursinus
ENSPCIP00000051447	ENSPCIG00000003741	Phascolarctos_cinereus
ENSMEUP00000013365	ENSMEUG00000014644	Notamacropus_eugenii
ENSMODP00000012411	ENSMODG00000009919	Monodelphis_domestica
ENSLAFP00000007381	ENSLAFG00000008787	Loxodonta_africana
ENSPCAP00000006287	ENSPCAG00000006736	Procavia_capensis
ENSETEP00000003161	ENSETEG00000003852	Echinops_telfairi
ENSBTAP00000003375	ENSBTAG00000002609	Bos_taurus
ENSBIXP00000001008	ENSBIXG00000029099	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000011925	ENSBMUG00000009157	Bos_mutus
ENSBBBP00000025241	ENSBBBG00000000634	Bison_bison_bison
ENSCHIP00000020114	ENSCHIG00000018887	Capra_hircus
ENSTTRP00000015490	ENSTTRG00000016343	Tursiops_truncatus
ENSSSCP00000065899	ENSSSCG00000017798	Sus_scrofa_strain_reference
ENSVPAP00000003311	ENSVPAG00000003572	Vicugna_pacos
ENSEEUP00000011033	ENSEEUG00000012109	Erinaceus_europaeus
ENSSARP00000006856	ENSSARG00000007583	Sorex_araneus
ENSMLUP00000002323	ENSMLUG00000002557	Myotis_lucifugus
ENSOCUP00000003164	ENSOCUG00000003649	Oryctolagus_cuniculus
ENSOPRP00000007270	ENSOPRG00000007945	Ochotona_princeps
ENSPTRP00000015296	ENSPTRG00000008960	Pan_troglodytes
ENSPPAP00000000361	ENSPPAG00000001123	Pan_paniscus
ENSP00000332404	ENSG00000182271	Homo_sapiens
ENSGGOP00000008427	ENSGGOG00000008620	Gorilla_gorilla
ENSPPYP00000009143	ENSPPYG00000008133	Pongo_abelii
ENSNLEP00000004455	ENSNLEG00000003694	Nomascus_leucogenys
ENSPTEP00000035932	ENSPTEG00000033851	Piliocolobus_tephrosceles
ENSCANP00000016307	ENSCANG00000031597	Colobus_angolensis_palliatus
ENSRROP00000002032	ENSRROG00000008265	Rhinopithecus_roxellana
ENSRBIP00000002142	ENSRBIG00000010757	Rhinopithecus_bieti
ENSMNEP00000035257	ENSMNEG00000040796	Macaca_nemestrina
ENSMMUP00000069465	ENSMMUG00000056200	Macaca_mulatta
ENSMFAP00000030601	ENSMFAG00000042486	Macaca_fascicularis
ENSTGEP00000014392	ENSTGEG00000011685	Theropithecus_gelada
ENSPANP00000019946	ENSPANG00000023154	Papio_anubis
ENSCATP00000031967	ENSCATG00000039086	Cercocebus_atys
ENSMLEP00000038140	ENSMLEG00000043140	Mandrillus_leucophaeus
ENSCSAP00000003092	ENSCSAG00000006805	Chlorocebus_sabaeus
ENSCCAP00000037122	ENSCCAG00000036448	Cebus_capucinus_imitator
ENSSBOP00000007427	ENSSBOG00000020667	Saimiri_boliviensis_boliviensis
ENSCJAP00000025444	ENSCJAG00000013832	Callithrix_jacchus
ENSANAP00000030815	ENSANAG00000033151	Aotus_nancymaae
ENSTSYP00000010755	ENSTSYG00000011738	Carlito_syrichta
ENSMICP00000019091	ENSMICG00000028000	Microcebus_murinus
ENSPSMP00000026056	ENSPSMG00000018277	Prolemur_simus
ENSPCOP00000017926	ENSPCOG00000020818	Propithecus_coquereli
ENSTBEP00000005326	ENSTBEG00000006198	Tupaia_belangeri
ENSMSIP00000030330	ENSMSIG00000025382	Mus_spicilegus
MGP_SPRETEiJ_P0029772	MGP_SPRETEiJ_G0017609	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099553	ENSMUSG00000020839	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0028377	MGP_CAROLIEiJ_G0016766	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035119	MGP_PahariEiJ_G0017903	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005129	ENSRNOG00000003865	Rattus_norvegicus
ENSMUGP00000031974	ENSMUGG00000026586	Meriones_unguiculatus
ENSCGRP00015023070	ENSCGRG00015017519	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015705	ENSCGRG00001016242	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000028800	ENSPEMG00000024232	Peromyscus_maniculatus_bairdii
ENSNGAP00000021317	ENSNGAG00000020532	Nannospalax_galili
ENSHGLP00000016068	ENSHGLG00000011492	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024801	ENSHGLG00100018215	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001404	ENSFDAG00000011385	Fukomys_damarensis
ENSCAPP00000011067	ENSCAPG00000012197	Cavia_aperea
ENSCPOP00000004543	ENSCPOG00000005049	Cavia_porcellus
ENSODEP00000012931	ENSODEG00000009572	Octodon_degus
ENSCLAP00000007140	ENSCLAG00000005023	Chinchilla_lanigera
ENSCCNP00000008128	ENSCCNG00000008656	Castor_canadensis
ENSDORP00000006157	ENSDORG00000006574	Dipodomys_ordii
ENSUPAP00010023702	ENSUPAG00010018786	Urocitellus_parryii
ENSSDAP00000000066	ENSSDAG00000000088	Spermophilus_dauricus
ENSSTOP00000003789	ENSSTOG00000004227	Ictidomys_tridecemlineatus
ENSMMMP00000002917	ENSMMMG00000002644	Marmota_marmota_marmota
ENSAMEP00000004138	ENSAMEG00000003930	Ailuropoda_melanoleuca
ENSUMAP00000014242	ENSUMAG00000010487	Ursus_maritimus
ENSMPUP00000013742	ENSMPUG00000013845	Mustela_putorius_furo
ENSNVIP00000007178	ENSNVIG00000005661	Neovison_vison
ENSCAFP00000028057	ENSCAFG00000019009	Canis_lupus_familiaris
ENSCAFP00020013952	ENSCAFG00020011282	Canis_lupus_dingo
ENSVVUP00000029164	ENSVVUG00000021306	Vulpes_vulpes
ENSPTIP00000016062	ENSPTIG00000014964	Panthera_tigris_altaica
ENSPPRP00000005761	ENSPPRG00000001411	Panthera_pardus
ENSFCAP00000003744	ENSFCAG00000004055	Felis_catus
ENSPVAP00000002156	ENSPVAG00000002280	Pteropus_vampyrus
ENSEASP00005013894	ENSEASG00005009685	Equus_asinus_asinus
ENSECAP00000017695	ENSECAG00000020217	Equus_caballus
ENSDNOP00000000819	ENSDNOG00000001077	Dasypus_novemcinctus
ENSCHOP00000004640	ENSCHOG00000005239	Choloepus_hoffmanni
ENSOANP00000020028	ENSOANG00000012663	Ornithorhynchus_anatinus
ENSXETP00000050274	ENSXETG00000017476	Xenopus_tropicalis
ENSSFOP00015007317	ENSSFOG00015004823	Scleropages_formosus
ENSPKIP00000032491	ENSPKIG00000012576	Paramormyrops_kingsleyae
