ENSFALP00000004033	ENSFALG00000003871	Ficedula_albicollis	ENSFALT00000004051
ENSCCEP00000013039	ENSCCEG00000012535	Cyanistes_caeruleus	ENSCCET00000020293
ENSGAGP00000026876	ENSGAGG00000019570	Gopherus_agassizii
ENSMSIP00000013511	ENSMSIG00000011687	Mus_spicilegus
ENSMSIP00000027558	ENSMSIG00000023244	Mus_spicilegus
ENSMAUP00000015888	ENSMAUG00000015225	Mesocricetus_auratus
ENSPEMP00000013667	ENSPEMG00000013679	Peromyscus_maniculatus_bairdii
ENSCAPP00000003918	ENSCAPG00000006581	Cavia_aperea
ENSMFAP00000036821	ENSMFAG00000037683	Macaca_fascicularis
ENSSSCP00000071089	ENSSSCG00000030668	Sus_scrofa_strain_reference
ENSCHIP00000030654	ENSCHIG00000025337	Capra_hircus
ENSSARP00000008151	ENSSARG00000009014	Sorex_araneus
ENSETEP00000002229	ENSETEG00000002727	Echinops_telfairi
ENSSDAP00000020134	ENSSDAG00000018346	Spermophilus_dauricus
ENSUMAP00000006005	ENSUMAG00000004747	Ursus_maritimus
ENSNVIP00000030576	ENSNVIG00000023559	Neovison_vison
ENSVVUP00000029641	ENSVVUG00000021675	Vulpes_vulpes
ENSOANP00000017844	ENSOANG00000020668	Ornithorhynchus_anatinus
ENSCMIP00000001726	ENSCMIG00000001083	Callorhinchus_milii
