ENSFDAP00000020212	ENSFDAG00000008611	Fukomys_damarensis
ENSPKIP00000002865	ENSPKIG00000020593	Paramormyrops_kingsleyae
ENSBMUP00000007861	ENSBMUG00000006027	Bos_mutus
ENSSPAP00000003974	ENSSPAG00000003081	Stegastes_partitus
ENSMAUP00000013012	ENSMAUG00000013114	Mesocricetus_auratus
ENSAMXP00000050715	ENSAMXG00000011402	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAFP00020021251	ENSCAFG00020016794	Canis_lupus_dingo
ENSSMRP00000020928	ENSSMRG00000016296	Salvator_merianae
ENSSHAP00000013345	ENSSHAG00000011411	Sarcophilus_harrisii
ENSAHAP00000015383	ENSAHAG00000010778	Apteryx_haastii
ENSRBIP00000027082	ENSRBIG00000037333	Rhinopithecus_bieti
ENSCJAP00000034555	ENSCJAG00000018539	Callithrix_jacchus
ENSPLAP00000029212	ENSPLAG00000019227	Poecilia_latipinna
ENSORLP00000038670	ENSORLG00000009761	Oryzias_latipes_ASM223467v1
ENSGAGP00000015841	ENSGAGG00000011916	Gopherus_agassizii
ENSSMAP00000033068	ENSSMAG00000020262	Scophthalmus_maximus
ENSATEP00000026955	ENSATEG00000018638	Anabas_testudineus
ENSEEEP00000030251	ENSEEEG00000014500	Electrophorus_electricus
ENSMNEP00000007503	ENSMNEG00000028309	Macaca_nemestrina
ENSHGLP00100013033	ENSHGLG00100009648	Heterocephalus_glaber_HetGla_1.0
ENSP00000427123	ENSG00000039560	Homo_sapiens
ENSCATP00000003491	ENSCATG00000012361	Cercocebus_atys
ENSSDAP00000001445	ENSSDAG00000001316	Spermophilus_dauricus
ENSLACP00000009500	ENSLACG00000008379	Latimeria_chalumnae
ENSGACP00000022831	ENSGACG00000017285	Gasterosteus_aculeatus
ENSPMAP00000008521	ENSPMAG00000007752	Petromyzon_marinus
ENSMICP00000005152	ENSMICG00000005641	Microcebus_murinus
ENSSPUP00000024999	ENSSPUG00000019156	Sphenodon_punctatus
ENSHCOP00000002260	ENSHCOG00000003361	Hippocampus_comes
ENSAOCP00000025149	ENSAOCG00000012347	Amphiprion_ocellaris
ENSOPRP00000010865	ENSOPRG00000011896	Ochotona_princeps
ENSGWIP00000035972	ENSGWIG00000018577	Gouania_willdenowi
ENSORLP00020012966	ENSORLG00020013903	Oryzias_latipes_ASM223471v1
ENSTTRP00000003063	ENSTTRG00000003265	Tursiops_truncatus
ENSPSIP00000014266	ENSPSIG00000012710	Pelodiscus_sinensis
ENSOCUP00000007883	ENSOCUG00000009122	Oryctolagus_cuniculus
ENSORLP00015022643	ENSORLG00015002136	Oryzias_latipes_ASM223469v1
ENSCAFP00000027764	ENSCAFG00000018816	Canis_lupus_familiaris
MGP_CAROLIEiJ_P0037879	MGP_CAROLIEiJ_G0019668	Mus_caroli_strain_CAROLI_EIJ
ENSPEMP00000013929	ENSPEMG00000013824	Peromyscus_maniculatus_bairdii
ENSBIXP00005001335	ENSBIXG00005007901	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUNP00000018641	ENSMUNG00000014255	Melopsittacus_undulatus
ENSHGLP00000008822	ENSHGLG00000006343	Heterocephalus_glaber_HetGla_female_1.0
ENSHHUP00000013939	ENSHHUG00000008594	Hucho_hucho
ENSMVIP00005014168	ENSMVIG00005010232	Manacus_vitellinus
ENSCPOP00000008328	ENSCPOG00000009276	Cavia_porcellus
ENSMPUP00000015032	ENSMPUG00000015141	Mustela_putorius_furo
ENSPMEP00000006132	ENSPMEG00000007578	Poecilia_mexicana
ENSCCEP00000010307	ENSCCEG00000010289	Cyanistes_caeruleus
ENSPMJP00000021251	ENSPMJG00000015775	Parus_major
ENSMFAP00000024961	ENSMFAG00000043837	Macaca_fascicularis
ENSECAP00000049258	ENSECAG00000016180	Equus_caballus
ENSPNYP00000015671	ENSPNYG00000011871	Pundamilia_nyererei
ENSAPEP00000011774	ENSAPEG00000008414	Amphiprion_percula
ENSOMEP00000000730	ENSOMEG00000001617	Oryzias_melastigma
ENSLOCP00000015142	ENSLOCG00000012300	Lepisosteus_oculatus
ENSSBOP00000007132	ENSSBOG00000020455	Saimiri_boliviensis_boliviensis
ENSLCOP00000009709	ENSLCOG00000007062	Lepidothrix_coronata
ENSPREP00000014137	ENSPREG00000009607	Poecilia_reticulata
ENSRNOP00000048063	ENSRNOG00000028872	Rattus_norvegicus
ENSAMEP00000003522	ENSAMEG00000003330	Ailuropoda_melanoleuca
ENSCABP00000010147	ENSCABG00000007607	Chelonoidis_abingdonii
ENSSFOP00015030580	ENSSFOG00015019611	Scleropages_formosus
ENSMLUP00000013977	ENSMLUG00000015329	Myotis_lucifugus
ENSAMXP00005007397	ENSAMXG00005004418	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGALP00000005295	ENSGALG00000003353	Gallus_gallus
ENSAPLP00000018268	ENSAPLG00000006444	Anas_platyrhynchos_platyrhynchos
ENSIPUP00000005893	ENSIPUG00000004046	Ictalurus_punctatus
ENSFHEP00000020308	ENSFHEG00000022228	Fundulus_heteroclitus
ENSANAP00000021455	ENSANAG00000028413	Aotus_nancymaae
ENSPANP00000023175	ENSPANG00000012243	Papio_anubis
ENSDCDP00000005234	ENSDCDG00000002573	Denticeps_clupeoides
ENSSCAP00000001433	ENSSCAG00000001204	Serinus_canaria
ENSCPRP00005022478	ENSCPRG00005015668	Crocodylus_porosus
ENSDNOP00000001566	ENSDNOG00000002024	Dasypus_novemcinctus
ENSMALP00000024039	ENSMALG00000016766	Monopterus_albus
ENSPTIP00000007455	ENSPTIG00000008963	Panthera_tigris_altaica
ENSAPOP00000012928	ENSAPOG00000015653	Acanthochromis_polyacanthus
ENSBIXP00000033368	ENSBIXG00000002480	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSODEP00000003086	ENSODEG00000002368	Octodon_degus
ENSPVAP00000015960	ENSPVAG00000016921	Pteropus_vampyrus
ENSPCAP00000015826	ENSPCAG00000016898	Procavia_capensis
ENSCHOP00000001304	ENSCHOG00000001475	Choloepus_hoffmanni
ENSARWP00000018594	ENSARWG00000012785	Apteryx_rowi
ENSETEP00000004696	ENSETEG00000005776	Echinops_telfairi
ENSOANP00000017246	ENSOANG00000010883	Ornithorhynchus_anatinus
ENSCMIP00000016098	ENSCMIG00000007800	Callorhinchus_milii
ENSCVAP00000027865	ENSCVAG00000014540	Cyprinodon_variegatus
ENSELUP00000000517	ENSELUG00000002108	Esox_lucius
ENSTRUP00000019295	ENSTRUG00000007760	Takifugu_rubripes
ENSDARP00000058484	ENSDARG00000039974	Danio_rerio
ENSUMAP00000017584	ENSUMAG00000012910	Ursus_maritimus
ENSMMMP00000003517	ENSMMMG00000003140	Marmota_marmota_marmota
ENSONIP00000004609	ENSONIG00000003664	Oreochromis_niloticus
ENSPPAP00000032709	ENSPPAG00000039153	Pan_paniscus
ENSPRNP00000052702	ENSPRNG00000024892	Parambassis_ranga
