ENSMAMP00000022863	ENSMAMG00000015379	Mastacembelus_armatus
ENSMALP00000002130	ENSMALG00000001596	Monopterus_albus
ENSPFOP00000026044	ENSPFOG00000023847	Poecilia_formosa
ENSPMEP00000033387	ENSPMEG00000021861	Poecilia_mexicana
ENSPLAP00000003400	ENSPLAG00000004862	Poecilia_latipinna
ENSPREP00000004230	ENSPREG00000002998	Poecilia_reticulata
ENSXCOP00000001336	ENSXCOG00000001092	Xiphophorus_couchianus
ENSXMAP00000010447	ENSXMAG00000010430	Xiphophorus_maculatus
ENSGAFP00000006606	ENSGAFG00000004495	Gambusia_affinis
ENSFHEP00000012000	ENSFHEG00000000307	Fundulus_heteroclitus
ENSCVAP00000006668	ENSCVAG00000008253	Cyprinodon_variegatus
ENSMMOP00000000829	ENSMMOG00000000703	Mola_mola
ENSCGOP00000018891	ENSCGOG00000009058	Cottoperca_gobio
ENSLBEP00000007861	ENSLBEG00000006091	Labrus_bergylta
ENSLCRP00005019141	ENSLCRG00005007847	Larimichthys_crocea
ENSNBRP00000023675	ENSNBRG00000018122	Neolamprologus_brichardi
ENSONIP00000003509	ENSONIG00000002798	Oreochromis_niloticus
ENSACLP00000001686	ENSACLG00000001176	Astatotilapia_calliptera
ENSPNYP00000017676	ENSPNYG00000013364	Pundamilia_nyererei
ENSMZEP00005017659	ENSMZEG00005013282	Maylandia_zebra
ENSACIP00000023386	ENSACIG00000018171	Amphilophus_citrinellus
ENSPRNP00000011746	ENSPRNG00000006619	Parambassis_ranga
ENSSLDP00000018212	ENSSLDG00000014338	Seriola_lalandi_dorsalis
ENSSDUP00000018744	ENSSDUG00000013681	Seriola_dumerili
ENSLCAP00010018154	ENSLCAG00010008618	Lates_calcarifer
ENSSMAP00000000863	ENSSMAG00000000540	Scophthalmus_maximus
ENSORLP00015001626	ENSORLG00015002260	Oryzias_latipes_ASM223469v1
ENSORLP00000044683	ENSORLG00000024173	Oryzias_latipes_ASM223467v1
ENSORLP00020032011	ENSORLG00020017343	Oryzias_latipes_ASM223471v1
ENSOMEP00000033425	ENSOMEG00000019419	Oryzias_melastigma
ENSCSEP00000011741	ENSCSEG00000007563	Cynoglossus_semilaevis
ENSTRUP00000053800	ENSTRUG00000024047	Takifugu_rubripes
ENSAPEP00000019662	ENSAPEG00000014027	Amphiprion_percula
ENSAOCP00000021010	ENSAOCG00000005471	Amphiprion_ocellaris
ENSAPOP00000026177	ENSAPOG00000009798	Acanthochromis_polyacanthus
ENSSPAP00000002087	ENSSPAG00000001599	Stegastes_partitus
ENSATEP00000012054	ENSATEG00000008421	Anabas_testudineus
ENSPMGP00000005697	ENSPMGG00000004786	Periophthalmus_magnuspinnatus
ENSHHUP00000033914	ENSHHUG00000021383	Hucho_hucho
ENSHHUP00000006605	ENSHHUG00000004064	Hucho_hucho
ENSELUP00000022916	ENSELUG00000021827	Esox_lucius
