B0464.2a.1	WBGene00007184	Caenorhabditis_elegans_strain_N2	B0464.2a.1
FBpp0071879	FBgn0034829	Drosophila_melanogaster	FBtr0071969
ENSPPAP00000034384	ENSPPAG00000040037	Pan_paniscus
ENSPTRP00000041382	ENSPTRG00000023779	Pan_troglodytes
ENSP00000355013	ENSG00000198730	Homo_sapiens
ENSGGOP00000011158	ENSGGOG00000011435	Gorilla_gorilla
ENSPPYP00000004001	ENSPPYG00000003486	Pongo_abelii
ENSNLEP00000021390	ENSNLEG00000017616	Nomascus_leucogenys
ENSMLEP00000006428	ENSMLEG00000026645	Mandrillus_leucophaeus
ENSCATP00000019106	ENSCATG00000033343	Cercocebus_atys
ENSTGEP00000019570	ENSTGEG00000015758	Theropithecus_gelada
ENSPANP00000003166	ENSPANG00000019132	Papio_anubis
ENSMMUP00000015006	ENSMMUG00000011438	Macaca_mulatta
ENSMFAP00000028298	ENSMFAG00000045504	Macaca_fascicularis
ENSMNEP00000041529	ENSMNEG00000043569	Macaca_nemestrina
ENSCSAP00000000915	ENSCSAG00000004587	Chlorocebus_sabaeus
ENSPTEP00000006951	ENSPTEG00000007943	Piliocolobus_tephrosceles
ENSCANP00000030278	ENSCANG00000038801	Colobus_angolensis_palliatus
ENSRROP00000020471	ENSRROG00000034178	Rhinopithecus_roxellana
ENSRBIP00000042108	ENSRBIG00000044347	Rhinopithecus_bieti
ENSCCAP00000040474	ENSCCAG00000038029	Cebus_capucinus_imitator
ENSSBOP00000033632	ENSSBOG00000032978	Saimiri_boliviensis_boliviensis
ENSCJAP00000020046	ENSCJAG00000010795	Callithrix_jacchus
ENSANAP00000041506	ENSANAG00000038032	Aotus_nancymaae
ENSAMEP00000015349	ENSAMEG00000014570	Ailuropoda_melanoleuca
ENSPCAP00000004346	ENSPCAG00000004586	Procavia_capensis
ENSLAFP00000010710	ENSLAFG00000012801	Loxodonta_africana
ENSHGLP00100011872	ENSHGLG00100008821	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006692	ENSHGLG00000004887	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000056	ENSFDAG00000010422	Fukomys_damarensis
ENSCLAP00000024634	ENSCLAG00000016918	Chinchilla_lanigera	ENSCLAT00000024872
ENSODEP00000009982	ENSODEG00000007462	Octodon_degus	ENSODET00000010129
ENSCPOP00000008099	ENSCPOG00000009018	Cavia_porcellus	ENSCPOT00000009101
ENSCAPP00000009111	ENSCAPG00000010630	Cavia_aperea	ENSCAPT00000012824
ENSTBEP00000007261	ENSTBEG00000008359	Tupaia_belangeri
ENSTSYP00000025976	ENSTSYG00000006144	Carlito_syrichta
ENSETEP00000014372	ENSETEG00000017690	Echinops_telfairi
ENSCCNP00000021329	ENSCCNG00000021152	Castor_canadensis
ENSDORP00000000016	ENSDORG00000000017	Dipodomys_ordii
MGP_SPRETEiJ_P0084950	MGP_SPRETEiJ_G0031444	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000005749	ENSMUSG00000005609	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033783	ENSMSIG00000028218	Mus_spicilegus
MGP_CAROLIEiJ_P0081567	MGP_CAROLIEiJ_G0030329	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018375	MGP_PahariEiJ_G0013541	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023741	ENSRNOG00000017195	Rattus_norvegicus
ENSMUGP00000012706	ENSMUGG00000011048	Meriones_unguiculatus
ENSPEMP00000007114	ENSPEMG00000009152	Peromyscus_maniculatus_bairdii
ENSMOCP00000023329	ENSMOCG00000020082	Microtus_ochrogaster
ENSCGRP00001020305	ENSCGRG00001019483	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007748	ENSCGRG00000005646	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008500	ENSCGRG00015006563	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017520	ENSMAUG00000016366	Mesocricetus_auratus
ENSNGAP00000025840	ENSNGAG00000023664	Nannospalax_galili
ENSJJAP00000002400	ENSJJAG00000003972	Jaculus_jaculus
ENSUPAP00010020471	ENSUPAG00010016173	Urocitellus_parryii
ENSSTOP00000012186	ENSSTOG00000013594	Ictidomys_tridecemlineatus
ENSSDAP00000023910	ENSSDAG00000021752	Spermophilus_dauricus
ENSMMMP00000001052	ENSMMMG00000000956	Marmota_marmota_marmota
ENSOGAP00000012440	ENSOGAG00000013884	Otolemur_garnettii
ENSMICP00000020567	ENSMICG00000017459	Microcebus_murinus
ENSPCOP00000006380	ENSPCOG00000014337	Propithecus_coquereli
ENSPSMP00000030028	ENSPSMG00000020817	Prolemur_simus
ENSOCUP00000011455	ENSOCUG00000013302	Oryctolagus_cuniculus
ENSOPRP00000005769	ENSOPRG00000006272	Ochotona_princeps
ENSCHOP00000002282	ENSCHOG00000002568	Choloepus_hoffmanni
ENSDNOP00000001727	ENSDNOG00000002216	Dasypus_novemcinctus
ENSPVAP00000015872	ENSPVAG00000016827	Pteropus_vampyrus
ENSMLUP00000005685	ENSMLUG00000006212	Myotis_lucifugus
ENSSARP00000000299	ENSSARG00000000331	Sorex_araneus
ENSECAP00000009320	ENSECAG00000010969	Equus_caballus
ENSEASP00005008102	ENSEASG00005005878	Equus_asinus_asinus
ENSCAFP00000011354	ENSCAFG00000007638	Canis_lupus_familiaris
ENSCAFP00020019607	ENSCAFG00020014706	Canis_lupus_dingo
ENSVVUP00000035731	ENSVVUG00000025690	Vulpes_vulpes
ENSNVIP00000013089	ENSNVIG00000010339	Neovison_vison
ENSMPUP00000012777	ENSMPUG00000012875	Mustela_putorius_furo
ENSUMAP00000020847	ENSUMAG00000015262	Ursus_maritimus
ENSUAMP00000027119	ENSUAMG00000019979	Ursus_americanus
ENSPTIP00000011081	ENSPTIG00000011616	Panthera_tigris_altaica
ENSPPRP00000022242	ENSPPRG00000012814	Panthera_pardus
ENSFCAP00000000377	ENSFCAG00000000407	Felis_catus
ENSCHIP00000008903	ENSCHIG00000011919	Capra_hircus
ENSOARP00000011255	ENSOARG00000010482	Ovis_aries
ENSBIXP00005011091	ENSBIXG00005015596	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013792	ENSBIXG00000018663	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000035273	ENSBTAG00000015566	Bos_taurus
ENSBMUP00000000660	ENSBMUG00000000581	Bos_mutus
ENSBBBP00000018983	ENSBBBG00000012163	Bison_bison_bison
ENSTTRP00000011691	ENSTTRG00000012321	Tursiops_truncatus
ENSSSCP00000014251	ENSSSCG00000013406	Sus_scrofa_strain_reference
ENSVPAP00000009463	ENSVPAG00000010171	Vicugna_pacos
ENSEEUP00000010813	ENSEEUG00000011805	Erinaceus_europaeus	ENSEEUT00000011849
ENSOANP00000027375	ENSOANG00000021496	Ornithorhynchus_anatinus	ENSOANT00000031175
ENSOANP00000000438	ENSOANG00000000255	Ornithorhynchus_anatinus
ENSVURP00010005523	ENSVURG00010004315	Vombatus_ursinus
ENSPCIP00000033463	ENSPCIG00000023374	Phascolarctos_cinereus
ENSMEUP00000003800	ENSMEUG00000004143	Notamacropus_eugenii
ENSSHAP00000000625	ENSSHAG00000000556	Sarcophilus_harrisii
ENSMODP00000026715	ENSMODG00000008303	Monodelphis_domestica
ENSACAP00000008555	ENSACAG00000008611	Anolis_carolinensis
ENSPVIP00000031304	ENSPVIG00000022773	Pogona_vitticeps
ENSNSUP00000019236	ENSNSUG00000014052	Notechis_scutatus
ENSSMRP00000019322	ENSSMRG00000015054	Salvator_merianae
ENSSPUP00000018087	ENSSPUG00000013964	Sphenodon_punctatus
ENSAOWP00000026119	ENSAOWG00000017621	Apteryx_owenii
ENSAHAP00000019941	ENSAHAG00000013881	Apteryx_haastii
ENSARWP00000022887	ENSARWG00000015576	Apteryx_rowi
ENSDNVP00000010339	ENSDNVG00000007292	Dromaius_novaehollandiae
ENSNPEP00000018174	ENSNPEG00000013535	Nothoprocta_perdicaria
ENSCJPP00005003212	ENSCJPG00005002727	Coturnix_japonica
ENSGALP00000009002	ENSGALG00000005618	Gallus_gallus
ENSMGAP00000005888	ENSMGAG00000005904	Meleagris_gallopavo
ENSNMEP00000010580	ENSNMEG00000009870	Numida_meleagris
ENSABRP00000026978	ENSABRG00000022471	Anser_brachyrhynchus
ENSAPLP00000004957	ENSAPLG00000005343	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005019494	ENSMVIG00005013800	Manacus_vitellinus
ENSLCOP00000001892	ENSLCOG00000001333	Lepidothrix_coronata
ENSPMJP00000007232	ENSPMJG00000005691	Parus_major
ENSCCEP00000018532	ENSCCEG00000016964	Cyanistes_caeruleus
ENSZALP00000012003	ENSZALG00000010113	Zonotrichia_albicollis
ENSJHYP00000001650	ENSJHYG00000001437	Junco_hyemalis
ENSLSDP00000015815	ENSLSDG00000011407	Lonchura_striata_domestica
ENSTGUP00000008187	ENSTGUG00000007907	Taeniopygia_guttata
ENSSCAP00000010734	ENSSCAG00000008086	Serinus_canaria
ENSFALP00000001056	ENSFALG00000001017	Ficedula_albicollis
ENSMUNP00000012529	ENSMUNG00000009829	Melopsittacus_undulatus
ENSCPGP00000007250	ENSCPGG00000004463	Calidris_pygmaea
ENSCPUP00000021612	ENSCPUG00000014706	Calidris_pugnax
ENSCPRP00005007817	ENSCPRG00005005568	Crocodylus_porosus
ENSCABP00000004521	ENSCABG00000003395	Chelonoidis_abingdonii
ENSGAGP00000002176	ENSGAGG00000001758	Gopherus_agassizii
ENSCPBP00000006610	ENSCPBG00000005248	Chrysemys_picta_bellii
ENSPSIP00000006891	ENSPSIG00000006368	Pelodiscus_sinensis
ENSXETP00000025818	ENSXETG00000009245	Xenopus_tropicalis
