ENSLBEP00000027979	ENSLBEG00000021216	Labrus_bergylta
ENSPCAP00000008367	ENSPCAG00000008966	Procavia_capensis
ENSNSUP00000013352	ENSNSUG00000009969	Notechis_scutatus	ENSNSUT00000014224
ENSSPAP00000013801	ENSSPAG00000010447	Stegastes_partitus
ENSLACP00000007182	ENSLACG00000006372	Latimeria_chalumnae
ENSANAP00000040670	ENSANAG00000037679	Aotus_nancymaae
ENSPCOP00000015835	ENSPCOG00000019664	Propithecus_coquereli
ENSHCOP00000012521	ENSHCOG00000015544	Hippocampus_comes
ENSCGRP00000008471	ENSCGRG00000006170	Cricetulus_griseus_CriGri_1.0
ENSP00000366474	ENSG00000178585	Homo_sapiens
ENSAOWP00000009222	ENSAOWG00000006333	Apteryx_owenii
ENSLCRP00005010928	ENSLCRG00005004976	Larimichthys_crocea
ENSNPEP00000013899	ENSNPEG00000010392	Nothoprocta_perdicaria
ENSMUNP00000021446	ENSMUNG00000016190	Melopsittacus_undulatus
MGP_PahariEiJ_P0080991	MGP_PahariEiJ_G0029166	Mus_pahari_strain_PAHARI_EIJ
ENSCMIP00000010542	ENSCMIG00000005566	Callorhinchus_milii
ENSRROP00000005270	ENSRROG00000021758	Rhinopithecus_roxellana
ENSHBUP00000018950	ENSHBUG00000021076	Haplochromis_burtoni
ENSTNIP00000018221	ENSTNIG00000015165	Tetraodon_nigroviridis
ENSSFOP00015020779	ENSSFOG00015013370	Scleropages_formosus
ENSRNOP00000052425	ENSRNOG00000016313	Rattus_norvegicus
ENSPTIP00000002379	ENSPTIG00000005407	Panthera_tigris_altaica
ENSAPEP00000026046	ENSAPEG00000018525	Amphiprion_percula
ENSNVIP00000008441	ENSNVIG00000006725	Neovison_vison
ENSSPUP00000024868	ENSSPUG00000019064	Sphenodon_punctatus	ENSSPUT00000026546
ENSJJAP00000009135	ENSJJAG00000013108	Jaculus_jaculus
ENSATEP00000026117	ENSATEG00000018102	Anabas_testudineus
MGP_CAROLIEiJ_P0065884	MGP_CAROLIEiJ_G0026818	Mus_caroli_strain_CAROLI_EIJ
ENSACIP00000004891	ENSACIG00000003859	Amphilophus_citrinellus
ENSMALP00000030116	ENSMALG00000020831	Monopterus_albus
ENSPVIP00000029211	ENSPVIG00000021559	Pogona_vitticeps	ENSPVIT00000035792
ENSFALP00000007574	ENSFALG00000007260	Ficedula_albicollis
ENSPSMP00000034483	ENSPSMG00000023763	Prolemur_simus
ENSTGEP00000022324	ENSTGEG00000018065	Theropithecus_gelada
ENSEASP00005031059	ENSEASG00005021151	Equus_asinus_asinus
ENSZALP00000006141	ENSZALG00000005631	Zonotrichia_albicollis
ENSMUGP00000018359	ENSMUGG00000015559	Meriones_unguiculatus
ENSCHIP00000028662	ENSCHIG00000024090	Capra_hircus
ENSNLEP00000011398	ENSNLEG00000034689	Nomascus_leucogenys
ENSSSCP00000041866	ENSSSCG00000036868	Sus_scrofa_strain_reference
ENSMVIP00005009134	ENSMVIG00005006766	Manacus_vitellinus
ENSMZEP00005017815	ENSMZEG00005013401	Maylandia_zebra
ENSHGLP00000006599	ENSHGLG00000004823	Heterocephalus_glaber_HetGla_female_1.0
