ENSOPRP00000003746	ENSOPRG00000004088	Ochotona_princeps
ENSFALP00000005166	ENSFALG00000004972	Ficedula_albicollis
MGP_SPRETEiJ_P0030053	MGP_SPRETEiJ_G0017670	Mus_spretus_strain_SPRET/EiJ
ENSOCUP00000007435	ENSOCUG00000008603	Oryctolagus_cuniculus
ENSCPGP00000024277	ENSCPGG00000016738	Calidris_pygmaea
ENSSSCP00000018805	ENSSSCG00000017749	Sus_scrofa_strain_reference
ENSDNOP00000025862	ENSDNOG00000048159	Dasypus_novemcinctus
ENSANAP00000042264	ENSANAG00000038419	Aotus_nancymaae
ENSMLUP00000002718	ENSMLUG00000002993	Myotis_lucifugus
ENSBIXP00000027322	ENSBIXG00000008117	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPSMP00000022426	ENSPSMG00000015849	Prolemur_simus
ENSCPUP00000018407	ENSCPUG00000012667	Calidris_pugnax
ENSTBEP00000002390	ENSTBEG00000002754	Tupaia_belangeri
ENSAOWP00000020430	ENSAOWG00000013830	Apteryx_owenii
ENSMMUP00000035028	ENSMMUG00000008604	Macaca_mulatta
ENSEASP00005015583	ENSEASG00005010859	Equus_asinus_asinus
ENSCGRP00001001612	ENSCGRG00001001421	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00000012391	ENSHGLG00000008853	Heterocephalus_glaber_HetGla_female_1.0
ENSBTAP00000012311	ENSBTAG00000009354	Bos_taurus
ENSMUGP00000022371	ENSMUGG00000018756	Meriones_unguiculatus
ENSMAUP00000010190	ENSMAUG00000011179	Mesocricetus_auratus
ENSNGAP00000021958	ENSNGAG00000020994	Nannospalax_galili
ENSXETP00000018679	ENSXETG00000001636	Xenopus_tropicalis
ENSECAP00000002765	ENSECAG00000004031	Equus_caballus
ENSMUSP00000125936	ENSMUSG00000078771	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0035382	MGP_PahariEiJ_G0017963	Mus_pahari_strain_PAHARI_EIJ
ENSLAFP00000015841	ENSLAFG00000000268	Loxodonta_africana
