ENSCJPP00005023800	ENSCJPG00005018813	Coturnix_japonica
ENSVVUP00000015885	ENSVVUG00000011663	Vulpes_vulpes
ENSCABP00000023746	ENSCABG00000017488	Chelonoidis_abingdonii
ENSSDUP00000007774	ENSSDUG00000005707	Seriola_dumerili
ENSUPAP00010001843	ENSUPAG00010001573	Urocitellus_parryii
ENSPREP00000018046	ENSPREG00000012201	Poecilia_reticulata
ENSGWIP00000042799	ENSGWIG00000021438	Gouania_willdenowi
ENSLCAP00010053898	ENSLCAG00010025089	Lates_calcarifer
ENSCLAP00000003666	ENSCLAG00000002613	Chinchilla_lanigera
ENSSHAP00000010247	ENSSHAG00000008849	Sarcophilus_harrisii
ENSMAUP00000000427	ENSMAUG00000000368	Mesocricetus_auratus
ENSGGOP00000002288	ENSGGOG00000002327	Gorilla_gorilla
ENSPKIP00000000955	ENSPKIG00000019416	Paramormyrops_kingsleyae
ENSPMGP00000019847	ENSPMGG00000016073	Periophthalmus_magnuspinnatus
ENSODEP00000002895	ENSODEG00000002221	Octodon_degus
ENSFALP00000001627	ENSFALG00000001564	Ficedula_albicollis
ENSLCOP00000000143	ENSLCOG00000000154	Lepidothrix_coronata
ENSCCAP00000028062	ENSCCAG00000031948	Cebus_capucinus_imitator
ENSCATP00000041131	ENSCATG00000043172	Cercocebus_atys
ENSSSCP00000030368	ENSSSCG00000023277	Sus_scrofa_strain_reference
ENSHBUP00000015463	ENSHBUG00000017376	Haplochromis_burtoni
ENSABRP00000003150	ENSABRG00000002996	Anser_brachyrhynchus
ENSSDAP00000006304	ENSSDAG00000005836	Spermophilus_dauricus
ENSLCAP00010031410	ENSLCAG00010014753	Lates_calcarifer
ENSCCNP00000023808	ENSCCNG00000023353	Castor_canadensis
ENSCMIP00000033696	ENSCMIG00000014367	Callorhinchus_milii
ENSECAP00000018326	ENSECAG00000020907	Equus_caballus
ENSORLP00000033767	ENSORLG00000030294	Oryzias_latipes_ASM223467v1
ENSMSIP00000028939	ENSMSIG00000024303	Mus_spicilegus
ENSTRUP00000026856	ENSTRUG00000010642	Takifugu_rubripes
ENSXETP00000044469	ENSXETG00000020293	Xenopus_tropicalis
ENSSBOP00000038628	ENSSBOG00000035375	Saimiri_boliviensis_boliviensis
ENSUAMP00000032116	ENSUAMG00000024562	Ursus_americanus
ENSPEMP00000029876	ENSPEMG00000029196	Peromyscus_maniculatus_bairdii
ENSBIXP00005036666	ENSBIXG00005018261	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLOCP00000018753	ENSLOCG00000015240	Lepisosteus_oculatus
ENSMICP00000027300	ENSMICG00000033572	Microcebus_murinus
ENSSMAP00000021114	ENSSMAG00000012941	Scophthalmus_maximus
ENSSLDP00000003918	ENSSLDG00000003112	Seriola_lalandi_dorsalis
ENSPPAP00000009309	ENSPPAG00000027878	Pan_paniscus
ENSSCAP00000023700	ENSSCAG00000016959	Serinus_canaria
ENSCCNP00000013794	ENSCCNG00000014288	Castor_canadensis
ENSEEEP00000030222	ENSEEEG00000014488	Electrophorus_electricus	ENSEEET00000030578
